season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,temperature_celsius,wind_speed,humidity,clouds,pinnacle_ft_over15,pinnacle_ft_over25,pinnacle_ft_over35,pinnacle_1st_half_under15,pinnacle_1st_half_over15,pinnacle_1st_half_over05,pinnacle_1st_half_under05,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_btts_yes,pinnacle_btts_no,pinnacle_ft_1,pinnacle_ft_x,pinnacle_ft_2,pinnacle_corners_over_85,pinnacle_corners_under_85,date
2016-2017,2,0,2,2,3,5,8,0,2,0,0,6,7,5,4,11,11,9,27,54,46,Stadion am Kehrweg,"Kehrweg 14, Eupen",0,2,2.41,3.56,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,1,1,1,1470506400,537,0,0,0,2884,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,2,0,2,-1,0,0,0,0,0.0,0.0,0.0,1,0,0,0,1,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,AS Eupen,KV Mechelen,1.13,1.13,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,True,False,False,False,False,False,Belgium_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-08-06 18:00:00
2016-2017,2,0,2,2,5,3,8,2,2,1,0,4,3,5,2,9,5,16,13,42,58,Freethiel-Stadion,", ",3,2,3.01,3.62,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,1,1,1,1470506400,535,0,0,0,3031,-1,1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Waasland-Beveren,Zulte-Waregem,1.2,1.2,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,30,True,True,False,False,False,False,False,Belgium_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-08-06 18:00:00
2016-2017,2,2,0,2,6,3,9,3,1,0,0,4,4,4,5,8,9,16,10,45,55,Stade Maurice Dufrasne,"Rue de la Centrale 2, Sclessin, Luik",3,1,1.44,5.01,7.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,2,1470508200,527,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,2,0,1,1,2,2,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Standard Liège,Sint-Truiden,1.73,0.33,0.0,0.0,1.0,3.0,0,0,0.0,0.0,0.0,30,True,True,False,False,False,False,False,Belgium_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-08-06 18:30:00
2016-2017,2,3,0,3,1,1,2,1,2,0,1,5,2,2,5,7,7,14,15,51,49,Daknamstadion,"Daknamstraat 91, Lokeren",1,4,1.76,3.92,5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,1,0,1,2,1470573000,528,0,0,0,5773,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,2,1,3,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,KSC Lokeren,KVC Westerlo,1.4,0.73,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,30,True,True,True,False,False,False,False,Belgium_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-08-07 12:30:00
2016-2017,2,5,1,6,11,2,13,0,0,0,0,12,2,4,1,16,3,8,9,62,38,Stade Constant Vanden Stock,"Avenue Théo Verbeeck 2, Brussel",0,0,1.54,4.56,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,1,4,0,4,2,1470585600,61,0,0,0,19000,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0.0,0.0,0.0,0,1,0,1,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,RSC Anderlecht,KV Kortrijk,2.2,0.87,0.0,0.0,3.0,1.0,0,0,0.0,0.0,0.0,30,True,True,True,True,True,True,True,Belgium_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-08-07 16:00:00
2016-2017,2,1,0,1,5,6,11,0,2,0,0,7,2,6,7,13,9,12,13,67,33,GHELAMCO-arena,"Ottergemsesteenweg-Zuid 808, Gent",0,2,1.87,3.87,4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1470592800,525,0,0,0,19554,-1,1,-1,-1,-1,-1,-1,-1,0,1,0,1,1,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,KAA Gent,KRC Genk,2.3,1.0,0.0,0.0,1.0,3.0,0,0,0.0,0.0,0.0,30,True,False,False,False,False,False,False,Belgium_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-08-07 18:00:00
2016-2017,3,0,0,0,5,5,10,4,2,1,0,5,4,6,8,11,12,12,13,46,54,Stayen (Sint-Truiden (St.-Trond)),"Tiensesteenweg 168, Sint-Truiden (St.-Trond)",6,2,5.02,3.86,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1471026600,-1,0,50,0,10039,-1,1,-1,-1,-1,-1,-1,-1,3,0,2,2,3,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,0,50,Sint-Truiden,RSC Anderlecht,1.67,1.9,3.0,3.0,1.5,3.0,50,50,0.0,0.0,0.0,30,False,False,False,False,False,False,False,Belgium_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-08-12 18:30:00
2016-2017,3,1,1,2,2,5,7,1,0,0,0,6,8,3,5,9,13,6,14,36,64,Stade du Pays de Charleroi,"Boulevard Zoé Drion 19, Charleroi",1,0,3.69,3.46,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,1,2,0,1471104000,-1,0,50,0,7832,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,50,0,50,Sporting Charleroi,KAA Gent,1.85,1.0,3.0,1.0,3.0,2.0,100,50,0.0,0.0,0.0,40,True,True,False,False,False,False,True,Belgium_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-08-13 16:00:00
2016-2017,3,0,0,0,2,7,9,3,3,1,0,5,6,4,10,9,16,15,10,46,54,AFAS-stadion Achter de Kazerne,"Kleine Nieuwedijk 53, Malines",5,3,2.11,3.63,3.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1471111200,-1,0,50,0,10479,-1,1,-1,-1,-1,-1,-1,-1,3,2,1,1,5,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,100,100,100,KV Mechelen,KV Kortrijk,2.07,0.87,0.0,0.0,1.5,0.5,50,0,0.0,0.0,0.0,30,False,False,False,False,False,False,False,Belgium_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-08-13 18:00:00
2016-2017,3,1,2,3,2,6,8,2,0,0,0,5,7,8,10,13,17,19,10,50,50,Het Kuipje,"De Merodedreef 189, Westerlo",2,0,2.52,3.54,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,1,1,2,1,1471111200,530,0,50,0,4500,-1,1,-1,-1,-1,-1,-1,-1,2,0,0,0,2,0,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,50,50,KVC Westerlo,AS Eupen,0.8,0.87,1.0,0.0,0.5,0.0,0,0,0.0,0.0,0.0,30,True,True,True,False,False,False,True,Belgium_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-08-13 18:00:00
