Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Seoul,1.35,1.50,-0.15,1.33,1.20,0.13,0.02,0.30,-0.28,1.35,1.50,-0.15,2,1,1,1.15,51.30,27.51,37.84,0.27,0.83,109,8,7,17,25.93,20.48,8.90,3,7,9,3,11,41.2,20.89,17.53,16.24,30.07,14.13,1,Gangwon 1-2 Seoul,2026-04-25
Gangwon,1.50,1.35,0.15,1.20,1.33,-0.13,0.30,0.02,0.28,1.50,1.35,0.15,1,2,-1,-1.15,48.70,72.49,54.16,0.83,0.27,232,16,17,7,20.48,25.93,7.72,7,3,24,7,23,156.0,79.11,90.4,83.76,182.73,85.87,2,Gangwon 1-2 Seoul,2026-04-25
Gwangju,0.30,0.99,-0.69,0.27,0.97,-0.70,0.03,0.02,0.01,0.30,0.99,-0.69,0,1,-1,-0.31,40.90,40.64,42.66,0.2,0.17,121,7,5,7,25.0,41.18,11.69,4,8,6,2,22,23.2,22.52,88.73,69.47,67.4,37.28,0,Pohang Steelers 1-0 Gwangju,2026-04-22
Pohang Steelers,0.99,0.30,0.69,0.97,0.27,0.70,0.02,0.03,-0.01,0.99,0.30,0.69,1,0,1,0.31,59.10,59.36,41.92,0.17,0.2,168,10,7,5,41.18,25.0,8.00,8,4,16,5,14,79.8,77.48,39.0,30.53,113.37,62.72,2,Pohang Steelers 1-0 Gwangju,2026-04-22
Ulsan HD,1.93,1.32,0.61,1.85,1.32,0.53,0.08,0.00,0.08,1.93,1.32,0.61,1,1,0,-0.61,52.90,63.71,53.87,1.38,0.36,345,20,19,11,13.77,30.56,18.68,2,4,31,4,9,179.8,85.29,54.87,43.36,145.17,75.48,0,Anyang 1-1 Ulsan HD,2026-04-22
Anyang,1.32,1.93,-0.61,1.32,1.85,-0.53,0.00,0.08,-0.08,1.32,1.93,-0.61,1,1,0,0.61,47.10,36.29,44.39,0.36,1.38,187,13,11,19,30.56,13.77,26.53,4,2,8,1,8,31.0,14.71,71.67,56.64,47.17,24.52,1,Anyang 1-1 Ulsan HD,2026-04-22
Jeju FC,0.94,0.59,0.35,0.83,0.59,0.24,0.11,0.00,0.11,0.94,0.59,0.35,1,0,1,0.65,46.60,48.8,47.13,0.61,0.56,214,8,11,9,18.03,16.07,12.00,6,4,17,3,14,88.9,54.17,79.93,69.23,132.1,76.89,3,Daejeon Hana Citizen 0-1 Jeju FC,2026-04-22
Daejeon Hana Citizen,0.59,0.94,-0.35,0.59,0.83,-0.24,0.00,0.11,-0.11,0.59,0.94,-0.35,0,1,-1,-0.65,53.40,51.2,46.47,0.56,0.61,241,10,9,11,16.07,18.03,11.16,4,6,22,4,9,75.2,45.83,35.53,30.77,39.7,23.11,0,Daejeon Hana Citizen 0-1 Jeju FC,2026-04-22
Incheon United,1.30,3.25,-1.95,0.54,1.02,-0.48,0.00,2.23,-2.23,0.54,3.25,-2.71,2,1,1,2.95,48.70,53.85,45.27,0.41,1.12,213,6,7,17,17.07,15.18,15.39,1,4,11,1,12,103.9,46.93,71.4,50.76,108.07,53.26,0,Jeonbuk Motors 1-2 Incheon United,2026-04-21
Jeonbuk Motors,3.25,1.30,1.95,1.02,0.54,0.48,2.23,0.00,2.23,3.25,0.54,2.71,1,2,-1,-2.95,51.30,46.15,46.10,1.12,0.41,229,13,17,7,15.18,17.07,13.83,4,1,28,7,14,117.5,53.07,69.27,49.24,94.83,46.74,0,Jeonbuk Motors 1-2 Incheon United,2026-04-21
Bucheon 1995,1.72,3.81,-2.09,1.43,3.05,-1.62,0.29,0.00,0.29,1.72,3.05,-1.33,0,3,-3,-0.91,34.20,45.22,46.22,0.66,0.78,133,9,10,14,15.15,17.95,12.17,7,2,14,4,14,38.7,27.35,138.73,94.21,95.23,44.08,4,Seoul 3-0 Bucheon 1995,2026-04-21
Seoul,3.81,1.72,2.09,3.05,1.43,1.62,0.00,0.29,-0.29,3.05,1.72,1.33,3,0,3,0.91,65.80,54.78,43.78,0.78,0.66,228,10,14,10,17.95,15.15,7.29,2,7,16,1,13,102.8,72.65,8.53,5.79,120.79,55.92,0,Seoul 3-0 Bucheon 1995,2026-04-21
Gangwon,2.59,1.44,1.15,1.83,1.38,0.45,0.00,0.06,-0.06,1.83,1.44,0.39,3,0,3,1.85,38.40,40.73,46.53,0.79,0.82,151,6,11,16,13.92,19.51,11.85,6,10,11,1,18,41.5,28.12,118.8,95.81,128.73,86.83,0,Gimcheon Sangmu 0-3 Gangwon,2026-04-21
Gimcheon Sangmu,1.44,2.59,-1.15,1.38,1.83,-0.45,0.06,0.00,0.06,1.44,1.83,-0.39,0,3,-3,-1.85,61.60,59.27,44.08,0.82,0.79,220,12,16,11,19.51,13.92,6.90,10,6,13,4,8,106.1,71.88,5.2,4.19,19.53,13.17,2,Gimcheon Sangmu 0-3 Gangwon,2026-04-21
Anyang,1.41,1.12,0.29,1.41,1.05,0.36,0.00,0.07,-0.07,1.41,1.12,0.29,1,0,1,0.71,40.50,35.89,46.41,0.56,1.42,163,6,8,12,14.29,8.45,11.03,4,4,10,3,18,51.0,25.64,73.33,70.02,43.07,33.31,2,Pohang Steelers 0-1 Anyang,2026-04-19
Pohang Steelers,1.12,1.41,-0.29,1.05,1.41,-0.36,0.07,0.00,0.07,1.12,1.41,-0.29,0,1,-1,-0.71,59.50,64.11,50.67,1.42,0.56,266,19,12,8,8.45,14.29,8.51,4,4,25,4,9,147.9,74.36,31.4,29.98,86.23,66.69,0,Pohang Steelers 0-1 Anyang,2026-04-19
Gwangju,0.95,4.41,-3.46,0.95,2.48,-1.53,0.00,0.41,-0.41,0.95,2.89,-1.94,1,5,-4,-0.54,52.00,59.19,48.82,1.03,1.7,218,16,8,17,7.77,10.0,12.57,6,6,14,2,16,97.2,51.9,72.53,67.7,93.24,50.93,0,Ulsan HD 5-1 Gwangju,2026-04-19
Ulsan HD,4.41,0.95,3.46,2.48,0.95,1.53,0.41,0.00,0.41,2.89,0.95,1.94,5,1,4,0.54,48.00,40.81,41.89,1.7,1.03,148,16,17,8,10.0,7.77,13.96,6,6,18,3,7,90.1,48.1,34.6,32.3,89.82,49.07,0,Ulsan HD 5-1 Gwangju,2026-04-19
Incheon United,1.05,1.25,-0.20,0.82,1.25,-0.43,0.23,0.00,0.23,1.05,1.25,-0.20,2,2,0,0.20,53.60,35.4,40.58,0.57,0.66,134,15,13,14,22.81,21.21,11.32,1,5,17,5,13,55.0,30.2,37.33,33.67,57.43,34.56,1,Bucheon 1995 2-2 Incheon United,2026-04-18
Bucheon 1995,1.25,1.05,0.20,1.25,0.82,0.43,0.00,0.23,-0.23,1.25,1.05,0.20,2,2,0,-0.20,46.40,64.6,51.49,0.66,0.57,221,8,14,13,21.21,22.81,13.35,5,1,18,2,11,127.1,69.8,73.53,66.33,108.73,65.44,2,Bucheon 1995 2-2 Incheon United,2026-04-18
Gimcheon Sangmu,0.52,1.19,-0.67,0.50,1.19,-0.69,0.02,0.00,0.02,0.52,1.19,-0.67,1,1,0,0.67,64.60,66.27,45.44,0.49,0.88,259,8,6,7,12.24,7.95,6.45,5,3,15,4,23,82.6,73.75,5.07,4.46,37.23,30.58,0,Jeju FC 1-1 Gimcheon Sangmu,2026-04-18
Jeju FC,1.19,0.52,0.67,1.19,0.50,0.69,0.00,0.02,-0.02,1.19,0.52,0.67,1,1,0,-0.67,35.40,33.73,42.65,0.88,0.49,121,8,7,6,7.95,12.24,11.70,3,5,9,1,17,29.4,26.25,108.53,95.54,84.5,69.42,1,Jeju FC 1-1 Gimcheon Sangmu,2026-04-18
Daejeon Hana Citizen,2.00,2.00,0.00,1.94,1.91,0.03,0.06,0.09,-0.03,2.00,2.00,0.00,1,0,1,1.00,40.90,41.04,44.55,0.75,1.35,147,11,9,13,12.0,9.63,14.23,6,8,14,6,18,42.5,28.5,75.87,78.54,75.8,61.39,2,Seoul 0-1 Daejeon Hana Citizen,2026-04-18
