league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,pinnacle_btts_yes,pinnacle_btts_no,pinnacle_ft_2,pinnacle_ft_x,pinnacle_ft_1,pinnacle_ft_over35,pinnacle_ft_over15,pinnacle_ft_over25,pinnacle_corners_over_85,pinnacle_corners_under_85,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_1st_half_under15,pinnacle_1st_half_over15,pinnacle_1st_half_over05,pinnacle_1st_half_under05
South_Korea_K_League_1_2026,2026,3,Gwangju,Jeonbuk Motors,2026-03-14 05:00:00,0,0,0,2,6,8,2,3,0,0,1,5,4,12,5,17,20,15,42,58,Gwangju World Cup Stadium,", Gwangju",2,3,4.05,3.1,1.77,1.4,2.2,4.3,1.95,1.76,2.02,2.55,1.69,1.38,1.4,3.15,2.44,1.34,0,0,0,0,0,0,0,-1,0,100,0,-1,2,1,0,2,2,4,2,6,0,1,2,2,1,4,1,51,81,110,101,0.77,2.0,2.77,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,15,12,1,14,20,1,13,5,50,100,50,50,2.0,1.0,3.0,1,2.0,0.5,50,0,1.03,0.91,1.94,4,False,False,False,False,False,False,False,2.10,1.78,1.93,3.37,4.50,4.48,1.44,2.38,2.09,1.72,,,1.34,3.39,1.53,2.60
South_Korea_K_League_1_2026,2026,3,Daejeon Citizen,Sangju Sangmu,2026-03-14 07:30:00,1,1,2,6,5,11,1,2,0,0,3,3,11,7,14,10,9,14,55,45,Daejeon World Cup Stadium,"270 Noeun-dong, Yuseong-gu, Daejeon",1,2,2.17,3.34,3.26,1.28,1.92,3.25,1.68,2.05,1.81,2.3,1.88,1.53,1.36,2.73,2.88,1.45,2,0,1,1,0,1,1,-1,0,50,0,-1,2,1,3,5,3,0,8,3,1,0,0,2,1,2,1,72,45,148,93,1.63,1.17,2.8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,19,24,1,14,10,1,5,9,0,50,0,0,1.0,1.0,1.0,0,1.0,1.0,50,0,1.93,0.0,1.93,4,True,True,False,False,False,False,True,1.76,2.13,3.37,3.45,2.24,3.43,1.31,2.02,,,,,,,,
South_Korea_K_League_1_2026,2026,3,Bucheon 1995,Ulsan,2026-03-15 05:00:00,1,2,3,5,4,9,2,1,0,0,2,7,9,11,11,18,15,13,46,54,Bucheon Stadium,"San 8, Chunui-dong, Wonmi-gu, Bucheon",2,1,3.73,3.3,1.97,1.31,2.0,3.5,1.86,1.84,1.96,2.55,1.74,1.44,1.38,3.1,2.75,1.32,3,1,1,0,1,1,2,3836,0,50,0,-1,2,1,2,4,3,0,6,3,2,0,0,1,2,1,1,71,73,147,113,1.36,2.15,3.51,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,18,13,1,13,14,1,8,10,0,50,0,0,0.67,3.0,1.0,0,2.0,3.0,50,0,1.08,0.0,1.08,3,True,True,True,False,False,False,True,1.91,1.94,2.11,3.46,3.67,3.76,1.35,2.11,2.05,1.75,2.53,1.47,1.37,3.20,1.45,2.86
South_Korea_K_League_1_2026,2026,3,Jeju United,FC Seoul,2026-03-15 05:00:00,1,2,3,2,8,10,1,5,0,0,2,5,8,12,10,17,19,13,38,62,,,1,5,3.4,3.1,2.05,1.33,2.15,3.3,1.71,1.83,1.8,2.28,1.88,1.54,1.47,2.9,2.5,1.33,3,0,0,1,2,3,0,3833,0,50,0,7518,2,1,1,2,1,6,3,7,0,3,1,2,3,3,1,48,66,65,75,1.12,1.89,3.0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,18,22,1,13,19,1,8,7,50,50,0,0,0.33,3.0,1.0,3,0.5,3.0,50,50,0.98,1.6,2.58,3,True,True,True,False,False,False,True,1.90,1.94,2.12,3.36,3.79,3.97,1.37,2.18,1.70,2.09,2.12,1.68,,,,
South_Korea_K_League_1_2026,2026,3,Gangwon,Anyang,2026-03-15 07:30:00,1,1,2,14,4,18,1,0,0,1,4,3,10,4,14,7,9,7,61,39,,,1,2,2.18,2.8,3.7,1.4,2.44,4.0,1.93,1.8,1.63,2.38,2.13,1.69,1.44,3.4,2.62,1.28,2,1,1,0,0,0,2,-1,0,50,0,-1,2,1,5,3,9,1,8,10,1,0,0,1,1,1,1,76,30,71,63,1.7,0.87,2.57,0,0,0,0,0,0,1,1,1,0,1,2,0,0,1,13,14,1,7,9,1,5,15,0,50,0,0,1.0,0.67,0.0,1,0.0,2.0,50,0,0.0,1.44,1.44,3,True,True,False,False,False,False,True,2.18,1.72,4.06,3.05,2.17,4.74,1.53,2.55,,,,,1.34,3.40,1.57,2.46
South_Korea_K_League_1_2026,2026,3,Pohang Steelers,Incheon United,2026-03-15 07:30:00,1,1,2,3,3,6,2,2,0,0,4,4,4,7,8,11,12,9,53,47,Steelyard Stadium,", Pohang",2,2,2.5,2.87,2.7,1.35,2.21,3.92,1.99,1.88,1.91,3.36,1.78,1.4,1.46,3.22,2.53,1.3,2,0,1,1,0,1,1,-1,0,50,0,-1,2,1,1,2,2,1,3,3,1,1,1,1,2,2,1,59,57,114,94,1.22,1.39,2.61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,20,14,1,9,13,1,6,3,50,50,50,50,0.5,0.5,0.0,0,1.0,0.0,0,0,0.0,2.35,2.35,3,True,True,False,False,False,False,True,2.14,1.75,2.89,3.07,2.77,4.93,1.52,2.59,2.10,1.71,,,1.35,3.34,1.56,2.50
South_Korea_K_League_1_2026,2026,4,Sangju Sangmu,Gwangju,2026-03-17 10:30:00,1,1,2,8,4,12,4,4,1,0,5,1,5,1,10,2,14,18,44,56,,,6,4,1.89,3.35,4.33,1.32,2.08,4.47,2.04,1.83,1.95,2.25,1.92,1.55,1.42,3.1,2.47,1.33,2,0,0,1,1,2,0,-1,0,50,0,-1,2,1,4,1,4,3,5,7,1,2,4,2,3,6,1,62,51,96,106,1.43,0.58,2.02,0,1,0,1,0,0,1,1,0,0,0,0,1,0,-1,-1,-1,1,18,15,-1,-1,-1,0,50,0,25,1.0,1.0,1.0,1,1.0,1.67,100,50,1.34,1.07,2.41,4,True,True,False,False,False,False,True,2.05,1.82,5.13,3.61,1.77,4.19,1.41,2.26,2.19,1.65,2.55,1.46,1.33,3.43,1.50,2.67
South_Korea_K_League_1_2026,2026,4,Jeonbuk Motors,Anyang,2026-03-18 10:30:00,2,1,3,6,3,9,3,2,0,0,3,2,3,7,6,9,9,10,57,43,Jeonju World Cup Stadium,"763-1 Banwol-dong, Deokjin-gu, Jeonju",3,2,1.74,3.6,4.65,1.25,1.95,3.18,1.88,1.87,1.79,2.26,1.92,1.59,1.38,3.01,2.81,1.37,3,1,1,1,0,1,2,3837,0,100,0,-1,2,1,2,2,4,1,4,5,1,0,2,2,1,4,1,75,60,149,99,1.15,1.15,2.3,0,0,0,0,0,0,1,1,1,0,1,0,0,0,-1,-1,-1,1,11,10,-1,-1,-1,50,100,75,75,1.5,0.67,0.0,1,0.67,1.67,50,0,1.55,1.16,2.71,4,True,True,True,False,False,False,True,1.98,1.87,6.09,4.10,1.59,3.48,1.32,2.00,1.78,2.02,2.26,1.62,,,,
South_Korea_K_League_1_2026,2026,4,Pohang Steelers,FC Seoul,2026-03-18 10:30:00,0,1,1,3,5,8,4,0,1,0,3,3,7,5,10,8,15,7,44,56,Steelyard Stadium,", Pohang",5,0,3.13,3.02,2.39,1.38,2.15,4.2,1.9,1.78,1.97,3.28,1.75,1.42,1.52,3.0,2.36,1.34,1,0,1,0,0,0,1,3833,0,100,0,-1,-1,1,-1,-1,-1,-1,-1,-1,2,0,3,0,2,3,1,41,56,81,111,1.14,1.13,2.27,0,0,0,0,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,1,10,19,-1,-1,-1,50,100,0,50,0.5,3.0,1.0,3,1.0,3.0,50,0,1.22,1.74,2.96,3,True,False,False,False,False,False,False,2.01,1.85,2.12,3.22,3.99,4.40,1.44,2.38,2.01,1.81,2.56,1.47,1.34,3.38,1.55,2.55
South_Korea_K_League_1_2026,2026,4,Incheon United,Daejeon Citizen,2026-03-18 10:30:00,1,3,4,7,2,9,3,3,0,0,4,4,3,3,7,7,7,16,49,51,Sungui Arena Park,"Dowon-dong, Jung-gu, Incheon",3,3,2.38,3.0,2.75,1.36,2.15,4.05,1.83,1.87,2.12,2.48,1.68,1.35,1.49,3.1,2.44,1.32,4,1,1,0,2,2,2,3845,0,100,0,-1,2,1,5,1,2,1,6,3,2,0,1,3,2,4,1,40,30,113,136,1.03,0.96,1.99,0,0,0,0,0,0,1,1,0,1,0,0,0,0,-1,-1,-1,1,19,9,-1,-1,-1,50,100,0,0,0.0,2.0,0.0,1,0.33,1.0,50,0,1.02,1.54,2.56,4,True,True,True,True,False,False,True,1.81,2.05,2.76,3.19,2.81,3.88,1.36,2.15,2.12,1.69,,,1.37,3.22,1.46,2.80
South_Korea_K_League_1_2026,2026,4,Bucheon 1995,Gangwon,2026-03-18 10:30:00,0,0,0,2,3,5,1,3,0,0,4,2,1,7,5,9,13,16,48,52,Bucheon Stadium,"San 8, Chunui-dong, Wonmi-gu, Bucheon",1,3,3.8,3.1,1.95,1.4,2.29,4.0,1.91,1.8,1.84,2.82,1.96,1.57,1.45,3.22,2.56,1.3,0,0,0,0,0,0,0,-1,0,100,0,-1,2,1,1,2,1,1,3,2,1,1,0,2,2,2,1,36,43,96,98,0.87,1.03,1.9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,1,21,15,-1,-1,-1,75,100,75,75,0.67,0.5,0.5,0,1.33,0.5,25,0,1.22,1.89,3.11,3,False,False,False,False,False,False,False,2.14,1.75,1.78,3.63,5.00,4.36,1.42,2.30,1.87,1.94,2.33,1.57,1.34,3.38,1.52,2.64
South_Korea_K_League_1_2026,2026,4,Jeju United,Ulsan,2026-03-18 10:30:00,0,2,2,4,7,11,2,2,0,0,6,5,8,7,14,12,11,12,53,47,,,2,2,3.2,3.1,2.05,1.25,2.05,3.18,1.7,2.2,1.64,2.04,2.08,1.6,1.41,2.98,2.9,1.42,2,0,0,0,2,2,0,3836,0,75,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,1,2,1,3,1,48,45,102,83,1.65,1.43,3.09,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,1,14,12,-1,-1,-1,75,75,50,50,0.33,3.0,0.5,3,0.33,3.0,25,25,1.05,2.15,3.2,3,True,True,False,False,False,False,False,1.77,2.11,1.97,3.59,4.02,3.37,1.30,1.95,1.85,1.96,2.24,1.60,1.41,3.03,1.42,2.99
