league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,pinnacle_ft_x,pinnacle_ft_1,pinnacle_ft_2,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_ft_over15,pinnacle_ft_over35,pinnacle_ft_over25,pinnacle_btts_yes,pinnacle_btts_no,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_1st_half_over05,pinnacle_1st_half_under05,pinnacle_corners_over_85,pinnacle_corners_under_85
Brasileirão_Série_A_2026,2026,2,Bragantino,Atlético Mineiro,2026-02-04 22:00:00,1,0,1,6,12,18,3,2,0,0,5,2,14,10,19,12,12,8,48,52,,,3,2,2.2,3.25,3.4,1.38,2.15,3.9,1.85,1.83,1.41,1.65,2.7,2.05,1.45,3.23,2.56,1.32,1,1,0,0,0,0,1,635,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,2,2,1,4,1,66,42,80,88,2.01,1.2,3.22,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,1,19,21,1,8,14,1,5,6,0,0,0,0,1.4,0.5,0.0,0.0,3.0,1.0,0,0,0.0,0.0,0.0,10,True,False,False,False,False,False,False,3.22,2.11,4.01,1.70,2.07,1.45,4.49,2.39,2.07,1.81,3.43,1.34,1.49,2.71,,
Brasileirão_Série_A_2026,2026,2,Flamengo,Internacional,2026-02-04 22:00:00,1,1,2,4,3,7,2,2,0,0,5,5,13,4,18,9,20,17,65,35,,,2,2,1.41,4.6,7.5,1.22,1.83,2.85,2.01,1.73,1.45,1.99,2.57,1.97,1.32,2.5,3.04,1.44,2,0,1,1,0,1,1,-1,0,0,0,56421,2,1,3,1,0,2,4,2,0,1,2,1,1,3,1,57,16,156,77,1.91,1.04,2.95,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,14,8,1,17,20,1,7,12,0,0,0,0,2.5,1.6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,True,True,False,False,False,False,True,4.95,1.43,7.38,1.77,2.01,1.27,3.10,1.84,2.13,1.76,2.76,1.47,1.36,3.27,,
Brasileirão_Série_A_2026,2026,2,Remo,Mirassol,2026-02-04 23:00:00,2,2,4,4,4,8,2,2,0,0,7,5,11,3,18,8,15,9,37,63,Estádio Estadual Jornalista Edgar Augusto Proença,"Rodovia Augusto Montenegro 3101, Mangueirão, Belém, Pará",2,2,2.59,3.1,2.6,1.35,2.18,4.0,1.83,1.85,1.31,1.69,3.05,2.31,1.46,3.04,2.53,1.33,4,2,0,0,2,2,2,-1,0,0,0,-1,2,1,2,2,2,2,4,4,1,1,1,1,2,2,1,13,19,89,95,1.72,1.01,2.73,0,0,0,0,0,0,1,1,1,0,2,1,0,0,1,19,30,1,9,15,1,9,8,0,0,0,0,1.2,0.25,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,10,True,True,True,True,False,False,True,3.20,3.07,2.53,1.55,2.33,1.41,4.30,2.32,1.93,1.92,3.34,1.35,1.47,2.78,,
Brasileirão_Série_A_2026,2026,2,Santos,São Paulo,2026-02-04 23:00:00,1,1,2,7,4,11,5,1,0,0,3,3,9,5,12,8,11,19,50,50,Estádio Urbano Caldeira,"Rue Princesa Isabel 77, Vila Belmiro, Santos, São Paulo",5,1,2.21,3.28,3.45,1.32,2.15,3.9,1.85,1.85,1.4,1.87,2.72,2.07,1.44,3.1,2.57,1.32,2,1,0,0,1,1,1,-1,0,0,0,-1,2,1,2,3,5,1,5,6,2,1,3,0,3,3,1,18,13,115,78,1.11,0.82,1.93,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,23,16,1,21,15,1,7,5,0,0,0,0,1.83,1.33,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,11,True,True,False,False,False,False,True,3.14,2.34,3.49,1.70,2.11,1.47,4.56,2.42,2.05,1.82,3.43,1.34,1.50,2.68,,
Brasileirão_Série_A_2026,2026,2,Palmeiras,Vitória,2026-02-05 00:30:00,5,1,6,6,4,10,1,4,0,0,8,4,9,5,17,9,2,0,60,40,Allianz Parque,"Rua Turiaçu 1840, Perdizes, São Paulo, São Paulo",1,4,1.28,4.5,7.75,1.22,1.81,3.0,2.05,1.7,1.47,2.0,2.5,1.95,1.3,2.53,3.1,1.46,6,3,0,2,1,3,3,619,0,0,0,8953,2,1,4,2,2,2,6,4,1,1,0,3,2,3,1,38,31,84,70,1.91,1.08,2.98,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,17,18,1,16,13,1,5,4,0,0,0,0,3.0,0.4,0.0,0.0,1.0,3.0,0,0,0.0,0.0,0.0,10,True,True,True,True,True,True,True,5.27,1.34,10.32,1.78,2.01,1.25,3.03,1.81,2.24,1.69,,,,,1.45,2.61
Brasileirão_Série_A_2026,2026,2,Grêmio,Botafogo,2026-02-05 00:30:00,5,3,8,4,2,6,0,3,0,0,8,4,6,5,14,9,13,14,43,57,Arena do Grêmio,"Bairro Humaitá, Porto Alegre, Rio Grande do Sul",0,3,2.25,3.18,2.82,1.36,2.2,3.62,1.8,1.91,1.48,2.03,2.46,1.93,1.46,2.9,2.53,1.33,8,1,2,4,1,5,3,616,0,0,0,-1,2,1,3,0,1,2,3,3,0,1,0,2,1,2,1,29,17,79,77,1.65,0.98,2.63,1,0,1,0,0,0,1,1,0,0,2,0,0,1,1,9,14,1,15,13,1,2,7,0,0,0,0,2.2,1.0,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,9,True,True,True,True,True,True,True,3.13,2.40,3.37,,,1.37,3.89,2.23,1.86,1.99,3.22,1.37,1.45,2.86,,
Brasileirão_Série_A_2026,2026,2,Bahia,Fluminense,2026-02-05 22:00:00,1,1,2,6,4,10,0,3,1,0,5,4,14,9,19,13,12,13,42,58,Arena Fonte Nova,"Rua Lions Club, Nazaré, Salvador, Bahia",2,3,2.15,3.05,3.5,1.33,2.1,3.38,1.8,1.91,1.54,1.92,2.3,1.82,1.4,2.95,2.9,1.35,2,0,1,1,0,1,1,-1,0,0,0,40310,2,1,4,4,2,0,8,2,0,0,1,3,0,4,1,40,49,110,96,1.84,1.46,3.3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,17,9,1,13,12,1,9,11,0,0,0,0,1.6,1.0,0.0,0.0,3.0,3.0,0,0,0.0,0.0,0.0,10,True,True,False,False,False,False,True,3.23,2.17,3.82,1.96,1.83,1.37,3.87,2.17,1.93,1.92,3.18,1.38,1.44,2.88,1.55,2.36
Brasileirão_Série_A_2026,2026,2,Vasco da Gama,Chapecoense,2026-02-05 23:00:00,1,1,2,14,0,14,0,0,0,0,13,1,17,6,30,7,15,11,67,33,Estádio Club de Regatas Vasco da Gama,"Rua Gal Almério de Moura 131, Bairro Vasco da Gama, Rio de Janeiro, Rio de Janeiro",0,0,1.6,3.7,6.55,1.29,1.92,3.27,1.85,1.85,1.47,2.03,2.5,1.95,1.38,2.62,2.81,1.41,2,0,0,1,1,2,0,-1,0,0,0,15702,2,-1,10,0,4,0,10,4,0,0,0,0,0,0,1,82,13,134,57,3.38,0.61,4.0,0,0,0,0,0,0,1,1,0,0,1,0,-1,-1,1,11,17,1,11,15,1,6,8,0,0,0,0,1.67,0.33,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,9,True,True,False,False,False,False,True,3.99,1.57,6.68,,,1.29,3.28,1.92,1.98,1.88,,,,,,
Brasileirão_Série_A_2026,2026,2,Cruzeiro,Coritiba,2026-02-06 00:30:00,1,2,3,12,2,14,3,2,0,0,4,2,15,8,19,10,9,16,68,32,Estádio Governador Magalhães Pinto,"Avenida Antonio Abrahão Carã 1001, Pampulhas, Belo Horizonte, Minas Gerais",3,2,1.31,4.05,8.0,1.36,2.23,3.9,2.3,1.53,1.35,1.74,2.93,2.21,1.36,3.04,2.82,1.33,3,1,1,0,1,1,2,627,0,0,0,-1,2,1,2,1,10,1,3,11,0,1,3,1,1,4,1,67,34,149,58,1.97,1.02,2.99,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,20,12,1,17,9,1,7,13,0,0,0,0,1.2,2.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,True,True,True,False,False,False,True,4.58,1.39,10.42,1.58,2.28,,,,2.52,1.56,,,,,,
Brasileirão_Série_A_2026,2026,3,Vitória,Flamengo,2026-02-11 00:30:00,1,2,3,7,2,9,3,4,0,0,3,2,7,4,10,6,11,20,44,56,Estádio Manoel Barradas,"Rua Artêmio Castro Valente 1, Bairro Nossa Senhora da Vitória, Salvador, Bahia",3,4,5.2,3.8,1.67,1.26,2.02,3.4,1.95,1.75,1.83,2.62,1.98,1.59,1.38,2.85,2.81,1.37,3,0,2,1,0,1,2,612,0,50,0,-1,2,1,3,0,4,2,3,6,1,2,2,2,3,4,1,39,35,98,88,1.13,0.78,1.92,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,32,25,1,20,12,1,5,4,50,100,0,0,2.4,1.4,3.0,0.0,1.5,0.5,50,0,1.99,1.74,3.73,9,True,True,True,False,False,False,True,3.77,5.98,1.66,2.15,1.66,1.35,3.71,2.10,2.09,1.79,,,,,1.82,1.97
Brasileirão_Série_A_2026,2026,3,Mirassol,Cruzeiro,2026-02-11 22:00:00,2,2,4,9,0,9,4,2,1,0,11,4,9,5,20,9,12,10,56,44,Estádio José Maria de Campos Maia,"Avenida Lauro Luchesi 2650, Centro, Mirassol, São Paulo",6,2,2.65,3.2,2.75,1.38,2.13,3.62,1.8,2.02,1.48,1.81,2.47,1.93,1.47,3.04,2.5,1.33,4,1,1,1,1,2,2,-1,0,50,0,5134,2,1,5,0,4,0,5,4,4,2,1,0,6,1,1,66,29,89,73,2.5,1.06,3.56,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,16,24,1,10,11,1,3,7,100,100,50,50,0.83,0.2,3.0,0.0,2.0,0.0,0,0,1.24,1.69,2.93,10,True,True,True,True,False,False,True,3.19,2.46,3.19,1.85,1.95,1.35,3.84,2.14,1.85,2.02,3.18,1.38,1.44,2.88,1.55,2.38
Brasileirão_Série_A_2026,2026,3,Chapecoense,Coritiba,2026-02-11 22:00:00,3,3,6,6,5,11,2,1,0,0,8,5,13,8,21,13,4,8,51,49,Arena Condá,"Rua Clevelândia, Bairro Centro, Chapecó, Santa Catarina",2,1,2.45,3.1,3.18,1.39,2.36,4.05,1.85,1.76,1.38,1.71,3.0,2.2,1.51,3.1,2.39,1.3,6,1,1,2,2,4,2,-1,0,100,0,10578,2,1,1,3,5,2,4,7,0,0,2,1,0,3,1,44,31,93,79,2.2,1.4,3.59,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,21,12,1,8,4,1,8,10,100,100,100,100,1.17,2.0,3.0,3.0,2.0,1.5,0,0,0.95,1.02,1.97,9,True,True,True,True,True,True,True,3.21,2.83,2.70,1.63,2.20,1.37,4.15,2.21,1.88,1.97,3.27,1.36,1.46,2.80,,
Brasileirão_Série_A_2026,2026,3,Atlético Mineiro,Remo,2026-02-11 23:00:00,3,3,6,6,5,11,0,2,0,0,8,6,10,12,18,18,7,5,59,41,,,0,2,1.33,4.05,8.46,1.25,1.8,3.19,2.01,1.8,1.27,1.67,2.95,2.37,1.33,2.62,3.02,1.43,6,1,1,2,2,4,2,-1,0,50,0,16056,2,1,3,1,3,4,4,7,0,0,0,2,0,2,1,26,18,93,87,1.89,1.69,3.57,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,22,18,1,14,11,1,9,9,50,100,50,50,2.2,0.33,1.0,0.0,0.5,0.5,50,0,1.3,1.17,2.47,11,True,True,True,True,True,True,True,4.50,1.45,7.96,1.55,2.37,1.27,3.19,1.85,2.05,1.82,2.79,1.46,1.37,3.22,,
Brasileirão_Série_A_2026,2026,3,São Paulo,Grêmio,2026-02-12 00:30:00,2,0,2,3,3,6,3,3,0,1,4,1,14,4,18,5,7,12,58,42,Morumbí,"Praca Roberto Gomes Pedrosa 1, Morumbi, São Paulo",3,4,1.98,3.2,4.2,1.31,2.12,3.6,1.83,1.85,1.54,2.16,2.31,1.83,1.4,2.94,2.53,1.35,2,1,0,1,0,1,1,618,0,100,0,18491,2,1,0,2,3,1,2,4,2,2,1,2,4,3,1,62,30,96,74,1.86,0.61,2.47,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,11,11,1,14,11,1,6,15,100,100,0,0,2.4,0.33,3.0,0.0,2.0,1.5,0,0,1.09,1.21,2.3,11,True,True,False,False,False,False,False,3.29,1.96,4.52,2.02,1.78,1.35,3.78,2.12,1.92,1.93,,,,,1.56,2.32
Brasileirão_Série_A_2026,2026,3,Vasco da Gama,Bahia,2026-02-12 00:30:00,0,1,1,8,4,12,5,4,0,0,4,3,22,5,26,8,16,13,62,38,Estádio Club de Regatas Vasco da Gama,"Rua Gal Almério de Moura 131, Bairro Vasco da Gama, Rio de Janeiro, Rio de Janeiro",5,4,2.25,3.2,2.66,1.22,1.75,3.2,1.65,2.1,1.68,2.24,2.23,1.78,1.37,2.62,2.85,1.44,1,0,1,0,0,0,1,626,0,100,0,-1,2,1,5,4,3,0,9,3,1,2,4,2,3,6,1,80,28,110,80,2.49,0.93,3.41,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,23,13,1,14,15,1,3,12,50,100,50,50,1.67,2.4,1.0,3.0,0.5,2.0,50,0,3.38,1.26,4.64,10,True,False,False,False,False,False,False,3.35,2.31,3.31,2.01,1.78,1.27,3.13,1.88,1.68,2.24,2.80,1.46,1.37,3.18,1.68,2.13
Brasileirão_Série_A_2026,2026,3,Atlético PR,Santos,2026-02-12 22:00:00,2,1,3,8,2,10,1,3,0,0,5,5,8,5,13,10,14,14,56,44,,,1,3,2.25,3.3,3.4,1.35,2.14,3.86,1.82,1.91,1.32,1.54,3.05,2.28,1.45,2.94,2.5,1.35,3,1,1,1,0,1,2,622,0,50,0,-1,2,1,3,0,5,2,3,7,0,1,1,2,1,3,1,46,19,92,87,1.51,1.13,2.63,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,28,22,1,14,15,1,6,6,50,50,50,50,2.4,0.4,0.0,0.0,3.0,0.5,0,0,0.0,2.54,2.54,10,True,True,True,False,False,False,True,3.21,2.03,4.34,1.60,2.25,1.38,4.03,2.22,1.95,1.90,3.28,1.36,1.47,2.76,,
