league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,pinnacle_ft_2,pinnacle_ft_1,pinnacle_ft_x,pinnacle_ft_over35,pinnacle_ft_over15,pinnacle_ft_over25,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_btts_yes,pinnacle_btts_no,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_1st_half_under05,pinnacle_1st_half_over05,pinnacle_corners_over_85,pinnacle_corners_under_85
Sweden_Allsvenskan_2025,2025,2,Öster,Häcken,2025-04-05 15:30:00,2,0,2,2,10,12,4,0,0,0,5,3,6,12,11,15,21,6,28,72,,,4,0,3.62,3.22,1.91,1.16,1.57,2.43,1.71,2.32,1.23,1.43,3.7,2.75,1.25,2.2,3.3,1.55,2,1,0,1,0,1,1,683,0,0,0,-1,2,1,2,3,0,7,5,7,2,0,2,0,2,2,1,33,77,71,132,1.28,1.72,3.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,15,26,1,6,21,1,9,7,0,0,0,0,0.8,1.27,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,30,True,True,False,False,False,False,False,2.03,3.69,3.70,3.05,1.25,1.84,2.75,1.48,1.71,2.20,1.48,2.53,3.27,1.36,,
Sweden_Allsvenskan_2025,2025,2,AIK,Norrköping,2025-04-06 12:00:00,4,3,7,4,2,6,1,2,0,0,5,4,10,7,15,11,14,13,50,50,Friends Arena,"Råsta Strandväg 1, Solna",1,2,1.65,3.5,5.0,1.3,2.0,3.9,2.02,1.72,1.4,1.64,2.7,1.83,1.4,3.13,2.7,1.34,7,0,1,4,2,6,1,661,0,0,0,-1,2,1,1,1,3,1,2,4,0,0,1,2,0,3,1,43,28,91,128,1.61,1.2,2.8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,33,31,1,13,14,1,5,9,0,0,0,0,1.8,0.87,0.0,0.0,3.0,3.0,0,0,0.0,0.0,0.0,30,True,True,True,True,True,True,True,4.96,1.82,3.52,4.03,1.40,2.24,3.36,1.35,2.02,1.84,1.74,2.06,2.76,1.47,,
Sweden_Allsvenskan_2025,2025,2,Brommapojkarna,Hammarby,2025-04-06 12:00:00,0,2,2,5,6,11,4,2,0,0,4,7,8,12,12,19,23,15,39,61,Grimsta IP,"Gulddragargränd 100, Hässelby-Vällingby, Stockholm",4,2,3.58,3.57,1.95,1.29,2.0,3.5,1.6,2.05,1.28,1.46,3.3,2.48,1.4,3.04,3.3,1.4,2,0,0,0,2,2,0,655,0,0,0,-1,2,1,3,2,2,4,5,6,2,1,2,1,3,3,1,41,65,72,106,1.33,2.15,3.49,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,22,21,1,15,23,1,6,5,0,0,0,0,0.8,1.67,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,30,True,True,False,False,False,False,False,2.07,3.82,3.44,3.50,1.30,2.03,3.06,1.40,1.81,2.06,1.50,2.47,2.96,1.42,,
Sweden_Allsvenskan_2025,2025,2,Degerfors,Värnamo,2025-04-06 14:30:00,1,0,1,2,9,11,2,3,0,1,3,5,3,11,6,16,16,18,45,55,Stora Valla,"Stora Vallavägen 1, Degerfors",2,5,2.1,3.24,3.28,1.42,2.25,4.17,1.75,1.95,1.34,1.79,3.04,2.23,1.49,3.2,2.7,1.33,1,1,0,0,0,0,1,680,0,0,0,-1,2,1,2,2,0,7,4,7,2,3,0,1,5,1,1,40,49,76,105,0.88,1.72,2.6,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,24,22,1,18,16,1,13,4,0,0,0,0,0.53,0.33,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,30,True,False,False,False,False,False,False,3.52,2.27,3.24,4.17,1.41,2.30,3.43,1.33,1.98,1.88,1.58,2.30,2.71,1.49,,
Sweden_Allsvenskan_2025,2025,2,Mjällby,GAIS,2025-04-06 14:30:00,1,1,2,6,5,11,2,2,0,0,3,2,15,5,18,7,12,19,58,42,Strandvallen,"Campingvägen 44, Hällevik, Sölvesborg",2,2,1.9,3.3,4.12,1.4,2.21,4.0,1.91,1.8,1.26,1.53,3.3,2.35,1.48,3.22,2.72,1.35,2,0,0,1,1,2,0,-1,0,0,0,-1,2,1,4,4,2,1,8,3,1,1,1,1,2,2,1,55,41,106,102,1.74,0.89,2.63,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,26,24,1,19,12,1,6,13,0,0,0,0,2.47,1.6,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,30,True,True,False,False,False,False,True,4.14,2.03,3.33,3.96,1.38,2.22,3.29,1.36,1.95,1.90,1.59,2.26,2.81,1.46,,
Sweden_Allsvenskan_2025,2025,2,Malmö FF,Elfsborg,2025-04-07 17:10:00,2,1,3,5,3,8,3,2,0,0,7,2,15,6,22,8,15,17,63,37,,,3,2,1.77,3.4,4.0,1.22,1.85,3.27,1.72,2.05,1.16,1.46,4.0,2.56,1.36,2.67,2.9,1.42,3,0,0,2,1,3,0,656,0,0,0,-1,2,1,2,2,3,1,4,4,2,0,1,2,2,3,1,70,27,111,60,2.38,0.84,3.22,0,0,0,0,0,0,1,1,0,0,0,1,2,0,1,16,21,1,17,14,1,6,13,0,0,0,0,1.67,1.07,0.0,0.0,3.0,1.0,0,0,0.0,0.0,0.0,30,True,True,True,False,False,False,True,4.70,1.78,3.85,3.27,1.28,1.89,2.85,1.45,1.81,2.05,1.46,2.56,3.18,1.38,,
Sweden_Allsvenskan_2025,2025,3,Häcken,Mjällby,2025-04-12 13:00:00,0,3,3,4,5,9,1,2,0,0,2,5,5,6,7,11,10,12,58,42,Bravida Arena,"Inlandsgatan 48, Göteborg",1,2,2.35,3.4,2.9,1.22,1.7,2.83,1.62,2.25,1.23,1.59,3.38,2.55,1.36,2.5,3.17,1.48,3,0,1,0,2,2,1,671,0,50,0,-1,2,1,2,5,2,0,7,2,1,0,0,2,1,2,1,64,34,138,58,1.06,1.29,2.35,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,17,11,1,12,10,1,8,7,50,100,50,50,1.07,2.53,3.0,1.0,1.5,1.0,50,0,1.92,1.29,3.21,30,True,True,True,False,False,False,False,3.04,2.35,3.60,2.83,1.23,1.76,2.65,1.51,1.61,2.38,1.46,2.55,3.34,1.35,,
Sweden_Allsvenskan_2025,2025,3,Elfsborg,Norrköping,2025-04-12 15:30:00,2,0,2,6,4,10,2,0,0,0,6,2,6,8,12,10,15,4,35,65,Borås Arena,"Ălgårdsvägen 32, Borås",2,0,1.77,3.95,4.7,1.18,1.75,2.82,1.63,2.05,1.28,1.44,3.3,2.44,1.3,2.4,3.2,1.47,2,1,0,1,0,1,1,663,0,100,0,-1,2,1,3,3,3,1,6,4,1,0,1,0,1,1,1,35,57,52,104,1.42,1.19,2.61,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,20,17,1,4,15,1,9,4,100,100,50,100,1.6,0.87,1.0,0.0,0.5,1.5,0,0,1.95,1.2,3.15,30,True,True,False,False,False,False,False,5.02,1.68,4.14,2.88,1.24,1.77,2.63,1.52,1.77,2.12,1.50,2.46,3.39,1.34,,
Sweden_Allsvenskan_2025,2025,3,Hammarby,Djurgården,2025-04-13 12:00:00,2,0,2,5,4,9,2,4,0,0,5,3,9,2,14,5,17,21,65,35,Tele2 Arena,"Johanneshov, Stockholm",2,4,2.14,3.3,3.33,1.38,2.05,3.69,1.83,1.91,1.35,1.6,3.22,2.23,1.36,3.12,2.78,1.37,2,1,0,1,0,1,1,655,0,0,0,-1,2,1,4,4,1,0,8,1,0,1,2,3,1,5,1,65,32,134,76,1.71,0.77,2.48,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,24,21,1,21,17,1,6,4,50,50,50,50,2.47,1.6,3.0,3.0,3.0,1.5,50,50,2.44,1.99,4.43,30,True,True,False,False,False,False,False,3.33,2.33,3.30,3.69,1.33,2.10,3.11,1.39,1.81,2.07,1.78,2.01,2.88,1.44,1.45,2.62
Sweden_Allsvenskan_2025,2025,3,Värnamo,IFK Göteborg,2025-04-13 12:00:00,0,1,1,4,3,7,2,2,0,0,3,3,8,6,11,9,18,16,54,46,Finnvedsvallen,"Sandgatan, Värnamo",2,2,2.63,3.26,2.5,1.31,2.0,3.42,1.75,2.0,1.24,1.61,3.5,2.45,1.43,2.95,2.62,1.35,1,0,1,0,0,0,1,665,0,50,0,-1,2,1,1,2,3,1,3,4,1,1,1,1,2,2,1,51,32,102,81,1.28,1.02,2.3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,39,32,1,16,18,1,11,7,100,100,50,50,0.73,1.93,0.0,0.0,0.0,1.5,0,0,1.39,0.64,2.03,30,True,False,False,False,False,False,False,2.62,2.76,3.45,3.75,1.35,2.11,,,1.85,2.01,1.59,2.28,,,,
