league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,temperature_celsius,wind_speed,humidity,clouds,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_corners_under_85,pinnacle_corners_over_85,pinnacle_ft_2,pinnacle_ft_x,pinnacle_ft_1,pinnacle_ft_over35,pinnacle_ft_over25,pinnacle_ft_over15,pinnacle_btts_yes,pinnacle_btts_no,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_1st_half_over05,pinnacle_1st_half_under05
Saudi_Pro_League_2025-2026,2025/2026,2,Al Shabab,Al Hazm,2025-09-12 15:35:00,1,0,1,9,3,12,2,3,0,1,3,1,10,1,13,2,14,10,60,40,,,2,4,1.55,4.3,5.5,1.15,1.43,2.23,1.69,2.14,1.51,1.81,2.47,1.87,1.26,2.2,3.74,1.63,1,0,0,1,0,1,0,5067,0,100,0,-1,2,1,6,0,3,3,6,6,0,4,2,0,4,2,1,58,28,103,68,1.45,0.41,1.86,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,22,15,1,10,14,1,2,14,50,100,0,50,1.0,1.5,0.0,1.0,0.0,1.0,50,0,1.49,1.08,2.57,9,True,False,False,False,False,False,False,39.15,6.44,10%,2%,,,,,5.03,4.86,1.53,2.24,1.50,1.16,1.62,2.24,2.18,1.66,,
Saudi_Pro_League_2025-2026,2025/2026,2,Al Ittihad,Al Fateh,2025-09-12 18:00:00,4,2,6,8,3,11,4,3,1,1,7,6,9,7,16,13,10,7,64,36,King Abdullah Sports City,", Jeddah",6,4,1.36,5.25,6.5,1.1,1.33,1.8,1.47,2.4,1.32,1.75,3.2,2.38,1.15,1.91,4.45,1.81,6,3,1,1,1,2,4,5070,0,0,0,-1,2,1,6,2,2,1,8,3,3,2,2,2,5,4,1,41,25,67,62,1.79,1.42,3.21,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,19,11,1,7,9,1,6,7,0,0,0,0,1.2,0.4,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,9,True,True,True,True,True,True,True,36.96,7.59,17%,0%,,,,,6.64,5.38,1.39,1.87,1.33,1.10,1.50,2.52,1.95,1.84,,
Saudi_Pro_League_2025-2026,2025/2026,2,Al Khaleej,Al Feiha,2025-09-13 15:25:00,3,0,3,2,7,9,1,2,0,0,5,2,9,7,14,9,9,13,52,48,,,1,2,2.49,3.25,2.6,1.32,2.1,3.68,1.87,1.91,1.47,1.83,2.35,1.83,1.41,2.75,2.7,1.33,3,1,0,2,0,2,1,5077,0,50,0,-1,2,1,0,1,2,6,1,8,1,1,0,1,2,1,1,31,42,77,110,1.46,1.03,2.48,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,18,14,1,13,9,1,3,10,50,50,50,50,1.75,1.2,0.0,3.0,3.0,3.0,0,0,0.0,0.87,0.87,9,True,True,True,False,False,False,False,37.59,8.35,32%,0%,,,,,3.31,3.24,2.28,3.87,2.16,1.36,1.85,1.94,3.17,1.34,1.42,2.76
Saudi_Pro_League_2025-2026,2025/2026,2,Al Akhdoud,Al Taawon,2025-09-13 15:45:00,2,3,5,7,3,10,2,2,0,0,3,4,6,12,9,16,14,16,47,53,,,2,2,2.43,3.5,2.65,1.29,2.05,3.3,1.75,1.95,1.56,2.22,2.34,1.85,1.4,2.8,2.85,1.36,5,1,2,1,1,2,3,5074,0,50,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,2,2,0,2,2,1,13,11,28,34,0.87,1.36,2.23,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,1,11,10,1,16,14,1,14,7,50,50,50,50,0.8,3.0,0.0,0.0,0.0,0.0,0,0,0.91,0.0,0.91,9,True,True,True,True,True,False,True,33.53,9.23,14%,0%,,,,,2.13,3.57,3.32,3.73,2.08,1.34,1.84,1.95,3.07,1.36,1.41,2.83
Saudi_Pro_League_2025-2026,2025/2026,2,Al Hilal,Al Quadisiya,2025-09-13 18:00:00,2,2,4,7,3,10,2,1,0,0,10,2,14,8,24,10,10,11,55,45,,,2,1,1.66,4.0,4.2,1.13,1.49,2.22,1.55,2.44,1.35,1.95,2.52,1.93,1.2,2.13,3.65,1.73,4,0,1,2,1,3,1,-1,0,0,0,-1,2,1,3,2,4,1,5,5,0,0,2,1,0,3,1,87,35,124,81,2.83,1.03,3.86,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,18,6,1,10,10,1,7,13,0,50,50,50,2.6,1.4,3.0,0.0,3.0,3.0,50,0,1.8,0.0,1.8,9,True,True,True,True,False,False,True,36.79,6.81,16%,0%,,,,,4.87,4.24,1.63,2.20,1.47,1.14,1.53,2.44,2.16,1.67,,
Saudi_Pro_League_2025-2026,2025/2026,2,Al Riyadh,Al Najma,2025-09-14 15:35:00,2,1,3,3,3,6,2,3,1,0,3,1,4,6,7,7,18,8,36,64,Prince Turki bin Abdul Aziz Stadium,", Riyadh",3,3,2.03,3.43,2.96,1.25,1.8,3.0,1.62,2.18,1.52,1.92,2.24,1.75,1.33,2.5,3.02,1.45,3,2,0,0,1,1,2,5088,0,50,0,-1,2,1,2,2,1,1,4,2,0,1,3,2,1,5,1,30,42,67,88,0.87,0.82,1.7,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,26,14,1,8,18,1,9,8,50,50,50,50,1.4,0.17,0.0,0.0,0.0,0.0,0,0,0.0,0.99,0.99,10,True,True,True,False,False,False,True,38.34,10.65,8%,0%,,,,,3.37,3.51,2.13,2.95,1.83,1.25,1.64,2.21,2.70,1.44,1.34,3.17
Saudi_Pro_League_2025-2026,2025/2026,2,Dhamk,Neom SC,2025-09-14 15:50:00,1,2,3,4,5,9,2,1,0,0,3,5,8,15,11,20,14,7,40,60,,,2,1,3.8,3.5,1.7,1.24,1.75,2.95,1.73,2.05,1.49,1.83,2.35,1.82,1.32,2.5,3.27,1.46,3,0,1,1,1,2,1,5097,0,50,0,-1,2,1,2,4,2,1,6,3,0,0,2,1,0,3,1,25,33,75,98,1.09,1.85,2.94,0,1,0,1,0,0,1,1,0,0,0,3,0,0,1,20,16,1,7,13,1,17,5,0,50,0,50,0.6,2.0,1.0,0.0,1.0,0.0,100,50,0.97,1.14,2.11,9,True,True,True,False,False,False,True,28.88,10.14,16%,16%,,,,,1.71,4.08,4.45,2.89,1.77,1.24,1.76,2.04,,,,
Saudi_Pro_League_2025-2026,2025/2026,2,Al Nassr,Al Kholood,2025-09-14 18:00:00,2,0,2,10,1,11,2,2,0,0,12,1,17,4,29,5,11,11,69,31,King Saud University Stadium,"Ash Shaikh Hasan Ibn Abdullah Al Ash Shaikh, King Saud University, Riyadh",2,2,1.12,7.0,14.0,1.05,1.2,1.66,1.76,1.98,1.44,1.69,2.49,2.13,1.13,1.76,4.6,2.12,2,0,0,2,0,2,0,5069,0,50,0,-1,2,1,3,1,7,0,4,7,0,0,2,2,0,4,1,71,24,136,59,3.18,0.57,3.74,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,17,9,1,11,10,1,1,17,50,50,50,50,3.0,0.6,0.0,0.0,3.0,0.0,0,0,0.0,1.18,1.18,9,True,True,False,False,False,False,False,38.44,10.44,8%,0%,1.69,2.13,,,17.12,10.62,1.11,1.54,1.19,,1.78,2.01,1.61,2.26,,
Saudi_Pro_League_2025-2026,2025/2026,3,Al Taawon,Al Ittifaq,2025-09-18 15:40:00,4,1,5,2,7,9,2,4,0,0,5,4,6,10,11,14,12,9,45,55,,,2,4,2.1,3.2,3.0,1.26,2.0,3.4,1.72,2.0,1.56,2.2,2.35,1.96,1.36,2.6,2.92,1.38,5,1,0,3,1,4,1,5074,0,0,0,-1,2,1,1,2,1,5,3,6,1,2,1,2,3,3,1,28,56,42,60,1.24,1.56,2.8,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,18,16,1,8,12,1,6,7,50,50,0,50,2.0,1.4,0.0,0.0,1.5,2.0,0,0,0.44,0.0,0.44,9,True,True,True,True,True,False,True,40.09,5.63,8%,3%,1.94,1.87,2.35,1.56,3.34,3.43,2.18,3.42,2.03,1.31,1.77,2.05,2.99,1.37,1.39,2.89
Saudi_Pro_League_2025-2026,2025/2026,3,Al Kholood,Dhamk,2025-09-18 15:40:00,2,1,3,3,5,8,1,0,0,0,3,2,7,11,10,13,14,15,45,55,,,1,0,2.15,3.65,3.15,1.28,1.82,2.97,1.72,2.05,2.01,3.22,1.75,1.48,1.35,2.5,3.0,1.42,3,1,1,1,0,1,2,5125,0,0,0,-1,2,1,0,2,3,3,2,6,1,0,0,0,1,0,1,38,47,63,73,1.11,1.3,2.41,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,19,25,1,15,13,1,8,9,0,0,0,0,1.5,0.5,0.0,0.0,0.0,0.5,0,0,0.0,0.0,0.0,9,True,True,True,False,False,False,True,40.09,5.63,8%,3%,2.58,1.48,1.75,2.05,2.98,3.41,2.38,3.50,2.03,1.32,1.80,2.01,2.97,1.38,1.39,2.89
