league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,pinnacle_btts_no,pinnacle_btts_yes,pinnacle_ft_1,pinnacle_ft_x,pinnacle_ft_2,pinnacle_ft_over25,pinnacle_ft_over35,pinnacle_ft_over15,pinnacle_corners_over_95,pinnacle_corners_over_85,pinnacle_corners_under_85,pinnacle_corners_under_95,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_1st_half_over05,pinnacle_1st_half_under05
Denmark_Superliga_2025-2026,2025/2026,2,Nordsjælland,Brøndby,2025-07-27 16:00:00,0,1,1,7,0,7,1,2,0,0,5,1,10,6,15,7,8,5,55,45,Right to Dream Park,"Idrætsvænget 2, Farum",1,2,3.13,3.79,2.15,1.11,1.48,2.25,1.44,2.5,1.42,1.7,2.62,2.07,1.27,2.26,3.4,1.65,1,0,1,0,0,0,1,2517,0,0,0,-1,2,1,1,0,6,0,1,6,1,1,0,1,2,1,1,76,28,148,90,1.86,0.73,2.58,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,21,11,1,5,8,1,6,7,0,0,0,0,1.73,1.5,0.0,0.0,3.0,3.0,0,0,0.0,0.0,0.0,21,True,False,False,False,False,False,False,2.76,1.48,3.38,3.84,2.09,1.56,2.35,1.17,1.71,,,2.08,2.26,1.68,,
Denmark_Superliga_2025-2026,2025/2026,2,Midtjylland,SønderjyskE,2025-07-28 17:00:00,6,2,8,5,3,8,0,1,0,0,9,7,13,13,22,20,6,14,55,45,MCH Arena,"Kaj Zartows Vej 5, Herning",0,1,1.52,4.6,5.4,1.12,1.43,1.95,1.44,2.5,1.42,1.73,2.62,2.02,1.2,2.0,3.98,1.73,8,3,1,3,1,4,4,955,0,50,0,-1,2,1,2,3,3,0,5,3,0,0,0,1,0,1,1,39,49,96,85,2.3,2.1,4.39,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,16,14,1,13,5,1,12,13,50,50,50,50,2.4,1.18,1.0,0.0,1.0,1.0,0,0,2.01,0.0,2.01,21,True,True,True,True,True,True,True,2.65,1.51,1.55,4.80,5.44,1.43,2.09,1.13,1.65,,,2.19,2.01,1.87,,
Denmark_Superliga_2025-2026,2025/2026,3,Fredericia,København,2025-08-01 16:00:00,0,2,2,5,8,13,0,0,0,0,3,6,6,11,9,17,5,10,39,61,Monjasa Park,"Vestre Ringvej 102, Fredericia",0,0,6.55,4.64,1.47,1.2,1.65,2.63,1.75,2.06,1.45,1.7,2.55,2.0,1.29,2.35,3.3,1.52,2,0,1,0,1,1,1,55,0,100,0,-1,2,-1,2,3,3,5,5,8,0,0,0,0,0,0,1,24,73,73,144,0.96,2.03,2.99,0,0,0,0,0,0,1,1,0,0,1,0,-1,-1,1,16,13,1,10,5,1,9,7,100,100,100,100,0.8,1.45,0.0,3.0,1.5,3.0,0,0,0.96,2.41,3.37,21,True,True,False,False,False,False,False,2.05,1.82,7.04,4.91,1.44,1.62,2.57,1.20,1.81,1.47,2.56,2.01,2.40,1.61,,
Denmark_Superliga_2025-2026,2025/2026,3,Vejle,OB,2025-08-01 18:00:00,4,0,4,4,2,6,1,1,0,0,4,0,5,4,9,4,13,8,40,60,Vejle Stadion,"Roms Hule 3, Vejle",1,1,2.7,3.55,2.45,1.17,1.67,2.63,1.57,2.36,1.32,1.7,3.05,2.32,1.3,2.45,3.2,1.5,4,2,0,2,0,2,2,3647,0,100,0,-1,2,1,1,1,3,1,2,4,0,0,1,1,0,2,1,50,39,101,105,1.22,0.55,1.77,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,26,33,1,8,13,1,2,6,50,100,50,50,1.1,1.2,1.0,1.0,0.5,2.0,50,0,1.52,1.17,2.69,21,True,True,True,True,False,False,False,2.49,1.57,2.66,3.58,2.64,1.73,2.77,1.22,1.56,,,2.34,2.56,1.54,,
Denmark_Superliga_2025-2026,2025/2026,3,Randers,Silkeborg,2025-08-03 12:00:00,1,0,1,4,5,9,1,1,0,0,5,4,5,14,10,18,5,6,47,53,,,1,1,1.94,3.87,3.68,1.2,1.67,2.65,1.59,2.29,1.56,2.2,2.34,1.85,1.3,2.4,3.2,1.47,1,1,0,0,0,0,1,2521,0,0,0,-1,2,1,2,1,2,4,3,6,1,1,0,0,2,0,1,32,49,107,102,1.23,1.77,3.0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,7,13,1,5,5,1,11,9,50,50,0,50,1.27,0.8,0.0,0.0,2.0,0.0,0,0,0.0,0.91,0.91,21,True,False,False,False,False,False,False,2.34,1.64,1.92,3.87,3.94,1.71,2.75,1.22,1.96,1.56,2.32,1.85,2.58,1.53,,
Denmark_Superliga_2025-2026,2025/2026,3,SønderjyskE,Nordsjælland,2025-08-03 12:00:00,3,2,5,1,6,7,2,1,0,0,4,7,1,10,5,17,11,14,32,68,Sydbank Park,"Stadionvej 7, Haderslev",2,1,3.31,3.93,1.95,1.22,1.53,2.25,1.5,2.5,1.5,1.85,2.31,1.85,1.26,2.36,3.5,1.57,5,1,1,2,1,3,2,2519,0,100,0,-1,2,1,1,4,0,2,5,2,2,0,0,1,2,1,1,28,65,44,136,0.8,2.04,2.84,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,11,25,1,14,11,1,8,1,50,100,50,100,2.0,1.2,1.0,3.0,0.5,1.5,50,0,1.27,1.69,2.96,21,True,True,True,True,True,False,True,2.54,1.55,3.13,3.76,2.23,1.65,2.58,1.20,1.98,1.57,2.31,1.83,2.47,1.58,,
Denmark_Superliga_2025-2026,2025/2026,3,AGF,Midtjylland,2025-08-03 14:00:00,0,0,0,9,0,9,1,2,0,1,2,1,20,5,22,6,14,6,74,26,,,1,4,2.64,3.25,2.31,1.18,1.7,2.41,1.48,2.6,1.48,1.68,2.55,1.98,1.3,2.3,3.08,1.56,0,0,0,0,0,0,0,-1,0,50,0,-1,2,1,4,0,5,0,4,5,0,1,1,2,1,3,1,93,21,130,75,2.19,0.61,2.81,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,20,17,1,5,14,1,7,15,50,50,0,50,2.27,1.91,0.0,0.0,0.5,2.0,0,0,1.58,0.0,1.58,21,False,False,False,False,False,False,False,2.66,1.51,2.49,3.73,2.75,1.62,2.54,1.18,1.83,1.48,2.55,1.99,2.45,1.57,,
Denmark_Superliga_2025-2026,2025/2026,3,Brøndby,Viborg,2025-08-03 16:00:00,0,2,2,4,1,5,1,3,0,0,5,4,16,7,21,11,10,15,58,42,Brøndby Stadion,"Brøndby Stadion 8, Brøndby",1,3,1.65,3.8,4.2,1.15,1.54,2.31,1.56,2.38,1.27,1.57,3.05,2.3,1.25,2.28,3.6,1.61,2,0,1,0,1,1,1,2526,0,50,0,-1,2,1,2,1,2,0,3,2,1,2,0,1,3,1,1,95,41,140,90,2.36,1.28,3.64,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,21,13,1,15,10,1,8,11,100,100,0,100,1.64,1.27,3.0,0.0,3.0,0.0,0,0,1.49,1.62,3.11,21,True,True,False,False,False,False,False,2.46,1.58,1.77,4.03,4.49,1.60,2.48,1.19,,,,,2.33,1.64,,
Denmark_Superliga_2025-2026,2025/2026,4,København,AGF,2025-08-08 16:00:00,2,3,5,4,7,11,2,4,0,0,8,3,11,8,19,11,10,5,61,39,Parken,"Øster Allé 50, København",2,4,1.67,3.9,5.01,1.25,1.79,2.88,1.75,2.15,1.57,2.4,2.1,1.65,1.33,2.76,3.0,1.45,5,0,1,2,2,4,1,2516,0,50,0,-1,2,1,2,2,1,4,4,5,0,0,2,4,0,6,1,50,44,107,64,2.12,1.22,3.34,1,0,1,0,0,0,1,1,0,1,1,2,0,0,1,20,24,1,4,10,1,8,10,0,100,50,100,1.3,2.2,3.0,1.0,3.0,0.67,100,0,1.53,1.14,2.67,21,True,True,True,True,True,False,True,2.13,1.75,1.72,4.02,4.88,1.83,3.07,1.26,,,,,2.75,1.47,1.37,3.23
Denmark_Superliga_2025-2026,2025/2026,4,Viborg,SønderjyskE,2025-08-08 18:00:00,1,0,1,0,3,3,1,2,0,0,2,1,6,12,8,13,10,15,42,58,Energi Viborg Arena,"Stadion Allé 7, Viborg",1,2,2.0,3.55,3.4,1.22,1.73,2.83,1.62,2.2,1.32,1.83,2.88,2.19,1.35,2.54,2.95,1.46,1,1,0,0,0,0,1,2526,0,100,0,-1,2,1,0,2,0,1,2,1,0,0,1,2,0,3,1,40,73,82,114,0.94,1.42,2.36,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,19,29,1,15,10,1,14,8,100,100,100,100,1.6,1.18,0.0,0.0,1.0,1.33,0,0,1.09,2.1,3.19,21,True,False,False,False,False,False,False,2.30,1.66,1.86,3.93,4.10,1.72,2.79,1.23,1.65,,,2.19,2.60,1.52,1.36,3.30
