league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,pinnacle_ft_over35,pinnacle_ft_over15,pinnacle_ft_over25,pinnacle_ft_1,pinnacle_ft_2,pinnacle_ft_x,pinnacle_corners_under_95,pinnacle_corners_over_95,pinnacle_btts_no,pinnacle_btts_yes,pinnacle_1st_half_over05,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_1st_half_under05,pinnacle_corners_under_85,pinnacle_corners_over_85
Finland_Veikkausliiga_2025,2025,2,Inter Turku,Gnistan,2025-04-12 14:00:00,3,0,3,12,3,15,2,2,0,0,5,2,3,0,8,2,15,8,49,51,Veritas Stadion,"Hippoksentie 6, Åbo",2,2,1.7,3.6,4.0,1.21,1.83,2.77,1.63,1.98,1.42,1.76,2.57,1.95,1.3,2.72,3.2,1.48,3,1,0,2,0,2,1,406,0,100,0,-1,2,1,9,0,3,3,9,6,1,1,1,1,2,2,1,53,39,99,86,1.25,0.56,1.81,0,0,0,0,0,0,1,1,0,0,5,0,0,0,1,26,18,1,0,3,1,1,11,50,100,0,50,2.06,1.06,1.0,0.0,1.0,0.0,50,0,1.57,1.68,3.25,32,True,True,True,False,False,False,False,,,,,,,,,,,,,,,,
Finland_Veikkausliiga_2025,2025,2,KuPS,Oulu,2025-04-12 16:23:00,1,0,1,1,6,7,2,1,0,0,4,5,3,2,7,7,11,17,57,43,Savon Sanomat Areena,"Kaartokatu 6, Kuopio",2,1,1.55,3.95,5.75,1.25,1.77,3.02,1.98,1.85,1.43,1.72,2.63,2.05,1.33,2.6,3.04,1.45,1,1,0,0,0,0,1,411,0,50,0,-1,2,1,1,3,0,3,4,3,0,1,2,0,1,2,1,19,36,115,105,0.88,1.07,1.95,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,17,20,1,1,2,1,2,5,50,50,50,50,2.31,0.93,0.0,0.0,1.0,0.0,0,0,0.0,1.01,1.01,27,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,
Finland_Veikkausliiga_2025,2025,3,VPS,Inter Turku,2025-04-19 12:00:00,0,2,2,10,7,17,1,1,0,0,4,6,4,1,8,7,10,7,45,55,,,1,1,2.91,3.52,2.35,1.24,1.67,2.8,1.59,2.25,1.48,1.89,2.87,2.1,1.3,2.4,3.3,1.5,2,0,1,0,1,1,1,406,0,50,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,1,43,60,88,109,1.1,1.31,2.41,0,0,0,0,0,0,1,1,0,0,-1,-1,1,0,1,31,30,1,1,0,1,2,3,50,50,50,50,1.36,1.75,3.0,0.0,2.0,2.0,0,0,2.04,0.0,2.04,27,True,True,False,False,False,False,False,,,,,,,,,,,,,,,,
Finland_Veikkausliiga_2025,2025,3,Haka,Oulu,2025-04-19 14:00:00,2,1,3,5,3,8,4,3,0,0,4,2,6,3,10,5,17,12,50,50,Tehtaan kenttä,"Tehtaankatu 7, Valkeakoski",4,3,2.3,3.38,2.95,1.25,1.8,3.0,1.6,2.05,1.39,1.65,2.6,1.93,1.33,2.84,2.87,1.42,3,0,1,2,0,2,1,424,0,50,0,-1,2,1,2,0,3,3,2,6,2,1,2,2,3,4,1,58,25,95,85,1.33,0.65,1.99,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,26,18,1,1,1,1,6,12,50,50,25,100,0.69,0.93,1.5,0.0,1.5,0.0,50,50,1.68,1.04,2.72,27,True,True,True,False,False,False,True,,,,,,,,,,,,,,,,
Finland_Veikkausliiga_2025,2025,3,Mariehamn,SJK,2025-04-19 14:00:00,1,2,3,4,7,11,0,2,0,0,1,4,4,10,5,14,7,12,38,62,,,0,2,4.5,3.78,1.72,1.22,1.7,2.69,1.56,2.15,1.5,1.85,2.35,2.1,1.3,2.35,3.2,1.51,3,1,0,0,2,2,1,102,0,0,0,-1,2,1,1,4,3,3,5,6,0,0,0,2,0,2,1,19,89,50,145,0.53,1.81,2.34,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,16,21,1,0,2,1,13,9,0,50,0,50,1.29,1.75,0.0,3.0,1.5,3.0,100,50,1.46,2.39,3.85,27,True,True,True,False,False,False,True,,,,,,,,,,,,,,,,
Finland_Veikkausliiga_2025,2025,3,KTP,Ilves,2025-04-19 14:00:00,0,5,5,4,5,9,1,3,0,0,2,8,6,10,8,18,7,7,46,54,Arto Tolsa Areena,"Korkeavuorenkatu 2, Kotka",1,3,4.1,3.86,1.76,1.18,1.6,2.35,1.58,2.2,1.33,1.82,2.9,2.09,1.25,2.08,3.3,1.65,5,0,1,0,4,4,1,407,0,25,0,-1,2,1,2,3,2,2,5,4,1,1,0,2,2,2,1,60,69,59,75,1.07,2.18,3.26,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,17,16,1,1,2,1,10,6,25,25,25,25,0.69,1.63,0.5,0.0,0.5,3.0,25,25,1.46,0.0,1.46,27,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,
Finland_Veikkausliiga_2025,2025,3,KuPS,Jaro,2025-04-19 16:00:00,1,0,1,6,2,8,4,2,0,0,2,5,4,2,6,7,11,8,61,39,Savon Sanomat Areena,"Kaartokatu 6, Kuopio",4,2,1.5,3.7,5.25,1.3,1.92,2.87,1.91,1.91,1.5,1.85,2.35,1.68,1.33,2.55,3.0,1.44,1,0,0,1,0,1,0,411,0,25,0,-1,2,1,3,2,3,0,5,3,1,1,3,1,2,4,1,95,53,113,86,1.21,1.18,2.39,0,0,0,0,0,0,1,1,0,0,1,2,0,0,1,21,22,1,1,0,1,6,6,25,50,25,100,2.31,1.69,3.0,1.5,2.0,1.5,75,50,0.88,0.94,1.82,27,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,
Finland_Veikkausliiga_2025,2025,3,HJK,Gnistan,2025-04-22 16:00:00,0,1,1,8,4,12,2,1,0,0,3,4,11,4,14,8,10,12,50,50,,,2,1,1.43,4.4,6.5,1.16,1.52,2.4,1.73,2.05,1.35,1.58,2.83,2.2,1.3,2.25,3.2,1.51,1,0,0,0,1,1,0,419,0,25,0,-1,2,1,3,1,5,3,4,8,0,0,2,1,0,3,1,60,31,106,79,1.53,1.02,2.55,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,23,10,1,12,11,1,7,9,50,50,0,50,1.5,1.06,0.0,0.0,0.0,0.0,0,0,0.0,1.12,1.12,32,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,
Finland_Veikkausliiga_2025,2025,15,KuPS,Mariehamn,2025-04-23 15:00:00,4,1,5,6,1,7,1,0,0,0,6,2,13,7,19,9,11,11,50,50,Savon Sanomat Areena,"Kaartokatu 6, Kuopio",1,0,1.29,4.5,7.5,1.2,1.8,2.95,2.2,1.75,1.37,1.7,2.65,2.17,1.36,2.64,2.87,1.44,5,2,0,2,1,3,2,411,0,0,0,-1,2,1,4,0,2,1,4,3,0,0,1,0,0,1,1,82,23,153,63,2.22,0.88,3.1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,15,13,1,10,11,1,6,15,0,0,0,75,2.31,1.08,3.0,3.0,2.33,1.0,100,100,1.05,0.92,1.97,27,True,True,True,True,True,False,True,,,,,,,,,,,,,,,,
Finland_Veikkausliiga_2025,2025,13,SJK,Oulu,2025-04-23 16:00:00,3,1,4,10,5,15,5,1,0,0,5,3,13,7,18,10,10,7,50,50,OmaSP Stadion,"Alaseinäjoenkatu 9, Seinäjoki",5,1,1.67,3.6,4.2,1.17,1.68,2.8,1.7,2.04,1.41,1.67,2.75,2.13,1.33,2.4,3.1,1.45,4,1,1,2,0,2,2,102,0,34,0,-1,2,1,5,3,5,2,8,7,0,1,5,0,1,5,1,58,36,99,80,1.9,1.11,3.01,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,19,21,1,9,13,1,6,11,34,34,17,50,1.94,0.93,3.0,0.0,3.0,0.0,67,67,1.92,0.91,2.83,27,True,True,True,True,False,False,True,,,,,,,,,,,,,,,,
