season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,temperature_celsius,wind_speed,humidity,clouds,league,date
2024-2025,3,2,0,2,9,3,12,0,1,0,1,12,0,9,0,21,0,14,15,72,28,Estádio Do Dragão (Porto),,0,2,1.23,5.6,11.0,1.2,1.72,2.9,2.38,1.53,1.38,1.61,2.7,2.12,1.33,2.5,3.25,1.5,2,2,0,0,0,0,2,1724518800,82,0,50,0,-1,2,1,1,3,8,0,4,8,0,2,0,0,2,0,1,91,17,149,41,2.82,0.13,2.96,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,20,15,-1,-1,-1,1,0,13,100,100,50,100,Porto,Rio Ave FC,2.47,0.71,3.0,0.0,3.0,1.5,0,0,1.16,0.58,1.74,34,True,True,False,False,False,False,False,,16.11,71%,0%,Liga_Portugal,2024-08-24 17:00:00
2024-2025,3,1,0,1,7,3,10,1,3,0,0,2,2,3,2,5,4,19,16,59,41,Estádio Municipal 22 de Junho (Vila Nova de Famalicão),,1,3,1.68,3.75,4.93,1.27,1.82,3.5,2.0,1.75,1.4,1.64,2.65,2.08,1.4,3.0,2.75,1.36,1,1,0,0,0,0,1,1724527800,1033,0,0,0,-1,2,1,4,0,2,3,4,5,0,3,1,0,3,1,1,31,34,76,123,0.69,0.66,1.35,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,26,31,-1,-1,-1,1,3,7,0,50,0,50,Famalicão,Boavista FC,1.65,1.06,3.0,3.0,3.0,1.5,100,50,1.14,0.67,1.81,34,True,False,False,False,False,False,False,,3.44,73%,2%,Liga_Portugal,2024-08-24 19:30:00
2024-2025,3,1,0,1,12,2,14,4,3,0,0,9,0,2,4,11,4,19,12,58,42,Estádio do Sport Lisboa e Benfica (da Luz) (Lisboa),"Rua José Maria Nicolau, Lisboa",4,3,1.14,7.0,20.0,1.12,1.55,2.2,2.2,1.62,1.29,1.48,3.15,2.4,1.25,2.1,3.75,1.67,1,1,0,0,0,0,1,1724527800,78,0,50,0,59490,2,1,4,1,8,1,5,9,2,1,2,2,3,4,1,100,13,145,72,2.06,0.36,2.42,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,18,24,-1,-1,-1,1,5,5,50,100,0,0,Benfica,Estrela Amadora,2.59,0.59,3.0,1.0,1.5,0.5,50,0,2.49,0.8,3.29,34,True,False,False,False,False,False,False,,24.16,69%,0%,Liga_Portugal,2024-08-24 19:30:00
2024-2025,3,1,0,1,3,6,9,3,3,0,0,2,6,7,7,9,13,16,14,35,65,Estádio Clube Desportivo das Aves (Vila das Aves),,3,3,3.7,3.35,2.01,1.3,1.73,3.28,1.79,1.98,1.21,1.38,3.65,2.7,1.39,2.82,2.86,1.4,1,0,0,1,0,1,0,1724614200,998595,0,50,0,-1,2,1,0,3,3,3,3,6,1,0,2,3,1,5,1,25,67,58,110,0.89,1.73,2.62,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,16,33,-1,-1,-1,1,8,7,0,50,0,100,AVS,Vitória Guimarães,0.88,1.29,1.0,3.0,0.5,3.0,100,50,1.49,1.02,2.51,34,True,False,False,False,False,False,False,,,,,Liga_Portugal,2024-08-25 19:30:00
2024-2025,3,0,0,0,8,1,9,4,1,0,0,1,4,7,6,8,10,20,7,48,52,Estádio António Coimbra da Mota (Estoril),,4,1,2.5,3.25,2.7,1.36,1.95,3.7,1.77,1.95,1.56,1.91,2.2,1.76,1.42,2.9,2.62,1.36,0,0,0,0,0,0,0,1724605200,-1,0,50,0,-1,2,1,0,0,8,1,0,9,0,0,4,1,0,5,1,42,25,107,102,0.89,1.11,2.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,23,15,-1,-1,-1,1,15,13,100,100,50,100,GD Estoril Praia,Gil Vicente,1.47,0.82,0.0,0.0,0.0,1.5,0,0,0.47,0.23,0.7,34,False,False,False,False,False,False,False,,24.16,49%,0%,Liga_Portugal,2024-08-25 17:00:00
2024-2025,3,3,1,4,6,1,7,0,2,0,0,5,5,8,4,13,9,13,7,67,33,Estádio Municipal de Braga (Braga),,0,2,1.47,4.48,6.65,1.24,1.76,2.98,1.91,1.83,1.5,1.81,2.35,1.85,1.36,2.71,3.0,1.43,4,1,0,2,1,3,1,1724614200,172,0,100,0,-1,2,1,3,0,3,1,3,4,0,1,0,1,1,1,1,72,30,131,50,1.7,1.13,2.83,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,23,11,-1,-1,-1,1,5,9,50,100,0,50,Sporting Braga,Moreirense FC,1.88,0.82,1.0,3.0,2.0,3.0,50,0,1.59,1.35,2.94,34,True,True,True,True,False,False,True,,4.21,49%,0%,Liga_Portugal,2024-08-25 19:30:00
2024-2025,3,1,0,1,9,3,12,2,6,0,0,4,1,4,10,8,11,17,11,47,53,Estádio Municipal de Arouca (Arouca),,2,6,1.87,3.6,3.8,1.25,1.8,3.1,1.75,2.0,1.43,1.71,2.55,1.96,1.36,2.75,3.0,1.4,1,1,0,0,0,0,1,1724596200,167,0,50,0,-1,2,1,3,1,6,2,4,8,0,1,2,5,1,7,1,34,38,74,88,1.04,1.04,2.08,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,23,28,-1,-1,-1,1,16,6,0,50,0,100,FC Arouca,CD Nacional,1.24,0.59,0.0,1.0,0.0,0.5,100,50,0.63,0.82,1.45,34,True,False,False,False,False,False,False,,2.44,91%,76%,Liga_Portugal,2024-08-25 14:30:00
2024-2025,4,1,1,2,0,8,8,4,5,0,0,4,4,1,7,5,11,18,9,34,66,Parque Desportivo Comendador Joaquim de Almeida Freitas (Moreira de Cónegos),,4,5,7.25,4.4,1.45,1.22,1.79,3.2,2.0,1.75,1.5,1.8,2.35,1.86,1.36,2.63,3.0,1.44,2,0,0,1,1,2,0,1725045300,-1,0,50,0,-1,2,1,0,1,0,7,1,7,1,2,3,3,3,6,1,17,94,77,145,0.73,1.66,2.4,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,18,50,-1,-1,-1,1,14,2,50,100,50,100,Moreirense FC,Benfica,1.53,2.12,3.0,0.0,2.0,2.0,50,0,1.17,1.09,2.26,34,True,True,False,False,False,False,True,,2.42,80%,77%,Liga_Portugal,2024-08-30 19:15:00
2024-2025,4,2,1,3,3,2,5,1,2,0,0,5,2,7,6,12,8,13,8,52,48,"Estádio de São Miguel (Ponta Delgada, Ilha de São Miguel, Açores)","Rua Comandante Jaime de Sousa 21, Ponta Delgada, Ilha de São Miguel, Açores",1,2,1.87,3.4,3.9,1.34,2.02,3.62,1.91,1.91,1.3,1.52,3.05,2.3,1.44,3.0,2.63,1.36,3,1,1,1,0,1,2,1725114600,1028,0,50,0,-1,2,1,1,0,2,2,1,4,0,0,1,2,0,3,1,54,43,91,82,1.5,0.96,2.46,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,22,29,-1,-1,-1,1,5,9,50,100,100,100,Santa Clara,AVS,1.88,0.71,0.0,0.0,2.0,1.33,50,0,0.42,1.08,1.5,34,True,True,True,False,False,False,True,,9.22,88%,75%,Liga_Portugal,2024-08-31 14:30:00
2024-2025,4,0,1,1,2,7,9,1,1,0,0,3,5,5,5,8,10,8,23,66,34,Estádio José Gomes (Amadora),,1,1,2.15,3.2,3.3,1.38,2.28,4.05,1.96,1.79,1.5,1.84,2.33,1.82,1.48,3.22,2.55,1.32,1,0,0,0,1,1,0,1725123600,4810,0,0,0,-1,2,1,0,4,2,3,4,5,0,0,1,1,0,2,1,46,44,126,65,1.07,1.3,2.36,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,25,18,-1,-1,-1,1,8,7,100,100,0,50,Estrela Amadora,Casa Pia,1.12,1.0,0.0,0.0,0.33,0.0,0,0,0.87,0.49,1.36,34,True,False,False,False,False,False,False,,23.02,68%,20%,Liga_Portugal,2024-08-31 17:00:00
2024-2025,4,0,0,0,8,3,11,2,5,0,0,5,1,13,6,18,7,12,19,48,52,Estádio do Bessa Século XXI (Porto),,2,5,2.3,3.1,3.0,1.4,2.12,4.0,1.9,1.9,1.48,1.8,2.38,1.86,1.45,3.26,2.76,1.34,0,0,0,0,0,0,0,1725123600,-1,0,0,0,-1,2,1,3,3,5,0,6,5,0,0,2,5,0,7,1,42,28,97,68,1.79,0.72,2.51,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,19,20,-1,-1,-1,1,8,14,0,0,0,100,Boavista FC,GD Estoril Praia,0.35,1.24,0.0,0.0,1.0,0.33,100,100,0.51,0.62,1.13,34,False,False,False,False,False,False,False,,13,82%,77%,Liga_Portugal,2024-08-31 17:00:00
2024-2025,4,2,0,2,2,3,5,1,5,0,0,5,3,8,3,13,6,13,18,54,46,Estádio José Alvalade (Lisboa),,1,5,1.87,3.6,3.75,1.23,1.67,2.8,1.67,2.1,1.63,1.8,2.08,2.0,1.32,2.5,3.1,1.48,2,0,0,2,0,2,0,1725132600,114,0,50,0,-1,2,1,1,1,1,2,2,3,1,1,0,4,2,4,1,39,19,74,57,1.45,0.73,2.18,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,6,13,-1,-1,-1,1,6,7,50,100,100,100,Sporting CP,Porto,2.59,1.71,3.0,3.0,3.0,3.0,50,0,2.12,1.1,3.22,34,True,True,False,False,False,False,False,,20.71,82%,75%,Liga_Portugal,2024-08-31 19:30:00
2024-2025,4,2,1,3,5,7,12,5,3,0,0,5,4,2,3,7,7,18,12,49,51,Estádio Dom Afonso Henriques (Guimarães),,5,3,1.91,3.4,3.9,1.38,2.1,3.85,1.9,1.8,1.36,1.6,2.8,2.15,1.45,3.1,2.55,1.33,3,1,1,1,0,1,2,1725219000,175,0,0,0,-1,2,1,2,2,3,5,4,8,2,1,3,2,3,5,1,38,42,74,85,1.07,1.03,2.11,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,3,-1,-1,-1,1,9,7,50,50,0,100,Vitória Guimarães,Famalicão,1.88,1.12,3.0,3.0,2.0,3.0,50,50,1.46,1.29,2.75,34,True,True,True,False,False,False,True,,1.01,84%,10%,Liga_Portugal,2024-09-01 19:30:00
2024-2025,4,0,0,0,4,5,9,4,1,0,0,5,2,3,5,8,7,9,18,48,52,Estádio Cidade de Barcelos (Barcelos),,4,1,4.2,3.8,1.75,1.25,1.7,2.9,1.7,2.05,1.48,1.78,2.4,1.88,1.33,2.5,3.0,1.48,0,0,0,0,0,0,0,1725219000,-1,0,50,0,-1,2,1,0,4,4,1,4,5,1,1,3,0,2,3,1,34,63,71,118,1.11,1.05,2.16,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,2,3,-1,-1,-1,1,11,3,50,50,50,100,Gil Vicente,Sporting Braga,1.18,2.0,3.0,3.0,1.33,2.33,50,50,1.64,1.39,3.03,34,False,False,False,False,False,False,False,,1.39,92%,10%,Liga_Portugal,2024-09-01 19:30:00
2024-2025,4,2,0,2,4,4,8,3,3,0,0,4,0,7,6,11,6,19,16,51,49,Estádio da Madeira (Funchal (Ilha da Madeira)),,3,3,2.3,3.4,2.9,1.29,1.85,3.2,1.72,2.1,1.3,1.52,3.05,2.3,1.38,2.7,2.85,1.4,2,1,0,1,0,1,1,1725201000,163,0,50,0,2038,2,1,2,1,2,3,3,5,0,0,3,3,0,6,1,35,40,76,83,1.23,0.68,1.91,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,25,40,-1,-1,-1,1,7,9,50,50,50,100,CD Nacional,Farense,1.41,0.94,0.0,0.0,0.33,0.0,50,50,1.05,1.27,2.32,34,True,True,False,False,False,False,False,,16.11,74%,20%,Liga_Portugal,2024-09-01 14:30:00
2024-2025,4,1,0,1,8,8,16,1,3,0,0,5,3,6,8,11,11,16,19,46,54,Estádio do Rio Ave Futebol Clube (Vila do Conde),,1,3,2.3,3.4,2.9,1.34,1.95,3.62,1.82,1.95,1.65,2.06,2.06,1.65,1.42,2.95,2.65,1.35,1,1,0,0,0,0,1,1725210000,171,0,50,0,-1,2,1,2,3,6,5,5,11,0,2,1,1,2,2,1,22,33,74,64,1.21,1.14,2.35,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,7,10,-1,-1,-1,1,12,4,50,50,50,100,Rio Ave FC,FC Arouca,1.53,1.0,3.0,0.0,1.0,1.0,50,50,0.98,0.99,1.97,34,True,False,False,False,False,False,False,,8.05,68%,0%,Liga_Portugal,2024-09-01 17:00:00
2024-2025,5,1,0,1,4,11,15,4,2,0,0,3,3,5,6,8,9,15,12,38,62,Estádio Clube Desportivo das Aves (Vila das Aves),,4,2,2.6,3.2,2.7,1.33,2.1,3.66,1.8,1.95,1.43,1.7,2.55,2.0,1.44,3.25,2.63,1.33,1,0,0,1,0,1,0,1726333200,998595,0,50,0,-1,2,1,1,5,3,6,6,9,1,1,3,1,2,4,1,41,48,102,124,1.02,1.14,2.16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,24,16,-1,-1,-1,1,8,11,25,75,50,75,AVS,Rio Ave FC,0.88,0.71,2.0,0.0,1.0,1.5,75,25,1.19,0.35,1.54,34,True,False,False,False,False,False,False,,,,,Liga_Portugal,2024-09-14 17:00:00
2024-2025,5,2,2,4,9,2,11,3,4,0,0,3,4,13,6,16,10,8,17,67,33,Estádio José Gomes (Amadora),,3,4,1.94,3.2,4.0,1.47,2.25,4.75,2.1,1.67,1.4,1.66,2.65,2.04,1.5,3.5,2.5,1.29,4,1,2,1,0,1,3,1726514100,-1,0,0,0,-1,2,1,1,1,8,1,2,9,3,1,0,3,4,3,1,60,34,130,67,1.66,1.16,2.82,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,29,25,-1,-1,-1,1,8,19,25,25,0,50,Estrela Amadora,Boavista FC,1.12,1.06,0.0,1.5,0.25,1.0,75,75,0.97,0.66,1.63,34,True,True,True,True,False,False,True,,14.97,16%,0%,Liga_Portugal,2024-09-16 19:15:00
2024-2025,5,2,1,3,11,0,11,2,3,0,0,12,6,10,6,22,12,7,19,72,28,Estádio Do Dragão (Porto),,2,3,1.12,8.5,15.5,1.12,1.37,2.0,2.38,1.53,1.34,1.56,2.9,2.2,1.22,2.1,4.0,1.67,3,0,0,2,1,3,0,1726410600,82,0,0,0,-1,2,1,3,0,9,0,3,9,0,1,2,2,1,4,1,74,23,113,50,2.76,1.34,4.1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,26,11,-1,-1,-1,1,8,15,25,75,25,100,Porto,Farense,2.47,0.94,3.0,0.0,2.25,0.0,75,25,1.99,0.97,2.96,34,True,True,True,False,False,False,True,,8.05,25%,0%,Liga_Portugal,2024-09-15 14:30:00
2024-2025,5,1,1,2,8,1,9,1,0,0,0,4,2,5,5,9,7,11,16,57,43,Estádio Municipal 22 de Junho (Vila Nova de Famalicão),,1,0,1.85,3.3,4.2,1.38,2.1,4.0,1.95,1.8,1.53,1.82,2.28,1.98,1.44,3.25,2.63,1.33,2,1,0,0,1,1,1,1726342200,-1,0,0,0,-1,2,1,2,1,6,0,3,6,0,0,1,0,0,1,1,46,43,103,90,1.19,0.9,2.09,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,16,26,-1,-1,-1,1,9,8,25,50,0,75,Famalicão,Gil Vicente,1.65,0.82,3.0,0.5,2.25,1.25,75,50,0.92,0.67,1.59,34,True,True,False,False,False,False,True,,2.77,43%,40%,Liga_Portugal,2024-09-14 19:30:00
2024-2025,5,0,2,2,6,4,10,3,3,1,0,2,4,3,6,5,10,20,17,52,48,Estádio Municipal de Braga (Braga),,5,3,1.91,3.5,3.76,1.36,1.91,3.75,1.95,1.8,1.3,1.5,3.05,2.33,1.44,3.0,2.63,1.36,2,0,0,0,2,2,0,1726428600,175,0,50,0,-1,2,1,3,2,3,2,5,5,1,1,3,2,2,5,1,61,23,108,75,0.91,1.08,1.99,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,18,15,-1,-1,-1,1,7,6,25,50,0,50,Sporting Braga,Vitória Guimarães,1.88,1.29,2.0,1.5,2.0,2.25,75,50,1.64,1.37,3.01,34,True,True,False,False,False,False,False,,5.01,26%,3%,Liga_Portugal,2024-09-15 19:30:00
2024-2025,5,1,0,1,3,4,7,2,1,0,1,3,3,6,11,9,14,22,12,52,48,Estádio António Coimbra da Mota (Estoril),,2,3,2.3,3.25,3.01,1.36,2.04,3.75,1.8,1.95,1.34,1.57,2.88,2.2,1.44,3.25,2.63,1.33,1,1,0,0,0,0,1,1726419600,164,0,50,0,-1,2,1,2,2,1,2,4,3,1,0,1,2,1,3,1,56,38,85,97,1.19,1.37,2.56,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,28,23,-1,-1,-1,1,19,9,25,50,25,75,GD Estoril Praia,CD Nacional,1.47,0.59,0.5,0.5,0.5,1.0,75,50,0.68,0.93,1.61,34,True,False,False,False,False,False,False,,18.41,27%,0%,Liga_Portugal,2024-09-15 17:00:00
2024-2025,5,0,3,3,2,8,10,3,0,0,0,2,7,2,7,4,14,14,11,38,62,Estádio Municipal de Arouca (Arouca),,3,0,12.0,6.25,1.25,1.11,1.4,2.08,1.95,1.8,1.47,1.95,2.43,1.85,1.25,2.1,3.75,1.67,3,0,1,0,2,2,1,1726254900,114,0,25,0,-1,2,1,2,4,0,4,6,4,0,0,3,0,0,3,1,15,86,35,137,0.5,2.0,2.5,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,8,16,-1,-1,-1,1,8,2,50,50,50,100,FC Arouca,Sporting CP,1.24,2.24,1.5,3.0,0.75,3.0,50,50,0.84,1.86,2.7,34,True,True,True,False,False,False,False,,7.65,57%,25%,Liga_Portugal,2024-09-13 19:15:00
2024-2025,5,4,1,5,5,1,6,1,3,0,0,8,2,5,3,13,5,14,7,60,40,Estádio do Sport Lisboa e Benfica (da Luz) (Lisboa),"Rua José Maria Nicolau, Lisboa",1,3,1.22,5.75,11.0,1.18,1.57,2.09,2.1,1.67,1.41,1.66,2.63,2.04,1.29,2.25,3.5,1.57,5,2,1,2,0,2,3,1726342200,78,0,25,0,60145,2,1,3,0,2,1,3,3,0,1,1,2,1,3,1,60,23,141,62,1.83,0.63,2.46,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,27,15,-1,-1,-1,1,6,8,50,75,25,50,Benfica,Santa Clara,2.59,1.47,3.0,3.0,1.75,2.25,50,25,2.27,1.11,3.38,34,True,True,True,True,True,False,True,,16.11,68%,0%,Liga_Portugal,2024-09-14 19:30:00
2024-2025,5,3,1,4,4,5,9,5,2,0,0,4,2,5,7,9,9,23,10,46,54,Estádio Municipal de Rio Maior (Rio Maior),,5,2,2.7,2.9,2.75,1.5,2.4,4.75,2.0,1.75,1.52,1.9,2.28,1.9,1.53,3.75,2.38,1.25,4,0,1,3,0,3,1,1726324200,4810,0,50,0,1288,2,1,2,3,2,2,5,4,0,0,5,2,0,7,1,37,26,106,91,1.13,0.91,2.04,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,13,14,-1,-1,-1,1,9,9,50,75,0,50,Casa Pia,Moreirense FC,1.65,0.82,0.0,1.5,0.75,1.75,50,25,1.14,1.24,2.38,34,True,True,True,True,False,False,True,,2.55,49%,85%,Liga_Portugal,2024-09-14 14:30:00
2024-2025,6,1,1,2,9,2,11,2,5,0,0,3,5,6,3,9,8,7,24,57,43,Estádio Cidade de Barcelos (Barcelos),,2,5,2.15,3.0,3.5,1.45,2.32,4.5,2.0,1.73,1.47,1.8,2.43,2.0,1.53,3.3,2.38,1.28,2,1,0,0,1,1,1,1727015400,-1,0,25,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,2,2,3,2,5,1,58,24,103,79,1.2,1.04,2.24,0,1,0,1,0,0,1,1,0,0,-1,-1,0,0,1,15,14,-1,-1,-1,1,3,5,50,50,25,25,Gil Vicente,Casa Pia,1.18,1.0,2.0,1.5,1.2,1.2,50,50,1.37,0.89,2.26,34,True,True,False,False,False,False,True,,9.73,61%,59%,Liga_Portugal,2024-09-22 14:30:00
2024-2025,6,2,2,4,7,4,11,2,2,0,0,7,4,6,3,13,7,15,9,57,43,Estádio do Rio Ave Futebol Clube (Vila do Conde),,2,2,1.95,3.2,4.0,1.42,2.15,4.33,1.95,1.75,1.37,1.61,2.75,2.12,1.48,3.3,2.45,1.28,4,1,0,1,2,3,1,1726929000,-1,0,0,0,-1,2,1,0,0,1,0,0,1,0,1,2,1,1,3,1,44,27,117,87,1.64,0.93,2.57,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,22,15,-1,-1,-1,1,5,7,0,0,0,75,Rio Ave FC,GD Estoril Praia,1.53,1.24,3.0,0.5,1.2,1.0,100,100,1.09,0.67,1.76,34,True,True,True,True,False,False,True,,3.44,78%,20%,Liga_Portugal,2024-09-21 14:30:00
2024-2025,6,0,0,0,4,3,7,5,3,0,0,3,1,4,2,7,3,24,15,42,58,Parque Desportivo Comendador Joaquim de Almeida Freitas (Moreira de Cónegos),,5,3,2.4,3.0,3.0,1.36,2.3,4.5,1.9,1.87,1.5,1.82,2.35,1.98,1.53,3.4,2.38,1.28,0,0,0,0,0,0,0,1726947000,-1,0,75,0,-1,-1,1,-1,-1,-1,-1,-1,-1,2,2,3,1,4,4,1,38,34,83,105,0.93,0.53,1.46,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,1,20,19,-1,-1,-1,1,6,9,75,100,50,75,Moreirense FC,Famalicão,1.53,1.12,2.0,1.5,1.4,2.0,25,0,0.95,1.16,2.11,34,False,False,False,False,False,False,False,,1.59,88%,4%,Liga_Portugal,2024-09-21 19:30:00
2024-2025,6,3,0,3,9,1,10,0,3,0,0,9,1,9,3,18,4,11,12,64,36,Estádio José Alvalade (Lisboa),,0,3,1.03,12.0,34.0,1.05,1.33,1.82,2.48,1.5,1.33,1.54,2.9,2.25,1.18,1.92,4.55,1.83,3,2,0,1,0,1,2,1727033400,114,0,75,0,43030,-1,1,-1,-1,-1,-1,-1,-1,0,1,0,2,1,2,1,78,20,119,82,2.33,0.48,2.81,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,1,21,9,-1,-1,-1,1,2,11,75,100,75,75,Sporting CP,AVS,2.59,0.71,3.0,0.0,3.0,1.4,25,0,1.79,1.02,2.81,34,True,True,True,False,False,False,False,,6.91,80%,20%,Liga_Portugal,2024-09-22 19:30:00
2024-2025,6,0,1,1,10,6,16,1,4,0,0,3,3,11,3,14,6,22,15,47,53,Estádio de São Lúis (Faro),,1,4,2.6,3.3,2.55,1.28,1.89,3.1,1.65,2.1,1.46,1.75,2.43,1.91,1.38,2.65,2.8,1.42,1,0,1,0,0,0,1,1727024400,167,0,50,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,0,4,1,4,1,53,47,95,92,1.48,0.94,2.42,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,1,27,32,-1,-1,-1,1,9,13,75,75,50,100,Farense,FC Arouca,0.65,1.0,0.0,0.0,0.0,0.6,25,25,0.87,1.07,1.94,34,True,False,False,False,False,False,False,,8.05,83%,0%,Liga_Portugal,2024-09-22 17:00:00
2024-2025,6,0,3,3,6,6,12,3,3,0,0,2,6,7,7,9,13,12,17,45,55,Estádio da Madeira (Funchal (Ilha da Madeira)),,3,3,4.1,3.25,1.89,1.25,1.85,3.3,1.75,2.0,1.4,1.65,2.65,2.06,1.36,2.75,3.0,1.4,3,0,0,0,3,3,0,1726859700,172,0,25,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,2,2,1,3,3,1,38,63,98,113,0.99,1.7,2.69,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,1,21,20,-1,-1,-1,1,10,13,25,50,25,75,CD Nacional,Sporting Braga,1.41,2.0,1.5,2.0,0.8,1.6,75,50,1.14,1.22,2.36,34,True,True,True,False,False,False,False,,3.44,87%,40%,Liga_Portugal,2024-09-20 19:15:00
2024-2025,6,1,0,1,3,8,11,2,3,0,0,4,5,4,5,8,10,17,19,44,56,"Estádio de São Miguel (Ponta Delgada, Ilha de São Miguel, Açores)","Rua Comandante Jaime de Sousa 21, Ponta Delgada, Ilha de São Miguel, Açores",2,3,1.8,3.3,4.6,1.33,2.25,3.8,2.0,1.75,1.4,1.66,2.65,2.02,1.44,3.25,2.63,1.33,1,0,0,1,0,1,0,1726929000,1028,0,50,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,3,1,31,36,89,103,1.02,1.25,2.27,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,1,23,37,-1,-1,-1,1,6,5,25,75,50,75,Santa Clara,Estrela Amadora,1.88,0.59,1.5,0.5,1.8,0.4,75,25,0.96,0.58,1.54,34,True,False,False,False,False,False,False,,9.22,57%,20%,Liga_Portugal,2024-09-21 14:30:00
2024-2025,6,0,3,3,5,6,11,4,4,0,0,1,5,3,4,4,9,7,18,47,53,Estádio Dom Afonso Henriques (Guimarães),,4,4,3.3,3.2,2.15,1.36,2.1,3.6,1.95,1.8,1.4,1.64,2.65,2.06,1.44,3.25,2.63,1.33,3,0,0,0,3,3,0,1726938000,82,0,25,0,-1,-1,1,-1,-1,-1,-1,-1,-1,3,2,1,2,5,3,1,44,42,99,83,0.66,1.23,1.88,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,1,16,20,-1,-1,-1,1,7,9,25,75,50,75,Vitória Guimarães,Porto,1.88,1.71,3.0,1.5,2.4,2.4,75,25,1.27,0.91,2.18,34,True,True,True,False,False,False,False,,10,61%,72%,Liga_Portugal,2024-09-21 17:00:00
