season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,temperature_celsius,wind_speed,humidity,clouds,league,date
2024-2025,2,4,2,6,2,3,5,1,4,0,1,6,5,8,2,14,7,6,13,62,38,Estádio Cidade de Barcelos (Barcelos),,1,5,2.23,3.3,2.9,1.33,1.86,3.52,1.75,2.0,1.33,1.55,2.95,2.25,1.4,3.0,2.75,1.36,6,2,2,2,0,2,4,1723835700,183,0,0,0,-1,2,1,1,3,1,0,4,1,0,1,1,4,1,5,1,46,38,103,89,1.64,1.08,2.72,1,0,1,0,0,0,1,1,0,0,0,2,0,0,1,13,9,-1,-1,-1,1,7,10,0,0,0,0,Gil Vicente,AVS,1.18,0.71,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,34,True,True,True,True,True,True,True,,10.45,58%,0%,Liga_Portugal,2024-08-16 19:15:00
2024-2025,2,1,0,1,7,14,21,0,1,0,0,3,4,5,7,8,11,8,16,51,49,Estádio do Rio Ave Futebol Clube (Vila do Conde),,0,1,1.91,3.5,4.0,1.27,1.91,3.2,1.75,1.95,1.36,1.58,2.8,2.18,1.39,2.94,3.01,1.4,1,1,0,0,0,0,1,1723905000,171,0,0,0,-1,2,1,4,8,3,6,12,9,0,1,0,0,1,0,1,36,39,78,116,0.98,1.27,2.25,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,20,28,-1,-1,-1,1,8,7,0,0,0,0,Rio Ave FC,Farense,1.53,0.94,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,False,False,False,False,False,False,,22.59,82%,93%,Liga_Portugal,2024-08-17 14:30:00
2024-2025,2,1,6,7,4,3,7,1,1,0,0,5,10,5,5,10,15,9,10,35,65,Estádio da Madeira (Funchal (Ilha da Madeira)),,1,1,10.0,6.0,1.28,1.14,1.53,2.15,2.0,1.75,1.41,1.67,2.6,2.02,1.29,2.25,3.5,1.57,7,1,2,0,4,4,3,1723914000,114,0,0,0,-1,2,1,3,2,1,1,5,2,1,0,0,1,1,1,1,9,23,40,61,1.05,1.81,2.85,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,5,24,-1,-1,-1,1,10,4,0,0,0,0,CD Nacional,Sporting CP,1.41,2.24,0.0,0.0,1.0,3.0,0,0,0.0,0.0,0.0,34,True,True,True,True,True,True,True,,20.71,35%,20%,Liga_Portugal,2024-08-17 17:00:00
2024-2025,2,3,0,3,12,2,14,0,1,0,0,8,1,13,3,21,4,6,14,63,37,Estádio do Sport Lisboa e Benfica (da Luz) (Lisboa),"Rua José Maria Nicolau, Lisboa",0,1,1.17,6.75,13.0,1.11,1.4,2.07,2.0,1.77,1.34,1.56,2.9,2.23,1.23,2.13,3.92,1.7,3,0,0,3,0,3,0,1723923000,78,0,0,0,58926,2,1,7,2,5,0,9,5,0,0,0,1,0,1,1,83,22,149,59,2.49,0.49,2.98,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,3,6,-1,-1,-1,1,4,16,0,0,0,0,Benfica,Casa Pia,2.59,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,True,False,False,False,False,,16.11,78%,20%,Liga_Portugal,2024-08-17 19:30:00
2024-2025,2,1,0,1,9,3,12,2,1,0,0,6,2,5,2,11,4,14,18,60,40,Estádio Dom Afonso Henriques (Guimarães),,2,1,1.63,3.6,4.78,1.25,1.9,3.04,1.9,1.84,1.33,1.53,2.95,2.28,1.37,2.75,2.95,1.42,1,1,0,0,0,0,1,1724000400,175,0,0,0,-1,2,1,5,0,4,3,5,7,2,0,0,1,2,1,1,46,29,113,83,1.46,0.62,2.07,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,26,26,-1,-1,-1,1,5,6,0,0,0,0,Vitória Guimarães,GD Estoril Praia,1.88,1.24,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,34,True,False,False,False,False,False,False,,13.06,34%,7%,Liga_Portugal,2024-08-18 17:00:00
2024-2025,2,0,1,1,3,8,11,3,1,0,0,1,3,3,6,4,9,8,9,31,69,Estádio do Bessa Século XXI (Porto),,3,1,5.0,4.2,1.57,1.2,1.67,2.9,1.78,2.0,1.34,1.8,2.9,2.0,1.33,2.55,3.16,1.48,1,0,1,0,0,0,1,1724009400,172,0,0,0,-1,2,1,1,4,2,4,5,6,0,0,3,1,0,4,1,24,83,68,130,0.51,1.39,1.89,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,10,36,-1,-1,-1,1,9,5,0,0,0,0,Boavista FC,Sporting Braga,0.35,2.0,0.0,0.0,3.0,1.0,0,0,0.0,0.0,0.0,34,True,False,False,False,False,False,False,,5.99,84%,38%,Liga_Portugal,2024-08-18 19:30:00
2024-2025,2,3,1,4,6,5,11,1,2,0,0,6,4,4,6,10,10,13,12,43,57,Parque Desportivo Comendador Joaquim de Almeida Freitas (Moreira de Cónegos),,1,2,2.15,3.11,3.2,1.35,2.05,3.7,1.8,1.95,1.52,1.88,2.28,1.92,1.44,3.25,2.63,1.33,4,2,1,1,0,1,3,1723991400,174,0,0,0,-1,2,1,5,1,1,4,6,5,0,0,1,2,0,3,1,17,12,40,28,1.17,0.99,2.16,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,14,20,-1,-1,-1,1,7,5,0,0,0,0,Moreirense FC,FC Arouca,1.53,1.0,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,34,True,True,True,True,False,False,True,,7.34,39%,93%,Liga_Portugal,2024-08-18 14:30:00
2024-2025,2,0,3,3,2,4,6,3,1,0,0,1,5,8,5,9,10,10,16,51,49,Estádio José Gomes (Amadora),,3,1,2.26,3.01,2.82,1.39,2.09,3.98,1.9,1.88,1.44,1.72,2.5,1.96,1.46,3.14,2.61,1.33,3,0,1,0,2,2,1,1724094900,1033,0,0,0,-1,2,1,1,3,1,1,4,2,1,0,2,1,1,3,1,30,42,96,96,0.87,1.29,2.16,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,27,30,-1,-1,-1,1,6,13,0,0,0,0,Estrela Amadora,Famalicão,1.12,1.12,0.0,0.0,1.0,3.0,0,0,0.0,0.0,0.0,34,True,True,True,False,False,False,False,,13.8,70%,0%,Liga_Portugal,2024-08-19 19:15:00
2024-2025,3,0,5,5,1,5,6,4,1,0,0,1,9,2,9,3,18,18,6,32,68,Estádio Do Algarve (Almancil),,4,1,14.0,7.5,1.2,1.09,1.4,1.98,2.01,1.75,1.34,1.56,2.88,2.2,1.22,2.05,4.05,1.73,5,0,2,0,3,3,2,1724440500,114,0,100,0,-1,2,1,0,4,1,1,4,2,1,1,3,0,2,3,1,7,21,22,62,0.31,1.91,2.22,0,1,0,1,0,0,1,1,0,0,0,3,0,1,1,14,18,-1,-1,-1,1,12,5,100,100,50,100,Farense,Sporting CP,0.65,2.24,0.0,3.0,0.0,3.0,0,0,1.43,1.81,3.24,34,True,True,True,True,True,False,False,,3.44,83%,0%,Liga_Portugal,2024-08-23 19:15:00
2024-2025,3,0,2,2,7,1,8,3,4,1,0,2,4,5,2,7,6,12,21,58,42,Estádio Municipal de Rio Maior (Rio Maior),,4,4,2.68,3.2,2.54,1.3,1.95,3.5,1.8,1.95,1.33,1.56,2.9,2.2,1.44,3.25,2.63,1.33,2,0,0,0,2,2,0,1724509800,1028,0,50,0,-1,2,1,3,1,4,0,4,4,0,1,4,3,1,7,1,33,33,109,78,0.84,0.91,1.74,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,38,24,-1,-1,-1,1,3,7,50,50,50,50,Casa Pia,Santa Clara,1.65,1.47,0.0,3.0,0.0,1.5,50,50,1.44,1.32,2.76,34,True,True,False,False,False,False,False,,17.27,58%,20%,Liga_Portugal,2024-08-24 14:30:00
