season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,temperature_celsius,wind_speed,humidity,clouds,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_1st_half_under05,pinnacle_1st_half_over05,pinnacle_ft_x,pinnacle_ft_1,pinnacle_ft_2,pinnacle_btts_yes,pinnacle_btts_no,pinnacle_ft_over15,pinnacle_ft_over35,pinnacle_ft_over25,pinnacle_corners_over_95,pinnacle_corners_under_95,date
2016-2017,2,0,1,1,3,5,8,2,1,0,0,0,4,4,5,4,9,12,8,37,63,Stadion Gazovik,"Tsvetnoy bulvar' 31, Rostoshi",2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0,1470574800,101,0,0,0,5600,-1,1,-1,-1,-1,-1,-1,-1,0,0,2,1,0,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Orenburg,CSKA Moskva,1.53,2.0,0.0,1.0,0.0,1.0,50,50,0.0,0.0,0.0,30,True,False,False,False,False,False,False,Russian_Premier_League,,,,,,,,,,,,,,,,,,,2016-08-07 13:00:00
2016-2017,2,2,0,2,2,2,4,2,3,0,1,7,3,4,3,11,6,9,15,48,52,Stadion Zvezda,"ul. Kujbysheva 95, Perm'",2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,1,0,1,1,1470576600,925,0,0,0,8800,-1,1,-1,-1,-1,-1,-1,-1,0,2,2,2,2,4,-1,0,0,0,0,0.0,0.0,0.0,1,0,0,0,1,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Amkar Perm,Anzhi Makhachkala,1.67,1.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0.0,30,True,True,False,False,False,False,False,Russian_Premier_League,,,,,,,,,,,,,,,,,,,2016-08-07 13:30:00
2016-2017,2,2,2,4,7,2,9,0,4,0,0,6,5,8,2,14,7,15,18,57,43,Stadion Lokomotiv,"ul. Bol'shaya Cherkizovskaya 125, Moskva",0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0,2,2,2,1470585600,-1,0,0,0,8103,-1,1,-1,-1,-1,-1,-1,-1,0,2,0,2,2,2,-1,0,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,0,50,Lokomotiv Moskva,Tom' Tomsk,1.27,0.2,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,30,True,True,True,True,False,False,True,Russian_Premier_League,,,,,,,,,,,,,,,,,,,2016-08-07 16:00:00
2016-2017,2,0,0,0,0,2,2,2,4,1,0,0,5,4,1,4,6,9,19,42,58,Stadion Olimp 2 (Rostov-na-Donu),"ul. Sholokhova 33, Rostov-na-Donu",4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1470594600,-1,0,0,0,8494,-1,1,-1,-1,-1,-1,-1,-1,3,2,0,2,5,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Rostov,Ural,2.47,0.67,3.0,0.0,3.0,3.0,50,50,0.0,0.0,0.0,30,False,False,False,False,False,False,False,Russian_Premier_League,,,,,,,,,,,,,,,,,,,2016-08-07 18:30:00
2016-2017,2,1,0,1,4,3,7,1,0,0,0,11,5,13,6,24,11,12,15,60,40,Otkrytiye Arena,"Volokolamskoye shosse, Tushino, Moskva",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1470673800,924,0,0,0,17449,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,50,50,Spartak Moskva,Krylya Sovetov,2.8,0.8,3.0,0.0,3.0,0.0,50,50,0.0,0.0,0.0,30,True,False,False,False,False,False,False,Russian_Premier_League,,,,,,,,,,,,,,,,,,,2016-08-08 16:30:00
2016-2017,2,4,0,4,3,5,8,3,2,0,0,6,5,2,2,8,7,14,14,50,50,Stadion Kuban',"ul. Zheleznodorozhnaya 49, Krasnodar",3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,3,0,3,1,1470673800,926,0,0,0,7930,-1,1,-1,-1,-1,-1,-1,-1,2,0,1,2,2,3,-1,0,0,0,0,0.0,0.0,0.0,1,0,0,0,1,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,0,50,Krasnodar,Akhmat Grozny,2.0,1.47,3.0,0.0,3.0,3.0,0,0,0.0,0.0,0.0,30,True,True,True,True,False,False,False,Russian_Premier_League,,,,,,,,,,,,,,,,,,,2016-08-08 16:30:00
2016-2017,3,3,2,5,9,1,10,5,3,0,1,3,0,6,4,9,4,13,15,74,26,Stadion Petrovskiy,"2-g Petrovsky Island, St. Petersburg",5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,2,3,0,3,2,1471019400,921,0,0,0,17967,-1,1,-1,-1,-1,-1,-1,-1,3,3,2,1,6,3,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Zenit,Rostov,2.4,0.73,1.0,0.0,1.0,2.0,50,50,0.0,0.0,0.0,30,True,True,True,True,True,False,True,Russian_Premier_League,,,,,,,,,,,,,,,,,,,2016-08-12 16:30:00
2016-2017,3,0,1,1,0,3,3,1,0,0,0,4,5,5,5,9,10,6,12,32,68,SKB-Bank Arena (Ekaterinburg),"ul. Festivalnaja 8, Ekaterinburg",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0,1471091400,101,0,0,0,8800,-1,1,-1,-1,-1,-1,-1,-1,1,0,0,0,1,0,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,50,50,50,Ural,CSKA Moskva,1.33,2.0,3.0,2.0,2.0,2.0,100,50,0.0,0.0,0.0,30,True,False,False,False,False,False,False,Russian_Premier_League,,,,,,,,,,,,,,,,,,,2016-08-13 12:30:00
2016-2017,3,1,1,2,7,2,9,2,0,0,0,6,7,3,9,9,16,15,8,45,55,Stadion Metallurg (Samara),"ul. Stroiteley 1, Samara",2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,1,1,1,1471100400,-1,0,0,0,9012,-1,1,-1,-1,-1,-1,-1,-1,1,0,1,0,1,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Krylya Sovetov,Krasnodar,1.07,1.27,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,30,True,True,False,False,False,False,True,Russian_Premier_League,,,,,,,,,,,,,,,,,,,2016-08-13 15:00:00
2016-2017,3,1,1,2,1,10,11,3,3,0,0,3,4,4,4,7,8,13,18,38,62,Central'nyj stadion Kazan' (Kazan'),"ul. Tashajak 2, Kazan'",3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,0,0,0,2,1471109400,-1,0,0,0,17339,-1,1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Rubin Kazan,Spartak Moskva,1.47,1.8,1.0,0.0,0.5,3.0,50,50,0.0,0.0,0.0,30,True,True,False,False,False,False,True,Russian_Premier_League,,,,,,,,,,,,,,,,,,,2016-08-13 17:30:00
