season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,temperature_celsius,wind_speed,humidity,clouds,pinnacle_ft_over25,pinnacle_ft_over15,pinnacle_ft_over35,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_1st_half_over05,pinnacle_1st_half_under05,pinnacle_ft_2,pinnacle_ft_1,pinnacle_ft_x,pinnacle_btts_no,pinnacle_btts_yes,pinnacle_corners_over_95,pinnacle_corners_under_85,pinnacle_corners_under_95,pinnacle_corners_over_85,date
2016-2017,17,2,0,2,7,2,9,0,3,0,0,7,0,12,8,19,8,16,11,48,52,Stadio Néas Smírnis,"1 Ioannou Chrisostomou, Néa Smírni, Athens",0,3,1.63,3.59,7.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,1,0,1,1,1485011700,1110,0,53,0,860,-1,1,-1,-1,-1,-1,-1,-1,0,1,0,2,1,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,73,26,67,Panionios,Panaitolikos,1.61,0.53,1.57,0.75,1.75,1.19,61,27,0.0,0.0,0.0,30,True,True,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-01-21 15:15:00
2016-2017,17,2,0,2,5,2,7,2,4,0,0,6,0,6,2,12,2,15,18,62,38,Stadio Georgios Karaiskáki,"Poseidonos Avenue, Faliro, Piraeus",2,4,1.22,6.75,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,2,0,2,0,1485019800,116,0,50,0,16150,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,3,2,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,76,26,69,Olympiakos Piraeus,Xanthi,2.67,1.27,2.75,2.13,2.44,1.94,32,26,0.0,0.0,0.0,30,True,True,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-01-21 17:30:00
2016-2017,17,2,0,2,7,0,7,1,1,0,0,9,2,10,0,19,2,14,14,60,40,Olympiako Stadio Spyros Louis,"37 Kifissias Avenue, Maroussi, Athens",1,1,1.65,3.71,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,1,0,1,1,1485090000,1101,0,51,0,5025,-1,1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,76,26,57,AEK Athens,Asteras Tripolis,2.11,0.6,1.75,0.5,1.38,1.19,44,26,0.0,0.0,0.0,30,True,True,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-01-22 13:00:00
2016-2017,17,0,0,0,3,7,10,4,2,0,0,4,6,6,4,10,10,20,23,48,52,AEL Arena,", Larissa",4,2,3.15,2.94,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1485098100,-1,0,41,0,1688,-1,1,-1,-1,-1,-1,-1,-1,1,1,3,1,2,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,67,21,55,Larissa,Platanias,1.53,0.93,1.57,0.75,0.93,1.31,53,34,0.0,0.0,0.0,30,False,False,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-01-22 15:15:00
2016-2017,17,1,1,2,6,3,9,1,1,0,0,3,5,11,3,14,8,17,18,54,46,Stadio Levadias,"Agion Theodoron, Levadia",1,1,3.24,3.0,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,1,0,1,1,1485098100,-1,0,63,0,741,-1,1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,88,38,63,Levadiakos,Atromitos,1.33,1.27,1.38,1.5,0.75,1.31,32,13,0.0,0.0,0.0,30,True,True,False,False,False,False,True,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-01-22 15:15:00
2016-2017,17,1,1,2,0,4,4,4,4,0,0,4,2,2,3,6,5,16,15,44,56,Stadio Kerkyras,"K. Georgaki, Corfu",4,4,6.44,3.8,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,0,0,0,2,1485106200,-1,0,25,0,1773,-1,1,-1,-1,-1,-1,-1,-1,1,3,3,1,4,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,63,38,63,Kerkyra,Panathinaikos,1.47,1.28,1.38,1.25,1.07,1.81,82,38,0.0,0.0,0.0,30,True,True,False,False,False,False,True,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-01-22 17:30:00
2016-2017,17,0,1,1,1,5,6,3,5,0,0,3,3,2,9,5,12,14,23,45,55,Stadio Zosimades,"18 Fotis Tzavella, Ioannina",3,5,5.0,3.6,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,1485192600,106,0,21,0,3117,-1,1,-1,-1,-1,-1,-1,-1,1,2,2,3,3,5,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,53,34,54,PAS Giannina,PAOK,1.4,1.67,1.75,1.43,1.56,1.73,60,48,0.0,0.0,0.0,30,True,False,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-01-23 17:30:00
2016-2017,2,0,2,2,6,10,16,3,2,0,0,4,5,10,4,14,9,13,15,54,46,Stadio Verias,"34 Stadiou, Veria",3,2,2.62,3.07,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,2,0,1485357300,1112,0,34,0,390,-1,1,-1,-1,-1,-1,-1,-1,0,0,3,2,0,5,-1,0,0,0,0,0.0,0.0,0.0,0,1,0,1,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,73,21,66,Veria,Iraklis,1.13,0.8,1.0,0.29,0.81,0.53,73,27,0.0,0.0,0.0,30,True,True,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-01-25 15:15:00
2016-2017,18,1,1,2,8,5,13,3,3,0,0,7,4,8,2,15,6,15,18,55,45,Kaftanzoglio Stadio,"Aghiou Dimitriou, Thessaloníki",3,3,2.39,3.0,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,0,0,0,2,1485608400,-1,0,76,0,708,-1,1,-1,-1,-1,-1,-1,-1,1,2,2,1,3,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,88,19,63,Iraklis,Larissa,1.13,0.33,0.75,0.38,0.69,0.94,57,13,0.0,0.0,0.0,30,True,True,False,False,False,False,True,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-01-28 13:00:00
2016-2017,18,1,1,2,5,6,11,4,1,0,0,7,7,13,8,20,15,20,17,57,43,Stadio Theodoros Kolokotronis,"Liagora, Tripoli",4,1,2.47,3.0,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,1,1,1,1485616500,-1,0,47,0,1740,-1,1,-1,-1,-1,-1,-1,-1,2,1,2,0,3,2,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,71,24,71,Asteras Tripolis,Panionios,1.27,1.5,1.88,1.89,1.12,1.82,65,30,0.0,0.0,0.0,30,True,True,False,False,False,False,True,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-01-28 15:15:00
2016-2017,18,0,0,0,1,1,2,2,5,1,1,2,3,3,3,5,6,20,19,58,42,SKODA Xanthi Arena,"Kimmeria Xanthis, Pigadia",3,7,2.97,3.0,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1485624600,-1,0,38,0,1890,-1,1,-1,-1,-1,-1,-1,-1,1,1,2,5,2,7,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,69,32,69,Xanthi,AEK Athens,1.93,1.5,1.75,1.0,1.82,1.47,63,32,0.0,0.0,0.0,30,False,False,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-01-28 17:30:00
2016-2017,18,0,0,0,9,1,10,0,3,0,0,5,2,10,3,15,5,14,14,63,37,Stadio Apóstolos Nikolaidis,"Leoforos Alexandras, Ampelokipi, Athens",0,3,1.21,7.06,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1485694800,-1,0,26,0,3978,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,3,0,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,69,19,63,Panathinaikos,Levadiakos,2.61,0.4,2.38,0.13,1.76,0.76,50,32,0.0,0.0,0.0,30,False,False,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-01-29 13:00:00
2016-2017,18,1,1,2,4,1,5,2,3,0,0,3,3,8,4,11,7,13,18,49,51,Stadio Peristeriou,"93 Giannitson, Peristeri, Athens",2,3,2.37,3.01,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,1,2,0,1485702900,-1,0,38,0,693,-1,1,-1,-1,-1,-1,-1,-1,0,1,2,2,1,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,63,7,82,Atromitos,PAS Giannina,1.33,1.0,1.13,1.38,1.29,1.47,69,38,0.0,0.0,0.0,30,True,True,False,False,False,False,True,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-01-29 15:15:00
2016-2017,18,0,1,1,3,4,7,3,4,0,1,3,6,1,6,4,12,14,15,48,52,Stadio Panetolikou,"Nikitara, Agrinio",3,6,7.24,3.79,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0,1485702900,106,0,38,0,2339,-1,1,-1,-1,-1,-1,-1,-1,0,2,3,3,2,6,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,63,32,69,Panaitolikos,PAOK,1.53,1.67,1.63,1.63,1.12,1.81,51,38,0.0,0.0,0.0,30,True,False,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-01-29 15:15:00
2016-2017,18,2,1,3,5,1,6,3,2,0,0,4,4,7,1,11,5,18,14,60,40,Dimotiko Stadio Perivolion,"Eleftherias, Perivolia",3,2,1.89,3.32,5.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,2,0,2,1,1485702900,1105,0,40,0,1464,-1,1,-1,-1,-1,-1,-1,-1,2,1,1,1,3,2,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,53,27,53,Platanias,Kerkyra,1.87,0.67,1.88,0.71,1.29,1.06,54,48,0.0,0.0,0.0,30,True,True,True,False,False,False,True,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-01-29 15:15:00
2016-2017,18,1,2,3,1,5,6,4,2,0,0,3,13,3,6,6,19,17,14,36,64,Stadio Verias,"34 Stadiou, Veria",4,2,9.99,6.4,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,2,0,0,0,3,1485711000,116,0,29,0,1425,-1,1,-1,-1,-1,-1,-1,-1,1,1,3,1,2,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,71,12,59,Veria,Olympiakos Piraeus,1.13,1.8,0.89,2.13,0.76,2.47,82,30,0.0,0.0,0.0,30,True,True,True,False,False,False,True,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-01-29 17:30:00
2016-2017,11,0,0,0,6,1,7,0,4,0,0,4,3,2,2,6,5,21,19,51,49,Kaftanzoglio Stadio,"Aghiou Dimitriou, Thessaloníki",0,4,2.38,3.08,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1485962100,-1,0,64,0,754,-1,1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,70,24,53,Iraklis,Kerkyra,1.13,0.67,0.78,0.63,0.71,1.0,53,31,0.0,0.0,0.0,30,False,False,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-02-01 15:15:00
2016-2017,11,0,2,2,2,2,4,1,1,0,0,4,7,1,12,5,19,16,14,34,66,AEL Arena,", Larissa",1,1,7.24,3.71,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,1,1,1,1485970200,106,0,36,0,2559,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,48,29,60,Larissa,PAOK,1.53,1.67,1.5,1.78,0.94,1.88,59,53,0.0,0.0,0.0,30,True,True,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-02-01 17:30:00
2016-2017,19,1,1,2,3,5,8,5,3,0,0,2,4,7,5,9,9,19,17,58,42,AEL Arena,", Larissa",5,3,2.11,3.05,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,1,2,0,1486213200,-1,0,39,0,1362,-1,1,-1,-1,-1,-1,-1,-1,2,2,3,1,4,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,56,22,56,Larissa,Kerkyra,1.53,0.67,1.33,0.67,0.89,1.0,56,45,0.0,0.0,0.0,30,True,True,False,False,False,False,True,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-02-04 13:00:00
2016-2017,19,2,0,2,4,2,6,0,2,0,0,8,5,12,2,20,7,11,13,48,52,Stadio Panetolikou,"Nikitara, Agrinio",0,2,2.58,2.98,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,1,0,1,1,1486221300,1103,0,56,0,1896,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,2,0,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,84,28,67,Panaitolikos,Atromitos,1.53,1.27,1.44,1.44,1.06,1.28,39,17,0.0,0.0,0.0,30,True,True,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-02-04 15:15:00
2016-2017,19,1,1,2,2,3,5,2,3,0,0,3,5,5,11,8,16,14,20,48,52,Stadio Zosimades,"18 Fotis Tzavella, Ioannina",2,3,4.27,2.99,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,1,1,1,1486229400,-1,0,22,0,3013,-1,1,-1,-1,-1,-1,-1,-1,0,1,2,2,1,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,56,28,56,PAS Giannina,Panathinaikos,1.4,1.28,1.56,1.22,1.44,1.72,73,44,0.0,0.0,0.0,30,True,True,False,False,False,False,True,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-02-04 17:30:00
2016-2017,19,6,0,6,8,0,8,0,1,0,0,11,3,13,0,24,3,10,10,64,36,Olympiako Stadio Spyros Louis,"37 Kifissias Avenue, Maroussi, Athens",0,1,1.16,7.8,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,0,1,0,1,5,1486299600,1101,0,42,0,7396,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,1,0,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,71,18,54,AEK Athens,Veria,2.11,0.33,1.89,0.63,1.44,0.72,60,29,0.0,0.0,0.0,30,True,True,True,True,True,True,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-02-05 13:00:00
2016-2017,19,3,2,5,6,5,11,3,6,0,0,6,6,7,1,13,7,12,19,54,46,Stadio Toumbas (Thessaloníki),"Plateia Mikras Asias, Thessaloníki",3,6,1.43,4.48,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,2,1,3,2,1486307700,106,0,41,0,15209,-1,1,-1,-1,-1,-1,-1,-1,1,2,2,4,3,6,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,70,29,71,PAOK,Asteras Tripolis,2.22,0.6,2.0,0.44,1.94,1.11,47,31,0.0,0.0,0.0,30,True,True,True,True,True,False,True,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-02-05 15:15:00
2016-2017,19,2,0,2,3,2,5,2,4,0,1,8,0,6,4,14,4,8,23,58,42,Stadio Néas Smírnis,"1 Ioannou Chrisostomou, Néa Smírni, Athens",2,5,2.14,3.17,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,1,0,1,1,1486307700,1110,0,41,0,1940,-1,1,-1,-1,-1,-1,-1,-1,1,2,1,3,3,4,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,71,12,71,Panionios,Xanthi,1.61,1.27,1.75,1.89,1.78,1.78,66,29,0.0,0.0,0.0,30,True,True,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-02-05 15:15:00
2016-2017,19,3,0,3,3,3,6,3,1,0,0,11,6,6,3,17,9,15,10,59,41,Stadio Georgios Karaiskáki,"Poseidonos Avenue, Faliro, Piraeus",3,1,1.13,9.7,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,1,0,1,2,1486315800,116,0,35,0,14956,-1,1,-1,-1,-1,-1,-1,-1,2,1,1,0,3,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,82,29,53,Olympiakos Piraeus,Iraklis,2.67,0.8,2.78,0.63,2.5,0.72,43,18,0.0,0.0,0.0,30,True,True,True,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-02-05 17:30:00
2016-2017,19,1,2,3,6,7,13,4,5,1,1,4,4,2,1,6,5,20,18,61,39,Stadio Levadias,"Agion Theodoron, Levadia",5,6,2.5,2.96,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,2,1,0,1,2,1486402200,1105,0,45,0,757,-1,1,-1,-1,-1,-1,-1,-1,1,2,4,4,3,8,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,73,22,50,Levadiakos,Platanias,1.33,0.93,1.33,0.78,0.78,1.39,56,28,0.0,0.0,0.0,30,True,True,True,False,False,False,True,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-02-06 17:30:00
2016-2017,20,0,1,1,5,2,7,2,3,0,0,3,2,6,4,9,6,15,11,59,41,Stadio Verias,"34 Stadiou, Veria",2,3,4.0,3.1,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,1486818000,1110,0,45,0,381,-1,1,-1,-1,-1,-1,-1,-1,0,1,2,2,1,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,80,20,75,Veria,Panionios,1.13,1.5,0.8,1.8,0.68,1.84,75,20,0.0,0.0,0.0,30,True,False,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-02-11 13:00:00
2016-2017,20,0,1,1,7,2,9,4,4,0,0,6,4,6,1,12,5,12,13,61,39,Stadio Theodoros Kolokotronis,"Liagora, Tripoli",4,4,2.22,3.11,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,1486826100,1109,0,58,0,1137,-1,1,-1,-1,-1,-1,-1,-1,0,3,4,1,3,5,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,79,26,69,Asteras Tripolis,Atromitos,1.27,1.27,1.78,1.3,1.05,1.21,54,22,0.0,0.0,0.0,30,True,False,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-02-11 15:15:00
2016-2017,20,2,0,2,11,0,11,0,1,0,0,8,2,7,2,15,4,17,15,61,39,Stadio Georgios Karaiskáki,"Poseidonos Avenue, Faliro, Piraeus",0,1,1.17,8.3,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,2,1486834200,116,0,54,0,13258,-1,1,-1,-1,-1,-1,-1,-1,0,1,0,0,1,0,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,2,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,90,37,69,Olympiakos Piraeus,Larissa,2.67,0.33,2.8,0.44,2.53,0.89,44,11,0.0,0.0,0.0,30,True,True,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-02-11 17:30:00
2016-2017,20,1,0,1,4,6,10,1,3,0,0,2,4,1,2,3,6,15,19,46,54,Stadio Kerkyras,"K. Georgaki, Corfu",1,3,2.12,3.14,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1486904400,1100,0,22,0,1072,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,2,1,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,73,34,73,Kerkyra,Levadiakos,1.47,0.4,1.33,0.22,1.0,0.74,73,28,0.0,0.0,0.0,30,True,False,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2017-02-12 13:00:00
