season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,temperature_celsius,wind_speed,humidity,clouds,pinnacle_ft_over25,pinnacle_ft_over15,pinnacle_ft_over35,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_1st_half_over05,pinnacle_1st_half_under05,pinnacle_ft_2,pinnacle_ft_1,pinnacle_ft_x,pinnacle_btts_no,pinnacle_btts_yes,pinnacle_corners_over_95,pinnacle_corners_under_85,pinnacle_corners_under_95,pinnacle_corners_over_85,date
2016-2017,4,0,2,2,5,4,9,1,1,0,0,2,5,9,8,11,13,12,10,43,57,Stadio Verias,"34 Stadiou, Veria",1,1,8.01,4.06,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,1,1,1,1474131600,1101,0,0,0,3111,-1,1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Veria,AEK Athens,1.13,1.5,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,30,True,True,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2016-09-17 17:00:00
2016-2017,4,4,0,4,6,1,7,2,1,0,1,7,2,7,2,14,4,10,3,36,64,Stadio Apóstolos Nikolaidis,"Leoforos Alexandras, Ampelokipi, Athens",2,3,1.26,6.15,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,3,0,3,1,1474203600,960,0,0,0,7142,-1,1,-1,-1,-1,-1,-1,-1,0,1,2,1,1,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Panathinaikos,PAS Giannina,2.61,1.0,0.0,0.0,3.0,3.0,0,0,0.0,0.0,0.0,30,True,True,True,True,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2016-09-18 13:00:00
2016-2017,4,2,0,2,2,5,7,3,2,0,0,4,0,7,6,11,6,13,13,-1,-1,Stadio Kerkyras,"K. Georgaki, Corfu",3,2,2.42,3.17,3.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,2,1474211700,1100,0,0,0,901,-1,1,-1,-1,-1,-1,-1,-1,2,0,1,2,2,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,50,Kerkyra,Larissa,1.47,0.33,0.0,0.0,0.0,1.0,50,50,0.0,0.0,0.0,30,True,True,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2016-09-18 15:15:00
2016-2017,4,0,2,2,7,4,11,1,2,0,0,0,3,0,0,0,3,8,5,-1,-1,Stadio Peristeriou,"93 Giannitson, Peristeri, Athens",1,2,2.02,3.34,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,1,1,1,1474211700,1103,0,50,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,50,50,Atromitos,Panaitolikos,1.33,0.53,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,True,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2016-09-18 15:15:00
2016-2017,4,1,2,3,4,8,12,3,2,1,0,2,3,0,0,2,3,-1,-1,-1,-1,Kaftanzoglio Stadio,"Aghiou Dimitriou, Thessaloníki",4,2,9.99,6.13,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,2,2,1,1474219800,116,0,0,0,3864,-1,1,-1,-1,-1,-1,-1,-1,2,0,2,2,2,4,-1,0,0,0,0,0.0,0.0,0.0,0,1,0,1,0,0,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Iraklis,Olympiakos Piraeus,1.13,1.8,0.0,0.0,1.0,3.0,0,0,0.0,0.0,0.0,30,True,True,True,False,False,False,True,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2016-09-18 17:30:00
2016-2017,4,1,2,3,2,7,9,1,5,1,0,3,8,2,5,5,13,19,18,36,64,Stadio Theodoros Kolokotronis,"Liagora, Tripoli",2,5,3.78,3.49,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,2,1,0,1,2,1474302600,106,0,0,0,1960,-1,1,-1,-1,-1,-1,-1,-1,2,2,0,3,4,3,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Asteras Tripolis,PAOK,1.27,1.67,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,30,True,True,True,False,False,False,True,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2016-09-19 16:30:00
2016-2017,5,0,0,0,2,5,7,3,1,1,0,4,0,6,11,10,11,19,21,41,59,Stadio Zosimades,"18 Fotis Tzavella, Ioannina",4,1,2.29,3.12,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1474722000,-1,0,0,0,1977,-1,1,-1,-1,-1,-1,-1,-1,1,0,3,1,1,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,50,100,PAS Giannina,Platanias,1.4,0.93,3.0,3.0,1.5,3.0,50,50,0.0,0.0,0.0,30,False,False,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2016-09-24 13:00:00
2016-2017,5,1,2,3,8,2,10,2,5,0,0,10,5,7,2,17,7,15,22,63,37,Stadio Néas Smírnis,"1 Ioannou Chrisostomou, Néa Smírni, Athens",2,5,1.58,4.04,6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,2,1,0,1,2,1474730100,1111,0,50,0,1508,-1,1,-1,-1,-1,-1,-1,-1,1,3,1,2,4,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,50,100,Panionios,Veria,1.61,0.33,3.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,30,True,True,True,False,False,False,True,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2016-09-24 15:15:00
2016-2017,5,0,0,0,6,11,17,2,2,0,0,4,4,5,4,9,8,13,14,46,54,Stadio Panetolikou,"Nikitara, Agrinio",2,2,7.61,4.37,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1474738200,-1,0,0,0,4179,-1,1,-1,-1,-1,-1,-1,-1,2,1,0,1,3,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,50,50,Panaitolikos,Panathinaikos,1.53,1.28,0.0,3.0,1.5,3.0,0,0,0.0,0.0,0.0,30,False,False,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2016-09-24 17:30:00
2016-2017,5,0,0,0,5,1,6,1,6,0,1,6,2,10,3,16,5,15,16,65,35,Stadio Toumbas (Thessaloníki),"Plateia Mikras Asias, Thessaloníki",1,7,1.34,5.29,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1474808400,-1,0,100,0,13132,-1,1,-1,-1,-1,-1,-1,-1,1,2,0,5,3,5,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,PAOK,Xanthi,2.22,1.27,3.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,30,False,False,False,False,False,False,False,Greece_Super_League,,,,,,,,,,,,,,,,,,,,,2016-09-25 13:00:00
