season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,temperature_celsius,wind_speed,humidity,clouds,date
2016-2017,18,2,1,3,7,3,10,2,5,0,1,7,2,4,5,11,7,17,28,-1,-1,Estádio Varzim Sport Club,"Rua do Varzim Sport Club, Póvoa de Varzim",2,6,2.56,3.04,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,1,0,1,2,1481385600,1034,0,51,0,837,-1,1,-1,-1,-1,-1,-1,-1,0,2,2,4,2,6,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,69,19,75,Varzim,Cova Piedade,1.48,0.9,1.88,1.38,1.06,1.82,63,32,0.0,0.0,0.0,42,True,True,True,False,False,False,True,LigaPro_Portugal_2a_división,,,,,2016-12-10 16:00:00
2016-2017,18,2,1,3,4,6,10,2,3,0,0,5,5,5,1,10,6,22,17,57,43,"Estádio de São Miguel (Ponta Delgada, Ilha de São Miguel, Açores)","Rua Comandante Jaime de Sousa 21, Ponta Delgada, Ilha de São Miguel, Açores",2,3,2.52,2.96,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,2,1,3,0,1481396400,1028,0,50,0,1088,-1,1,-1,-1,-1,-1,-1,-1,0,0,2,3,0,5,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,69,32,57,Santa Clara,FC Penafiel,1.86,0.86,2.0,0.75,1.65,1.65,50,32,0.0,0.0,0.0,42,True,True,True,False,False,False,True,LigaPro_Portugal_2a_división,,,,,2016-12-10 19:00:00
2016-2017,18,0,0,0,7,8,15,0,1,0,0,9,5,5,7,14,12,10,15,50,50,Estádio do Mar,"Lugar da Cruz de Pau, Matosinhos",0,1,4.62,3.29,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1481454900,-1,0,44,0,742,-1,1,-1,-1,-1,-1,-1,-1,0,1,0,0,1,0,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,57,19,57,Leixões,Portimonense,1.38,1.52,1.0,2.13,0.76,2.47,57,44,0.0,0.0,0.0,42,False,False,False,False,False,False,False,LigaPro_Portugal_2a_división,,,,,2016-12-11 11:15:00
2016-2017,18,3,2,5,3,7,10,5,4,0,1,6,5,6,6,12,11,16,22,47,53,Estádio Do Vizela (Caldas de Vizela),,5,5,2.68,3.0,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,2,3,0,3,2,1481468400,4841,0,57,0,1633,-1,1,-1,-1,-1,-1,-1,-1,1,2,4,3,3,7,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,69,25,63,FC Vizela,Famalicão,1.24,0.81,1.13,0.63,1.29,1.24,57,32,0.0,0.0,0.0,42,True,True,True,True,True,False,True,LigaPro_Portugal_2a_división,,,,,2016-12-11 15:00:00
2016-2017,19,0,0,0,5,4,9,1,2,0,0,6,6,9,4,15,10,18,17,55,45,Caixa Futebol Campus,", Seixal",1,2,1.96,3.49,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1481911200,-1,0,54,0,719,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,77,36,82,Benfica II,Sporting CP II,1.9,1.14,1.88,1.56,1.5,1.33,60,24,0.0,0.0,0.0,42,False,False,False,False,False,False,False,LigaPro_Portugal_2a_división,,,,,2016-12-16 18:00:00
2016-2017,19,3,0,3,8,0,8,0,2,0,1,12,2,9,2,21,4,14,22,64,36,Estádio do Portimonense SC (Portimão),"Avenida Zeca Afonso Portimão, Portimão",0,3,1.54,3.95,7.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,2,0,2,1,1481973300,1025,0,41,0,1283,-1,1,-1,-1,-1,-1,-1,-1,0,2,0,1,2,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,70,23,40,Portimonense,Freamunde,2.43,0.76,2.78,0.88,2.39,0.83,48,31,0.0,0.0,0.0,42,True,True,True,False,False,False,False,LigaPro_Portugal_2a_división,,,,,2016-12-17 11:15:00
2016-2017,19,0,0,0,1,4,5,3,4,0,0,3,2,5,4,8,6,24,23,54,46,Estádio Municipal José Martins Vieira,"Estrada do Brejo, Cova da Piedade, Almada",3,4,1.95,3.19,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1481986800,-1,0,50,0,623,-1,1,-1,-1,-1,-1,-1,-1,0,1,3,3,1,6,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,56,11,61,Cova Piedade,FC Vizela,1.62,0.95,2.22,1.44,1.72,1.39,73,44,0.0,0.0,0.0,42,False,False,False,False,False,False,False,LigaPro_Portugal_2a_división,,,,,2016-12-17 15:00:00
2016-2017,19,0,2,2,5,4,9,6,2,1,0,8,5,7,6,15,11,16,20,57,43,Estádio Municipal 22 de Junho,"Alameda dos Bargos, Vila Nova de Famalicão",7,2,2.0,3.3,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,2,0,1481990400,1034,0,62,0,2560,-1,1,-1,-1,-1,-1,-1,-1,2,0,5,2,2,7,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,78,28,73,Famalicão,Varzim,1.71,1.43,1.78,0.33,1.17,1.17,50,22,0.0,0.0,0.0,42,True,True,False,False,False,False,False,LigaPro_Portugal_2a_división,,,,,2016-12-17 16:00:00
2016-2017,19,1,3,4,7,3,10,1,2,0,0,8,5,1,7,9,12,15,24,66,34,Estádio Dr. Jorge Sampaio,"Rua da Paradela, Pedroso, Vila Nova de Gaia",1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,1,3,4,0,1482004800,1035,0,56,0,259,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,62,11,33,Porto II,Sporting Braga II,1.71,1.19,1.89,0.89,1.33,1.17,67,39,0.0,0.0,0.0,42,True,True,True,True,False,False,True,LigaPro_Portugal_2a_división,,,,,2016-12-17 20:00:00
2016-2017,19,1,2,3,0,0,0,5,1,0,0,3,3,3,4,6,7,11,26,51,49,Estádio José Arcanjo,"Apartado 104, Rua da Feira, Olhão",5,1,3.17,3.01,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,2,1,0,1,2,1482059700,1028,0,62,0,224,-1,1,-1,-1,-1,-1,-1,-1,3,1,2,0,4,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,73,22,73,SC Olhanense,Santa Clara,0.9,1.0,0.89,1.33,0.72,1.72,45,28,0.0,0.0,0.0,42,True,True,True,False,False,False,True,LigaPro_Portugal_2a_división,,,,,2016-12-18 11:15:00
