season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,temperature_celsius,wind_speed,humidity,clouds,pinnacle_corners_under_85,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_corners_over_85,pinnacle_ft_over15,pinnacle_ft_over25,pinnacle_ft_over35,pinnacle_ft_1,pinnacle_ft_x,pinnacle_ft_2,pinnacle_1st_half_over15,pinnacle_1st_half_over05,pinnacle_1st_half_under05,pinnacle_1st_half_under15,pinnacle_btts_yes,pinnacle_btts_no,date
2016-2017,3,3,3,6,7,3,10,4,6,0,0,6,2,5,4,11,6,21,22,51,49,Stadion Cibalia,"Hansa Dietricha Genschera 10b, Vinkovci",4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,2,1,1,2,4,1469898000,-1,0,0,0,1100,-1,1,-1,-1,-1,-1,-1,-1,0,1,4,5,1,9,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,100,0,50,Cibalia,Inter Zaprešić,0.89,0.44,0.0,0.0,0.0,0.0,100,0,0.0,0.0,0.0,36,True,True,True,True,True,True,True,Croatia_HNL,,,,,,,,,,,,,,,,,,,,,2016-07-30 17:00:00
2016-2017,3,1,1,2,2,7,9,4,2,0,0,2,6,7,10,9,16,23,13,41,59,Stadion Aldo Drosina,"Marsovo polje, Pula",4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,1,1,1,1469984400,-1,0,50,0,1027,-1,1,-1,-1,-1,-1,-1,-1,0,0,4,2,0,6,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,50,100,Istra 1961,Lokomotiva Zagreb,1.28,0.83,0.0,0.0,0.0,0.5,50,50,0.0,0.0,0.0,36,True,True,False,False,False,False,True,Croatia_HNL,,,,,,,,,,,,,,,,,,,,,2016-07-31 17:00:00
2016-2017,3,0,1,1,10,6,16,1,1,0,0,4,4,2,3,6,7,15,18,55,45,Stadion Gradski vrt,"Delnička bb, Osijek",1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,1469984400,1215,0,0,0,4019,-1,1,-1,-1,-1,-1,-1,-1,1,1,0,0,2,0,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,0,50,Osijek,Rijeka,2.0,2.0,0.0,3.0,3.0,3.0,0,0,0.0,0.0,0.0,36,True,False,False,False,False,False,False,Croatia_HNL,,,,,,,,,,,,,,,,,,,,,2016-07-31 17:00:00
2016-2017,3,0,1,1,4,7,11,3,0,0,0,6,9,3,3,9,12,17,13,38,62,Stadion Park mladeži,"Hrvatske mornarice 10, Brodarica, Split",3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0,1469991600,1863,0,0,0,3000,-1,1,-1,-1,-1,-1,-1,-1,1,0,2,0,1,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,100,0,100,Split,Hajduk Split,0.72,1.67,0.0,3.0,0.5,3.0,50,0,0.0,0.0,0.0,36,True,False,False,False,False,False,False,Croatia_HNL,,,,,,,,,,,,,,,,,,,,,2016-07-31 19:00:00
2016-2017,4,0,0,0,5,1,6,3,4,0,0,3,0,2,5,5,5,14,23,57,43,Gradski Stadion (Koprivnica),"Mihovila Pavleka Miškine bb 12, Koprivnica",3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1470420000,-1,0,25,0,653,-1,1,-1,-1,-1,-1,-1,-1,2,2,1,2,4,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,50,25,25,Slaven Koprivnica,Split,1.5,0.28,3.0,1.0,2.33,0.33,75,50,0.0,0.0,0.0,36,False,False,False,False,False,False,False,Croatia_HNL,,,,,,,,,,,,,,,,,,,,,2016-08-05 18:00:00
2016-2017,4,0,2,2,3,6,9,0,1,0,0,6,3,4,3,10,6,24,15,43,57,Stadion Cibalia,"Hansa Dietricha Genschera 10b, Vinkovci",0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,2,0,0,0,2,1470502800,122,0,25,0,3264,-1,1,-1,-1,-1,-1,-1,-1,0,1,0,0,1,0,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,50,25,50,Cibalia,Dinamo Zagreb,0.89,2.56,0.5,0.0,0.33,2.0,25,0,0.0,0.0,0.0,36,True,True,False,False,False,False,False,Croatia_HNL,,,,,,,,,,,,,,,,,,,,,2016-08-06 17:00:00
2016-2017,4,1,1,2,1,8,9,5,2,0,0,0,5,3,7,3,12,15,18,43,57,Stadion ŠRC Zaprešić,"Vladimira Novaka bb, Zaprešić",5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,1,2,0,1470589200,-1,0,0,0,656,-1,1,-1,-1,-1,-1,-1,-1,2,1,3,1,3,4,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,75,0,50,Inter Zaprešić,Rijeka,1.11,2.0,0.0,3.0,0.33,3.0,75,25,0.0,0.0,0.0,36,True,True,False,False,False,False,True,Croatia_HNL,,,,,,,,,,,,,,,,,,,,,2016-08-07 17:00:00
2016-2017,4,4,0,4,6,3,9,0,0,0,0,6,2,9,0,15,2,11,16,67,33,Stadion Poljud,"8. Mediteranskih igara 2, Split",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,3,0,3,1,1470596400,1863,0,50,0,6860,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,50,50,Hajduk Split,Istra 1961,2.17,0.89,0.0,0.0,3.0,0.33,0,0,0.0,0.0,0.0,36,True,True,True,True,False,False,False,Croatia_HNL,,,,,,,,,,,,,,,,,,,,,2016-08-07 19:00:00
2016-2017,4,2,3,5,6,3,9,1,2,0,0,8,2,9,3,17,5,10,11,47,53,Stadion Kranjčevićeva,"Kranjčevićeva 4, Zagreb",1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,2,3,5,0,1470679200,1864,0,0,0,427,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,2,0,3,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,25,0,25,Lokomotiva Zagreb,Osijek,1.61,1.67,1.0,3.0,0.67,2.0,100,75,0.0,0.0,0.0,36,True,True,True,True,True,False,True,Croatia_HNL,,,,,,,,,,,,,,,,,,,,,2016-08-08 18:00:00
2016-2017,2,0,4,4,7,2,9,2,4,0,0,5,3,5,4,10,7,12,11,48,52,Stadion Poljud,"8. Mediteranskih igara 2, Split",2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0,3,3,1,1470848400,122,0,0,0,29109,-1,1,-1,-1,-1,-1,-1,-1,0,0,2,4,0,6,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,100,50,100,Hajduk Split,Dinamo Zagreb,2.17,2.56,3.0,3.0,3.0,2.33,50,0,0.0,0.0,0.0,36,True,True,True,True,False,False,False,Croatia_HNL,,,,,,,,,,,,,,,,,,,,,2016-08-10 17:00:00
