season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,temperature_celsius,wind_speed,humidity,clouds,pinnacle_ft_over35,pinnacle_ft_over25,pinnacle_ft_over15,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_ft_x,pinnacle_ft_2,pinnacle_ft_1,pinnacle_btts_no,pinnacle_btts_yes,pinnacle_corners_over_85,pinnacle_corners_under_85,pinnacle_1st_half_over05,pinnacle_1st_half_under05,date
2016-2017,2,2,2,4,5,4,9,2,3,0,1,4,6,6,4,10,10,12,11,53,47,Lyngby Stadion,"Lundtoftevej 53, Lyngby",2,4,2.98,3.43,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,2,1,0,1,3,1469361600,-1,0,0,0,2006,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,3,2,4,-1,0,0,0,0,0.0,0.0,0.0,0,1,0,1,0,0,1,1,0,1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Lyngby,OB,1.61,0.72,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,36,True,True,True,True,False,False,True,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-07-24 12:00:00
2016-2017,2,0,2,2,3,10,13,1,1,0,0,6,6,2,11,8,17,10,12,39,61,MASCOT PARK (Silkeborg),"Stadion Allé 14, Silkeborg",1,1,3.7,3.59,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,1,1,1,1469368800,2517,0,0,0,4902,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,0,1,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Silkeborg,Brøndby,1.47,1.72,0.0,0.0,1.0,3.0,0,0,0.0,0.0,0.0,34,True,True,False,False,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-07-24 14:00:00
2016-2017,2,0,4,4,2,8,10,3,2,0,0,3,5,2,11,5,16,8,11,50,50,Right to Dream Park,"Idrætsvænget 2, Farum",3,2,2.98,3.49,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,4,4,0,1469376000,955,0,0,0,2619,-1,1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,3,-1,0,0,0,0,0.0,0.0,0.0,0,2,0,2,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Nordsjælland,Midtjylland,1.39,1.22,0.0,0.0,3.0,1.0,0,0,0.0,0.0,0.0,36,True,True,True,True,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-07-24 16:00:00
2016-2017,2,0,1,1,8,7,15,0,2,0,0,4,4,7,3,11,7,7,15,59,41,BioNutria Park Randers,"Viborgvej 92a, Randers",0,2,2.36,3.44,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,1469383200,974,0,0,0,4443,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,2,0,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Randers,AaB,1.83,0.76,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0.0,34,True,False,False,False,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-07-24 18:00:00
2016-2017,3,2,1,3,4,6,10,0,1,0,0,3,4,5,5,8,9,9,9,60,40,Energi Viborg Arena,"Stadion Allé 7, Viborg",0,1,2.12,3.51,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,2,1,3,0,1469808000,2526,0,0,0,2929,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,1,0,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,Viborg,Esbjerg,0.81,0.75,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,32,True,True,True,False,False,False,True,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-07-29 16:00:00
2016-2017,3,4,0,4,6,1,7,1,1,0,0,6,2,9,2,15,4,8,14,56,44,Telia Parken,"Øster Allé 50, København",1,1,1.41,4.88,9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0,2,0,2,2,1469887200,55,0,0,0,9823,-1,1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,50,100,København,Nordsjælland,2.67,1.33,3.0,3.0,3.0,1.5,0,0,0.0,0.0,0.0,36,True,True,True,True,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-07-30 14:00:00
2016-2017,3,0,1,1,6,2,8,2,1,0,0,8,2,5,6,13,8,16,10,51,49,Sydbank Park,"Stadionvej 7, Haderslev",2,1,1.85,3.74,4.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0,1469959200,2525,0,50,0,4494,-1,1,-1,-1,-1,-1,-1,-1,0,0,2,1,0,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,0,100,SønderjyskE,Lyngby,1.44,1.61,0.0,0.0,0.5,0.5,0,0,0.0,0.0,0.0,36,True,False,False,False,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-07-31 10:00:00
2016-2017,3,3,0,3,4,5,9,1,4,0,0,4,4,4,7,8,11,12,12,50,50,MCH Arena,"Kaj Zartows Vej 5, Herning",1,4,1.47,4.58,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,2,0,2,1,1469966400,955,0,50,0,7625,-1,1,-1,-1,-1,-1,-1,-1,0,2,1,2,2,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,50,50,Midtjylland,Silkeborg,1.84,0.94,1.0,1.0,2.0,0.5,50,50,0.0,0.0,0.0,34,True,True,True,False,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-07-31 12:00:00
2016-2017,3,2,2,4,11,3,14,0,1,0,0,6,2,13,3,19,5,10,14,68,32,Brøndby Stadion,"Brøndby Stadion 8, Brøndby",0,1,1.6,4.18,6.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,1,2,3,1,1469973600,-1,0,50,0,12136,-1,1,-1,-1,-1,-1,-1,-1,0,1,0,0,1,0,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,100,50,50,Brøndby,Horsens,1.72,1.0,3.0,1.0,3.0,1.0,50,0,0.0,0.0,0.0,32,True,True,True,True,False,False,True,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-07-31 14:00:00
2016-2017,3,1,2,3,6,3,9,4,4,0,0,4,4,4,4,8,8,18,16,58,42,Ceres Park,"Stadion Allé 70, Århus",4,4,2.5,3.39,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,2,0,0,0,3,1469980800,2521,0,100,0,13047,-1,1,-1,-1,-1,-1,-1,-1,0,3,4,1,3,5,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,AGF,Randers,1.13,0.95,3.0,1.0,3.0,0.5,0,0,0.0,0.0,0.0,32,True,True,True,False,False,False,True,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-07-31 16:00:00
2016-2017,3,2,2,4,2,2,4,1,1,0,0,3,5,3,3,6,8,10,11,50,50,Aalborg Portland Park,"Harald Jensens Vej 9, Aalborg",1,1,2.07,3.6,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,1,0,1,1,3,1470070800,-1,0,100,0,7227,-1,1,-1,-1,-1,-1,-1,-1,1,1,0,0,2,0,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,100,50,50,AaB,OB,1.47,0.72,1.0,1.0,2.0,1.0,50,0,0.0,0.0,0.0,34,True,True,True,True,False,False,True,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-08-01 17:00:00
2016-2017,4,1,0,1,3,5,8,4,2,1,1,6,4,4,8,10,12,13,14,51,49,BioNutria Park Randers,"Viborgvej 92a, Randers",5,3,1.67,3.92,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1470412800,2521,0,50,0,4326,-1,1,-1,-1,-1,-1,-1,-1,2,2,3,1,4,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,50,0,75,Randers,Horsens,1.83,1.0,0.0,1.0,1.33,1.0,75,50,0.0,0.0,0.0,32,True,False,False,False,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-08-05 16:00:00
2016-2017,4,0,4,4,1,9,10,1,0,0,0,5,3,5,6,10,9,13,8,42,58,MASCOT PARK (Silkeborg),"Stadion Allé 14, Silkeborg",1,0,2.69,3.46,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,2,0,2,2,2,1470420900,2525,0,0,0,2220,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,75,0,75,Silkeborg,Lyngby,1.47,1.61,0.0,1.5,0.33,1.33,75,25,0.0,0.0,0.0,34,True,True,True,True,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-08-05 18:15:00
2016-2017,4,0,0,0,4,4,8,2,1,0,0,4,3,4,3,8,6,18,13,57,43,EWII Park (Odense),"Højstrupvej 7B, Odense",2,1,2.12,3.54,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1470492000,-1,0,50,0,4488,-1,1,-1,-1,-1,-1,-1,-1,0,1,2,0,1,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,50,50,OB,Viborg,1.67,1.25,1.0,0.0,1.0,1.0,50,50,0.0,0.0,0.0,32,False,False,False,False,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-08-06 14:00:00
2016-2017,4,1,2,3,1,11,12,2,0,0,0,4,4,3,6,7,10,16,6,39,61,Right to Dream Park,"Idrætsvænget 2, Farum",2,0,2.91,3.59,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,2,2,1,1470567600,974,0,0,0,2234,-1,1,-1,-1,-1,-1,-1,-1,1,0,1,0,1,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,0,50,Nordsjælland,AaB,1.39,0.76,0.0,3.0,1.0,1.67,50,50,0.0,0.0,0.0,34,True,True,True,False,False,False,True,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-08-07 11:00:00
2016-2017,4,1,1,2,5,4,9,3,3,0,0,5,7,7,8,12,15,13,13,44,56,Sydbank Park,"Stadionvej 7, Haderslev",3,3,5.9,4.16,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,1,0,1,1,1470578400,-1,0,25,0,6054,-1,1,-1,-1,-1,-1,-1,-1,2,1,1,2,3,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,75,0,75,SønderjyskE,København,1.44,2.0,0.0,3.0,0.33,3.0,25,25,0.0,0.0,0.0,36,True,True,False,False,False,False,True,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-08-07 14:00:00
