season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,temperature_celsius,wind_speed,humidity,clouds,pinnacle_ft_over35,pinnacle_ft_over25,pinnacle_ft_over15,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_ft_x,pinnacle_ft_2,pinnacle_ft_1,pinnacle_btts_no,pinnacle_btts_yes,pinnacle_corners_over_85,pinnacle_corners_under_85,pinnacle_1st_half_over05,pinnacle_1st_half_under05,date
2018-2019,2,0,3,3,3,11,14,2,0,0,0,4,7,3,6,7,13,11,9,32,68,HDS Arena,"Schulstrasse 8, Waltersdorf, Schönefeld",2,0,4.87,3.7,1.79,1.26,1.83,3.15,1.95,1.87,0.0,1.72,0.0,2.0,0.0,0.0,0.0,0.0,3,0,1,0,2,2,1,1532365200,55,0,0,0,3511,1,1,1,6,2,5,7,7,0,0,2,0,0,2,1,42,115,73,135,1.03,2.14,3.17,0,0,0,0,0,0,1,1,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Hobro,København,1.31,2.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,32,True,True,True,False,False,False,False,Denmark_Superliga,,14.99,61%,8%,,,,,,,,,,,,,,,,,2018-07-23 17:00:00
2018-2019,3,2,0,2,3,4,7,3,3,0,0,6,5,3,5,9,10,12,13,60,40,Sydbank Park,"Stadionvej 7, Haderslev",3,3,2.18,3.38,3.59,1.29,1.91,3.3,1.83,2.0,0.0,1.72,0.0,2.0,0.0,0.0,0.0,0.0,2,0,0,2,0,2,0,1532710800,2519,0,50,0,5035,1,1,1,2,2,2,3,4,1,2,2,1,3,3,1,29,30,60,45,1.2,1.19,2.39,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,0,0,SønderjyskE,Horsens,1.35,1.25,0.0,3.0,0.5,2.0,50,50,0.0,1.1,1.1,32,True,True,False,False,False,False,False,Denmark_Superliga,,16.11,48%,20%,,,,,,,,,,,,,,,,,2018-07-27 17:00:00
2018-2019,3,3,1,4,3,8,11,1,2,0,0,9,3,5,4,14,7,16,17,42,58,MCH Arena,"Kaj Zartows Vej 5, Herning",1,2,1.4,4.99,8.58,1.2,1.67,2.7,1.8,2.0,0.0,1.72,0.0,2.0,0.0,0.0,0.0,0.0,4,2,1,1,0,1,3,1532786400,955,0,50,0,6612,1,1,1,4,2,4,5,6,0,2,1,0,2,1,1,66,79,95,98,1.99,1.23,3.21,1,0,1,0,0,0,1,1,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,50,0,50,Midtjylland,Esbjerg,2.33,1.28,1.0,1.0,0.5,0.5,100,50,1.13,0.9,2.03,36,True,True,True,True,False,False,True,Denmark_Superliga,,16.11,45%,0%,,,,,,,,,,,,,,,,,2018-07-28 14:00:00
2018-2019,3,3,0,3,8,4,12,0,2,0,0,8,4,6,4,14,8,6,11,55,45,Right to Dream Park,"Idrætsvænget 2, Farum",0,2,1.76,4.06,4.58,1.13,1.43,2.1,1.59,2.35,0.0,1.72,0.0,2.0,0.0,0.0,0.0,0.0,3,1,0,2,0,2,1,1532858400,986,0,100,0,1908,1,1,3,3,5,1,6,6,0,1,0,1,1,1,1,85,53,128,95,2.06,1.18,3.24,1,0,1,0,0,0,1,1,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,100,50,100,Nordsjælland,Vendsyssel,1.33,0.88,1.0,3.0,1.0,3.0,50,0,1.8,1.62,3.42,32,True,True,True,False,False,False,False,Denmark_Superliga,,5.82,57%,75%,,,,,,,,,,,,,,,,,2018-07-29 10:00:00
2018-2019,3,1,0,1,2,4,6,2,0,0,0,5,4,2,10,7,14,12,8,35,65,BioNutria Park Randers,"Viborgvej 92a, Randers",2,0,2.92,3.38,2.53,1.28,1.91,3.25,1.77,2.05,0.0,2.0,0.0,1.72,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1532865600,2521,0,50,0,3333,1,1,1,1,1,3,2,4,1,0,1,0,1,1,1,23,50,39,73,0.96,1.52,2.48,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,100,0,50,Randers,OB,1.61,1.11,0.0,0.0,0.5,0.5,50,0,1.27,1.59,2.86,36,True,False,False,False,False,False,False,Denmark_Superliga,,3.36,50%,0%,,,,,,,,,,,,,,,,,2018-07-29 12:00:00
2018-2019,3,1,2,3,2,5,7,1,2,0,0,3,6,3,9,6,15,11,20,26,74,HDS Arena,"Schulstrasse 8, Waltersdorf, Schönefeld",1,2,5.53,4.09,1.65,1.18,1.59,2.5,1.8,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,1,2,3,0,1532872800,2517,0,0,0,4168,1,1,1,1,1,4,2,5,0,1,1,1,1,2,1,29,62,72,102,0.81,1.81,2.62,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,100,0,100,Hobro,Brøndby,1.31,1.61,0.0,3.0,0.0,2.0,50,0,1.03,1.4,2.43,32,True,True,True,False,False,False,True,Denmark_Superliga,,3.36,44%,0%,,,,,,,,,,,,,,,,,2018-07-29 14:00:00
2018-2019,3,4,0,4,3,4,7,1,0,0,0,7,0,4,4,11,4,4,7,65,35,Telia Parken,"Øster Allé 50, København",1,0,1.65,3.97,5.64,1.22,1.71,2.8,1.87,1.95,0.0,1.83,0.0,1.83,0.0,0.0,0.0,0.0,4,3,0,1,0,1,3,1532880000,55,0,50,0,12012,1,1,2,4,1,0,6,1,0,0,1,0,0,1,1,32,18,66,40,1.42,0.39,1.8,0,0,0,0,0,0,1,1,1,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,0,0,København,AaB,2.56,1.47,0.0,3.0,1.5,3.0,50,50,1.88,0.0,1.88,34,True,True,True,True,False,False,False,Denmark_Superliga,,9.17,50%,75%,,,,,,,,,,,,,,,,,2018-07-29 16:00:00
2018-2019,3,1,1,2,4,4,8,3,2,0,0,7,10,7,4,14,14,13,11,57,43,Vejle Stadion,"Roms Hule 3, Vejle",3,2,3.08,3.25,2.45,1.34,2.05,3.75,1.91,1.91,0.0,1.8,0.0,1.9,0.0,0.0,0.0,0.0,2,0,0,1,1,2,0,1532970000,-1,0,50,0,10254,1,1,3,0,1,4,3,5,0,0,3,2,0,5,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,0,0,Vejle,AGF,1.38,1.33,3.0,1.0,2.0,1.0,50,50,1.68,0.98,2.66,32,True,True,False,False,False,False,True,Denmark_Superliga,,4.7,45%,64%,,,,,,,,,,,,,,,,,2018-07-30 17:00:00
2018-2019,4,1,0,1,5,7,12,1,5,0,0,3,6,11,14,14,20,12,14,42,58,Ceres Park,"Stadion Allé 70, Århus",1,5,2.0,3.4,3.65,1.27,1.87,3.2,1.8,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1533312000,2516,0,100,0,8346,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,4,1,5,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,100,50,100,AGF,SønderjyskE,1.67,0.76,1.0,1.0,1.0,1.33,50,0,1.84,1.25,3.09,34,True,False,False,False,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2018-08-03 16:00:00
2018-2019,4,3,3,6,2,9,11,4,4,1,0,6,7,0,5,6,12,13,8,48,52,Blue Water Arena,"Gl. Vardevej 82, Esbjerg",5,4,3.05,3.28,2.46,1.33,2.05,3.7,1.87,1.91,0.0,1.83,0.0,1.83,0.0,0.0,0.0,0.0,6,2,0,1,3,4,2,1533391200,-1,0,100,0,4015,1,1,0,3,2,6,3,8,2,0,3,4,2,7,1,28,40,69,79,1.01,1.54,2.55,2,0,1,0,1,0,1,1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,100,50,100,Esbjerg,Randers,1.83,1.26,0.0,1.0,0.33,1.33,50,0,2.06,1.13,3.19,36,True,True,True,True,True,True,True,Denmark_Superliga,,14.99,68%,20%,,,,,,,,,,,,,,,,,2018-08-04 14:00:00
2018-2019,4,1,3,4,8,5,13,4,0,0,0,4,6,4,2,8,8,15,13,44,56,Vejle Stadion,"Roms Hule 3, Vejle",4,0,4.31,3.75,1.85,1.28,1.87,3.2,1.77,2.05,0.0,1.83,0.0,1.83,0.0,0.0,0.0,0.0,4,1,0,0,3,3,1,1533402000,955,0,100,0,7519,1,1,5,1,3,4,6,7,0,0,4,0,0,4,1,43,54,108,108,1.11,1.33,2.44,1,0,0,0,1,0,1,1,0,0,2,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,100,0,50,Vejle,Midtjylland,1.38,1.61,2.0,0.0,1.67,1.33,25,0,1.68,1.39,3.07,32,True,True,True,True,False,False,True,Denmark_Superliga,,14.99,68%,40%,,,,,,,,,,,,,,,,,2018-08-04 17:00:00
2018-2019,4,2,2,4,3,2,5,0,2,0,0,5,3,11,4,16,7,13,15,55,45,CASA Arena Horsens,"Langmarksvej 53, Horsens",0,2,2.18,3.5,3.39,1.34,2.05,3.75,1.91,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,1,2,3,1,1533470400,-1,0,100,0,3330,1,1,1,1,2,1,2,3,0,0,0,2,0,2,1,0,0,0,0,1.75,0.93,2.68,0,1,0,1,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,100,0,50,Horsens,Hobro,0.81,0.38,1.0,0.0,1.33,0.0,50,0,1.11,1.52,2.63,32,True,True,True,True,False,False,True,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2018-08-05 12:00:00
2018-2019,4,0,1,1,5,7,12,1,2,0,0,6,7,4,7,10,14,8,8,38,62,Nature Energy Park,"Højstrupvej 7B, Odense",1,2,3.81,3.63,1.99,1.24,1.77,2.9,1.77,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0,1533477600,55,0,50,0,9389,1,1,3,3,2,4,6,6,0,0,1,2,0,3,1,0,0,0,0,1.19,1.86,3.05,0,0,0,0,0,0,1,1,0,0,2,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,50,100,OB,København,1.78,2.0,1.0,3.0,0.33,2.0,0,0,2.08,2.14,4.22,36,True,False,False,False,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2018-08-05 14:00:00
2018-2019,4,2,0,2,9,6,15,1,1,0,0,8,2,11,2,19,4,15,7,48,52,Brøndby Stadion,"Brøndby Stadion 8, Brøndby",1,1,1.51,4.7,5.99,1.11,1.39,2.0,1.61,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,1,0,1,1,1533484800,2517,0,100,0,19225,1,1,5,1,4,5,6,9,0,0,1,1,0,2,1,0,0,0,0,2.21,0.66,2.87,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,100,50,100,Brøndby,Nordsjælland,1.37,1.11,1.0,1.0,2.33,1.67,100,0,1.72,1.33,3.05,36,True,True,False,False,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2018-08-05 16:00:00
2018-2019,4,0,1,1,4,5,9,3,5,1,0,5,4,13,5,18,9,12,14,52,48,Hjørring Stadion (Hjørring),,4,5,3.35,3.4,2.1,1.24,1.77,2.95,1.71,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0,1533574800,974,0,50,0,6415,1,1,2,2,2,3,4,5,2,1,2,4,3,6,1,0,0,0,0,1.84,1.09,2.93,0,0,0,0,0,0,1,1,0,0,2,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,75,25,25,Vendsyssel,AaB,0.94,1.47,3.0,1.5,2.0,2.0,25,25,1.1,0.39,1.49,32,True,False,False,False,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2018-08-06 17:00:00
2018-2019,5,1,1,2,2,6,8,1,2,0,0,3,3,4,7,7,10,13,15,45,55,Nord Energi Arena,"Tørholmsvej 10, Hjørring",1,2,2.85,3.35,2.4,1.27,1.87,3.2,1.77,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,1,1,1,1533920400,-1,0,75,0,2738,1,1,2,1,0,5,3,5,1,1,0,1,2,1,1,0,0,0,0,0.86,1.22,2.08,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,75,50,50,Vendsyssel,Vejle,0.94,0.38,1.5,1.0,1.5,1.25,75,25,1.47,1.65,3.12,32,True,True,False,False,False,False,True,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2018-08-10 17:00:00
2018-2019,5,3,2,5,1,11,12,4,1,0,0,3,8,2,12,5,20,10,6,28,72,HDS Arena,"Schulstrasse 8, Waltersdorf, Schönefeld",4,1,3.15,3.35,2.25,1.29,1.91,3.3,1.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0,0,2,2,3,1533996000,2524,0,50,0,1623,1,1,0,1,1,10,1,11,0,0,4,1,0,5,1,0,0,0,0,0.67,2.31,2.99,0,1,0,0,0,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,75,0,50,Hobro,OB,1.31,1.11,0.0,0.0,0.25,0.25,25,25,0.92,1.55,2.47,32,True,True,True,True,True,False,True,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2018-08-11 14:00:00
2018-2019,5,3,0,3,3,3,6,1,2,0,1,8,2,12,6,20,8,11,15,61,39,MCH Arena,"Kaj Zartows Vej 5, Herning",1,3,1.47,4.45,6.3,1.19,1.62,2.6,1.83,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,2,0,2,1,1534096800,955,0,50,0,5032,1,1,2,2,1,1,4,2,1,2,0,1,3,1,1,0,0,0,0,2.27,0.8,3.07,1,0,1,0,0,0,1,1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,75,25,25,Midtjylland,Horsens,2.33,1.25,2.0,1.5,1.75,1.25,50,25,1.56,1.14,2.7,32,True,True,True,False,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2018-08-12 18:00:00
2018-2019,5,1,0,1,2,7,9,1,3,1,0,5,5,3,8,8,13,11,13,38,62,Aalborg Portland Park,"Harald Jensens Vej 9, Aalborg",2,3,2.2,3.35,3.2,1.27,1.87,3.2,1.77,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1534075200,974,0,75,0,5145,1,1,1,4,1,3,5,4,0,1,2,2,1,4,1,0,0,0,0,1.08,1.66,2.74,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,100,0,100,AaB,Nordsjælland,1.0,1.11,3.0,0.5,2.25,1.25,50,0,1.04,1.0,2.04,34,True,False,False,False,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2018-08-12 12:00:00
2018-2019,5,3,1,4,6,2,8,2,6,0,0,6,5,7,5,13,10,11,22,57,43,Telia Parken,"Øster Allé 50, København",2,6,2.2,3.3,3.25,1.27,1.87,3.2,1.77,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,2,1,3,1,1534082400,55,0,50,0,27248,1,1,4,0,2,2,4,4,0,2,2,4,2,6,1,0,0,0,0,1.49,1.33,2.82,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,100,25,50,København,Brøndby,2.56,1.61,1.5,3.0,2.25,2.5,25,0,1.65,1.61,3.26,36,True,True,True,True,False,False,True,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2018-08-12 14:00:00
2018-2019,5,0,0,0,5,4,9,2,0,0,0,5,0,5,5,10,5,15,11,49,51,BioNutria Park Randers,"Viborgvej 92a, Randers",2,0,2.7,3.2,2.6,1.32,2.0,3.6,1.87,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1534089600,-1,0,25,0,7052,1,1,2,1,3,3,3,6,0,0,2,0,0,2,1,0,0,0,0,1.49,0.54,2.03,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,50,0,50,Randers,AGF,1.61,1.33,1.5,1.0,1.25,1.5,100,50,1.11,0.98,2.09,36,False,False,False,False,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2018-08-12 16:00:00
2018-2019,5,1,0,1,9,4,13,1,2,0,0,6,3,8,6,14,9,11,11,46,54,Blue Water Arena,"Gl. Vardevej 82, Esbjerg",1,2,3.1,3.45,2.2,1.24,1.77,2.9,1.69,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1534179600,2527,0,75,0,4450,1,1,3,1,6,3,4,9,1,0,0,2,1,2,1,0,0,0,0,1.7,1.09,2.79,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,75,75,100,Esbjerg,SønderjyskE,1.83,0.76,0.5,0.5,0.5,1.0,25,25,1.53,1.25,2.78,34,True,False,False,False,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2018-08-13 17:00:00
2018-2019,6,2,1,3,5,4,9,2,1,0,0,5,4,7,6,12,10,12,6,38,62,Sydbank Park,"Stadionvej 7, Haderslev",2,1,1.69,3.8,4.8,1.25,1.8,3.0,1.83,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,2,1,3,0,1534525200,2519,0,25,0,4750,1,1,1,3,4,1,4,5,1,1,1,0,2,1,1,54,40,99,108,1.5,1.21,2.71,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,75,25,50,SønderjyskE,Vendsyssel,1.35,0.88,1.5,1.5,0.8,1.4,50,25,1.2,1.4,2.6,32,True,True,True,False,False,False,True,Denmark_Superliga,,12.75,56%,40%,,,,,,,,,,,,,,,,,2018-08-17 17:00:00
2018-2019,6,1,1,2,3,6,9,0,1,0,0,3,3,8,4,11,7,11,11,42,58,Nature Energy Park,"Højstrupvej 7B, Odense",0,1,2.85,3.4,2.4,1.23,1.74,2.9,1.67,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,1,2,0,1534701600,-1,0,75,0,4646,1,1,0,3,3,3,3,6,0,1,0,0,1,0,1,42,28,104,127,1.22,0.88,2.1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,75,25,75,OB,Midtjylland,1.78,1.61,0.5,1.5,0.2,2.0,25,25,1.63,1.36,2.99,36,True,True,False,False,False,False,True,Denmark_Superliga,,9.17,100%,90%,,,,,,,,,,,,,,,,,2018-08-19 18:00:00
2018-2019,6,2,0,2,4,11,15,2,4,0,0,6,3,5,0,11,3,9,10,47,53,Right to Dream Park,"Idrætsvænget 2, Farum",2,4,1.8,3.75,4.25,1.21,1.69,2.75,1.71,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,1,0,1,1,1534672800,986,0,75,0,2662,1,1,0,6,4,5,6,9,0,2,2,2,2,4,1,37,52,89,125,1.39,0.8,2.19,0,0,0,0,0,0,1,1,1,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,100,25,100,Nordsjælland,Vejle,1.33,0.38,2.0,1.0,1.0,1.2,75,0,1.93,1.44,3.37,32,True,True,False,False,False,False,False,Denmark_Superliga,,13.87,72%,75%,,,,,,,,,,,,,,,,,2018-08-19 10:00:00
2018-2019,6,3,0,3,7,0,7,1,3,0,0,7,5,10,8,17,13,18,10,47,53,BioNutria Park Randers,"Viborgvej 92a, Randers",1,3,1.95,3.3,3.95,1.34,2.05,3.75,1.95,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,1,0,1,2,1534680000,2521,0,50,0,3690,1,1,1,0,6,0,1,6,1,1,0,2,2,2,1,0,0,0,0,1.86,1.47,3.33,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,67,0,59,Randers,Hobro,1.61,0.38,1.33,0.5,1.2,0.8,50,34,1.24,1.23,2.47,32,True,True,True,False,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2018-08-19 12:00:00
2018-2019,6,1,1,2,1,11,12,1,0,0,0,4,7,1,4,5,11,14,10,53,47,Ceres Park,"Stadion Allé 70, Århus",1,0,4.5,3.75,1.62,1.24,1.85,3.05,1.7,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,1,1,1,1534687200,-1,0,25,0,15778,1,1,0,6,1,5,6,6,0,0,1,0,0,1,1,20,96,62,154,0.75,1.89,2.64,0,1,0,0,0,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,50,0,75,AGF,København,1.67,2.0,2.0,3.0,1.4,2.4,75,50,1.84,2.0,3.84,36,True,True,False,False,False,False,True,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2018-08-19 14:00:00
2018-2019,6,0,1,1,14,6,20,2,4,0,0,4,5,12,6,16,11,17,9,60,40,Brøndby Stadion,"Brøndby Stadion 8, Brøndby",2,4,1.27,5.7,10.0,1.14,1.49,2.25,1.91,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0,1534694400,2527,0,75,0,13743,1,1,7,4,7,2,11,9,1,1,1,3,2,4,1,113,55,103,70,2.09,1.44,3.53,0,0,0,0,0,0,1,1,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,100,50,100,Brøndby,Esbjerg,1.37,1.28,2.0,0.5,2.0,1.0,75,0,1.97,1.06,3.03,36,True,False,False,False,False,False,False,Denmark_Superliga,,11.41,72%,75%,,,,,,,,,,,,,,,,,2018-08-19 16:00:00
2018-2019,6,0,0,0,3,3,6,3,1,0,0,0,3,7,5,7,8,12,15,49,51,CASA Arena Horsens,"Langmarksvej 53, Horsens",3,1,2.9,3.05,2.55,1.42,2.25,4.3,2.05,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1534784400,-1,0,50,0,3023,1,1,2,2,1,1,4,2,1,0,2,1,1,3,1,0,0,0,0,0.75,0.99,1.74,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,67,17,67,Horsens,AaB,0.81,1.47,1.0,2.0,1.0,2.4,59,34,1.43,0.74,2.17,32,False,False,False,False,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2018-08-20 17:00:00
2018-2019,7,0,2,2,7,2,9,1,2,0,0,5,6,14,4,19,10,13,12,56,44,HDS Arena,"Schulstrasse 8, Waltersdorf, Schönefeld",1,2,3.2,3.25,2.25,1.32,2.0,3.5,1.87,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,1,1,1,1535130000,2516,0,50,0,2898,1,1,3,2,4,0,5,4,1,2,0,0,3,0,1,0,0,0,0,2.0,1.26,3.26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,67,17,34,Hobro,AGF,1.31,1.33,1.0,1.0,0.67,1.33,50,34,0.84,0.76,1.6,32,True,True,False,False,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2018-08-24 17:00:00
2018-2019,7,3,0,3,9,3,12,1,0,0,0,7,2,6,2,13,4,11,6,55,45,MCH Arena,"Kaj Zartows Vej 5, Herning",1,0,1.83,3.55,4.15,1.25,1.8,3.05,1.77,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,2,0,2,1,1535306400,955,0,67,0,4906,1,1,3,1,6,2,4,8,0,0,1,0,0,1,1,0,0,0,0,1.66,0.63,2.3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,84,42,84,Midtjylland,Randers,2.33,1.26,2.33,1.0,1.83,1.5,42,17,1.79,1.33,3.12,36,True,True,True,False,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2018-08-26 18:00:00
