season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,date
2016-2017,2,0,0,0,13,2,15,0,2,0,0,6,3,8,8,14,11,20,15,54,46,Estadio Benito Villamarín,"Avenida de Heliópolis, Sevilla",0,2,2.46,3.3,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472237100,-1,0,0,0,33172,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,2,0,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Real Betis,Deportivo La Coruña,1.32,0.53,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,38,False,False,False,False,False,False,False,Spain_La_Liga,2016-08-26 18:45:00
2016-2017,2,2,2,4,3,4,7,2,4,0,0,0,3,5,5,5,8,20,20,48,52,RCDE Stadium,"Avenida Baix Llobregat 100, Cornella de Llobregat",2,4,2.51,3.19,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,2,3,1,1472241600,-1,0,0,0,17304,-1,1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,5,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,RCD Espanyol,Málaga CF,1.53,0.74,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,38,True,True,True,True,False,False,True,Spain_La_Liga,2016-08-26 20:00:00
2016-2017,2,0,2,2,10,1,11,2,1,0,0,3,6,7,1,10,7,15,13,49,51,Estadio El Sadar,"Carretera El Sadar, Iruñea",2,1,2.85,3.17,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,1472314500,290,0,0,0,16343,-1,1,-1,-1,-1,-1,-1,-1,2,0,0,1,2,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,CA Osasuna,Real Sociedad,0.68,1.53,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,38,True,True,False,False,False,False,False,Spain_La_Liga,2016-08-27 16:15:00
2016-2017,2,1,0,1,6,10,16,2,2,0,0,5,8,8,8,13,16,13,9,50,50,Estadio Municipal de Ipurúa,"Calle de Ipurúa, Eibar",2,2,2.8,3.27,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1472314500,279,0,0,0,3576,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,2,-1,0,0,0,0,0.0,0.0,0.0,1,0,0,0,1,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,SD Eibar,Valencia CF,1.74,0.95,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,38,True,False,False,False,False,False,False,Spain_La_Liga,2016-08-27 16:15:00
2016-2017,2,2,1,3,7,2,9,0,2,0,0,7,3,9,4,16,7,6,11,57,43,Estadio Santiago Bernabéu,"Avenida de Concha Espina 1, Chamartín, Madrid",0,2,1.25,7.23,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,3,0,1472321700,84,0,0,0,61568,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,2,0,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Real Madrid,Celta de Vigo,2.42,0.84,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,38,True,True,True,False,False,False,True,Spain_La_Liga,2016-08-27 18:15:00
2016-2017,2,0,0,0,1,8,9,3,1,0,0,4,7,1,9,5,16,19,5,33,67,Estadio Municipal de Butarque,"Calle Arquitectura, Leganés",3,1,6.74,3.73,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472328900,-1,0,0,0,10958,-1,1,-1,-1,-1,-1,-1,-1,0,1,3,0,1,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Leganés,Atlético Madrid,1.11,1.79,0.0,0.0,3.0,1.0,0,0,0.0,0.0,0.0,38,False,False,False,False,False,False,False,Spain_La_Liga,2016-08-27 20:15:00
2016-2017,2,5,1,6,6,4,10,5,1,0,0,8,3,3,7,11,10,11,9,51,49,Estadio de Gran Canaria,"Avenida Pío XII 29, Las Palmas de Gran Canaria",5,1,2.07,3.39,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,4,0,4,2,1472400900,276,0,0,0,18529,1,1,1,3,5,1,4,6,2,0,3,1,2,4,1,0,0,0,0,1.74,1.32,3.06,0,0,0,0,0,0,1,1,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,UD Las Palmas,Granada CF,1.74,0.21,0.0,0.0,3.0,1.0,0,0,0.0,0.0,0.0,38,True,True,True,True,True,True,True,Spain_La_Liga,2016-08-28 16:15:00
2016-2017,2,0,0,0,4,6,10,1,1,0,0,4,2,10,5,14,7,11,12,52,48,Estadio de Mendizorroza,"Paseo de Cervantes, Vitoria-Gasteiz",1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472400900,-1,0,0,0,14030,1,1,1,4,3,2,5,5,1,0,0,1,1,1,1,0,0,0,0,1.57,1.0,2.57,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Deportivo Alavés,Sporting Gijón,1.53,0.63,0.0,0.0,1.0,3.0,0,0,0.0,0.0,0.0,38,False,False,False,False,False,False,False,Spain_La_Liga,2016-08-28 16:15:00
2016-2017,2,0,1,1,4,4,8,5,4,0,0,5,4,5,7,10,11,20,14,42,58,San Mamés Barria,"Rafael Moreno Pitxitxi Kalea, Bilbao",5,4,7.18,5.1,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1472408100,83,0,0,0,46724,1,1,2,0,2,4,2,6,1,3,4,1,4,5,1,0,0,0,0,1.44,1.43,2.88,0,0,0,0,0,0,1,1,0,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Athletic Club Bilbao,FC Barcelona,2.26,2.21,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,38,True,False,False,False,False,False,False,Spain_La_Liga,2016-08-28 18:15:00
2016-2017,2,0,0,0,5,1,6,1,3,0,0,6,0,6,7,12,7,15,13,-1,-1,Estadio de la Cerámica,"Plaza Labrador, Villarreal",1,3,2.5,3.5,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472415300,-1,0,0,0,17530,1,1,4,0,1,1,4,2,0,1,1,2,1,3,1,0,0,0,0,1.6,0.87,2.48,0,0,0,0,0,0,1,1,0,0,2,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Villarreal,Sevilla FC,1.95,1.37,0.0,0.0,1.0,3.0,0,0,0.0,0.0,0.0,38,False,False,False,False,False,False,False,Spain_La_Liga,2016-08-28 20:15:00
