season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,temperature_celsius,wind_speed,humidity,clouds,pinnacle_ft_over25,pinnacle_ft_over35,pinnacle_ft_over15,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_ft_1,pinnacle_ft_x,pinnacle_ft_2,pinnacle_btts_no,pinnacle_btts_yes,pinnacle_corners_under_85,pinnacle_corners_over_85,pinnacle_1st_half_over05,pinnacle_1st_half_under05,date
2016-2017,2,1,0,1,-1,-1,-1,3,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Al-Batin FC Stadium,"King Khalid Road, Hafar Al-Batin",3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1471709400,5073,0,0,0,3020,-1,1,-1,-1,-1,-1,-1,-1,1,1,2,0,2,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Al Batin,Al Shabab,1.69,1.38,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,26,True,False,False,False,False,False,False,Saudi_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-08-20 16:10:00
2016-2017,2,2,3,5,-1,-1,-1,1,2,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Prince Saud bin Jalawi Stadium,"Damman Al-Khobar Coastal Road, Khobar",1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,1,2,3,2,1471716300,5070,0,50,0,3027,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,3,0,4,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,0,0,Al Khaleej,Al Ittihad,0.77,2.46,0.0,3.0,0.0,3.0,0,0,0.0,0.0,0.0,26,True,True,True,True,True,False,True,Saudi_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-08-20 18:05:00
2016-2017,2,0,1,1,-1,-1,-1,2,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Prince Abdullah bin Jalawi Sports City Stadium,", Al-Hasa",2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,1471716300,5062,0,50,0,4179,-1,1,-1,-1,-1,-1,-1,-1,1,0,1,1,1,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,0,50,Al Fateh,Al Ahli,1.38,2.0,0.0,3.0,0.0,3.0,0,0,0.0,0.0,0.0,26,True,False,False,False,False,False,False,Saudi_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-08-20 18:05:00
2016-2017,2,1,0,1,-1,-1,-1,3,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Prince Mohamed bin Fahd Stadium,"Omar Ben Al-Khatab Street, Dammam",3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1471716300,5065,0,50,0,7450,-1,1,-1,-1,-1,-1,-1,-1,2,0,1,1,2,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,0,50,Al Ittifaq,Al Nassr,1.31,1.69,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,26,True,False,False,False,False,False,False,Saudi_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-08-20 18:05:00
2016-2017,3,2,2,4,4,4,8,2,1,0,0,7,4,8,2,15,6,-1,-1,-1,-1,Prince Saud bin Jalawi Stadium,"Damman Al-Khobar Coastal Road, Khobar",2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,2,1,3,1,1474039500,-1,0,50,0,112,-1,1,-1,-1,-1,-1,-1,-1,0,1,2,0,1,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,100,50,50,Al Khaleej,Al Batin,0.77,0.31,0.0,0.0,0.0,1.5,50,0,0.0,0.0,0.0,26,True,True,True,True,False,False,True,Saudi_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-09-16 15:25:00
2016-2017,3,2,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,-1,-1,-1,Prince Abdullah bin Abdul Aziz Stadium (King Abdullah Sport City Stadium) (Buraydah (Buraidah)),,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,1,1,2,1,1474040700,5074,0,0,0,3501,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,2,0,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,50,0,50,Al Taawon,Al Raed,1.62,0.77,0.0,0.0,0.0,1.5,50,0,0.0,0.0,0.0,26,True,True,True,False,False,False,True,Saudi_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-09-16 15:45:00
2016-2017,3,1,2,3,8,3,11,2,0,0,0,10,10,13,8,23,18,-1,-1,-1,-1,King Fahd International Stadium,"Al-Amir Bandar Ibn Abdul Aziz Street, Riyadh",2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,1,2,3,0,1474047900,5065,0,0,0,7484,-1,1,-1,-1,-1,-1,-1,-1,1,0,1,0,1,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,50,0,0,Al Hilal,Al Ittifaq,2.23,0.77,3.0,0.0,3.0,1.5,50,0,0.0,0.0,0.0,26,True,True,True,False,False,False,True,Saudi_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-09-16 17:45:00
2016-2017,3,0,0,0,6,6,12,2,1,0,0,2,6,8,2,10,8,8,24,58,42,King Salman bin Abdulaziz Sport City Stadium,", Al Majma'ah",2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1474126800,-1,0,100,0,204,-1,1,-1,-1,-1,-1,-1,-1,0,1,2,0,1,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,50,100,Al Faisaly,Al Fateh,1.23,0.85,3.0,0.0,2.0,0.0,0,0,0.0,0.0,0.0,26,False,False,False,False,False,False,False,Saudi_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-09-17 15:40:00
2016-2017,3,1,0,1,5,2,7,1,3,0,0,6,3,9,12,15,15,12,18,56,44,King Fahd International Stadium,"Al-Amir Bandar Ibn Abdul Aziz Street, Riyadh",1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1474134300,5069,0,50,0,2689,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,2,1,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,50,50,Al Nassr,Al Quadisiya,2.31,0.85,3.0,1.0,1.5,1.0,50,50,0.0,0.0,0.0,26,True,False,False,False,False,False,False,Saudi_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-09-17 17:45:00
2016-2017,3,3,5,8,5,8,13,3,4,0,0,7,9,6,5,13,14,-1,-1,-1,-1,King Abdul Aziz Stadium,"King Abdul Aziz Sports City, Sharayea, Mecca",3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,2,2,3,5,3,1474220700,5070,0,100,0,3270,-1,1,-1,-1,-1,-1,-1,-1,2,0,1,4,2,5,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,75,75,Al Wahda,Al Ittihad,0.92,2.46,3.0,3.0,1.5,3.0,0,0,0.0,0.0,0.0,26,True,True,True,True,True,True,True,Saudi_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-09-18 17:45:00
