season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,temperature_celsius,wind_speed,humidity,clouds,pinnacle_ft_over35,pinnacle_ft_over15,pinnacle_ft_over25,pinnacle_corners_over_95,pinnacle_corners_over_85,pinnacle_corners_under_85,pinnacle_corners_under_95,pinnacle_btts_yes,pinnacle_btts_no,pinnacle_1st_half_over15,pinnacle_1st_half_over05,pinnacle_1st_half_under05,pinnacle_1st_half_under15,pinnacle_ft_1,pinnacle_ft_2,pinnacle_ft_x,date
2016-2017,2,2,1,3,4,4,8,0,0,0,0,3,5,7,7,10,12,11,11,45,55,Antalya Stadyumu (Antalya),,0,0,2.74,3.29,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,2,0,2,1,1472237100,189,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Alanyaspor,Antalyaspor,1.47,1.59,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,34,True,True,True,False,False,False,True,Turkey_Süper_Lig,,,,,,,,,,,,,,,,,,,,,2016-08-26 18:45:00
2016-2017,2,1,1,2,5,5,10,2,3,0,0,3,5,4,5,7,10,20,12,57,43,Recep Tayyip Erdoğan Stadyumu (İstanbul),,2,3,1.76,3.85,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,1,1,1,1472315400,-1,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1,2,2,1,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Kasımpaşa,Adanaspor,1.65,0.59,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,False,False,False,False,True,Turkey_Süper_Lig,,,,,,,,,,,,,,,,,,,,,2016-08-27 16:30:00
2016-2017,2,1,0,1,3,6,9,3,2,1,0,2,5,4,3,6,8,17,18,50,50,Kamil Ocak Stadyumu (Gaziantep),"Istasyon Caddesi, Gaziantep",4,2,3.08,3.4,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1472323500,188,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,3,2,1,5,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Gaziantepspor,Trabzonspor,0.82,1.65,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,34,True,False,False,False,False,False,False,Turkey_Süper_Lig,,,,,,,,,,,,,,,,,,,,,2016-08-27 18:45:00
2016-2017,2,1,3,4,7,9,16,0,1,0,0,6,6,2,7,8,13,17,9,32,68,Manisa 19 Mayıs Stadyumu,"Akhisar Caddesi, Şehitler, Manisa",0,1,3.4,3.51,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,0,2,2,2,1472323500,187,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,1,0,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Akhisar Belediyespor,Galatasaray,1.71,1.82,0.0,0.0,3.0,3.0,0,0,0.0,0.0,0.0,34,True,True,True,True,False,False,True,Turkey_Süper_Lig,,,,,,,,,,,,,,,,,,,,,2016-08-27 18:45:00
2016-2017,2,0,2,2,5,8,13,1,0,0,0,2,6,4,12,6,18,11,7,53,47,Bursa Büyükşehir Belediye Stadyumu,"Dikkaldırım Mah. Hayran Cad., Osmangazi, Bursa",1,0,2.11,3.45,3.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,1,1,1,1472401800,196,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Bursaspor,İstanbul Başakşehir,1.41,1.88,0.0,0.0,3.0,3.0,0,0,0.0,0.0,0.0,34,True,True,False,False,False,False,False,Turkey_Süper_Lig,,,,,,,,,,,,,,,,,,,,,2016-08-28 16:30:00
2016-2017,2,3,0,3,15,2,17,6,1,0,0,9,2,9,5,18,7,21,12,56,44,Dr. Necmettin Şeyhoğlu Stadı,"Fatih Caddesi, Yenişehir, Karabük",6,1,2.07,3.38,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,2,0,2,1,1472401800,198,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,3,0,3,1,3,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Karabükspor,Rizespor,2.0,0.82,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,34,True,True,True,False,False,False,False,Turkey_Süper_Lig,,,,,,,,,,,,,,,,,,,,,2016-08-28 16:30:00
2016-2017,2,3,3,6,2,1,3,2,3,1,0,8,8,5,5,13,13,15,26,60,40,Ülker Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi,"Recep Peker Caddesi, Kadıköy, İstanbul",4,3,1.42,4.87,8.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,2,1,1,2,4,1472409900,-1,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,2,3,1,0,5,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Fenerbahçe,Kayserispor,1.76,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,True,True,True,True,True,Turkey_Süper_Lig,,,,,,,,,,,,,,,,,,,,,2016-08-28 18:45:00
2016-2017,2,2,2,4,1,4,5,2,2,0,0,7,10,4,6,11,16,22,17,40,60,Osmanlı Stadı,"Vural Baylan Bulvari, Ankara",2,2,2.03,3.52,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,1,0,1,1,3,1472409900,-1,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1,2,1,1,3,-1,0,0,0,0,0.0,0.0,0.0,0,1,0,1,0,0,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Osmanlıspor,Gençlerbirliği,0.88,0.94,0.0,0.0,1.0,3.0,0,0,0.0,0.0,0.0,34,True,True,True,True,False,False,True,Turkey_Süper_Lig,,,,,,,,,,,,,,,,,,,,,2016-08-28 18:45:00
2016-2017,3,3,1,4,7,2,9,5,2,0,0,8,4,7,4,15,8,21,26,57,43,Başakşehir Fatih Terim Stadyumu,"Yunus Emre Caddesi, Başakşehir, İstanbul",5,2,2.04,3.51,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,3,0,3,1,1473516000,196,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,4,1,2,5,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,50,0,100,İstanbul Başakşehir,Kasımpaşa,2.41,0.88,3.0,0.0,3.0,0.5,100,50,0.0,0.0,0.0,34,True,True,True,True,False,False,True,Turkey_Süper_Lig,,,,,,,,,,,,,,,,,,,,,2016-09-10 14:00:00
2016-2017,3,1,1,2,4,5,9,2,1,0,0,7,5,4,9,11,14,17,5,38,62,Kadir Has Şehir Stadı,"İle Fırat Caddesi, Kayseri",2,1,2.95,3.34,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,0,0,0,2,1473523200,-1,0,50,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,2,1,0,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,100,50,50,Kayserispor,Galatasaray,1.24,1.82,0.0,3.0,0.5,3.0,50,0,0.0,0.0,0.0,34,True,True,False,False,False,False,True,Turkey_Süper_Lig,,,,,,,,,,,,,,,,,,,,,2016-09-10 16:00:00
