season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,temperature_celsius,wind_speed,humidity,clouds,pinnacle_ft_over35,pinnacle_ft_over15,pinnacle_ft_over25,pinnacle_corners_over_95,pinnacle_corners_over_85,pinnacle_corners_under_85,pinnacle_corners_under_95,pinnacle_btts_yes,pinnacle_btts_no,pinnacle_1st_half_over15,pinnacle_1st_half_over05,pinnacle_1st_half_under05,pinnacle_1st_half_under15,pinnacle_ft_1,pinnacle_ft_2,pinnacle_ft_x,date
2019-2020,7,0,0,0,4,5,9,6,4,1,0,7,3,9,4,16,7,19,17,30,70,Eryaman Stadyumu (Ankara),,7,4,3.15,3.5,2.15,1.24,1.77,2.9,1.65,2.15,1.62,2.04,2.22,1.73,1.3,2.6,3.2,1.44,0,0,0,0,0,0,0,1570294800,-1,0,67,0,-1,1,1,1,4,3,1,5,4,0,2,7,2,2,9,1,74,89,81,121,2.02,1.3,3.33,0,0,0,0,0,0,1,1,0,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,84,0,67,Gençlerbirliği,Galatasaray,1.24,1.24,0.33,1.33,0.33,1.5,67,17,1.4,1.75,3.15,34,False,False,False,False,False,False,False,Turkey_Süper_Lig,,1.12,71%,40%,,,,,,,,,,,,,,,,,2019-10-05 17:00:00
2019-2020,7,0,1,1,10,3,13,2,2,0,0,13,6,16,2,29,8,10,17,71,29,Ülker Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi (İstanbul),,2,2,1.39,4.85,7.0,1.15,1.5,2.25,1.67,2.1,1.52,1.95,2.52,1.85,1.27,2.17,3.54,1.64,1,0,1,0,0,0,1,1570210200,195,0,50,0,-1,1,1,4,0,6,3,4,9,0,0,2,2,0,4,1,139,34,151,71,3.73,1.18,4.9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,84,50,84,Fenerbahçe,Antalyaspor,2.12,1.41,2.33,1.33,1.83,1.33,33,17,2.63,1.52,4.15,34,True,False,False,False,False,False,False,Turkey_Süper_Lig,,13.87,73%,75%,,,,,,,,,,,,,,,,,2019-10-04 17:30:00
2019-2020,7,1,4,5,9,2,11,5,4,0,0,10,10,9,3,19,13,11,10,52,48,Recep Tayyip Erdoğan Stadyumu (İstanbul),,5,4,2.1,3.5,3.3,1.27,1.87,3.2,1.71,2.05,1.46,1.85,2.67,1.95,1.41,2.77,2.77,1.41,5,1,3,0,1,1,4,1570276800,194,0,33,0,-1,1,1,3,0,6,2,3,8,1,2,4,2,3,6,1,97,51,93,80,2.58,1.89,4.47,0,2,0,2,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,50,17,34,Kasımpaşa,Konyaspor,1.41,1.0,1.33,1.33,1.17,1.5,84,50,2.29,1.48,3.77,34,True,True,True,True,True,False,True,Turkey_Süper_Lig,,13.87,82%,75%,,,,,,,,,,,,,,,,,2019-10-05 12:00:00
2019-2020,7,1,2,3,6,4,10,5,2,0,0,6,5,10,8,16,13,17,11,40,60,Çaykur Didi Stadyumu (Rize),,5,2,2.6,3.45,2.55,1.24,1.77,2.9,1.62,2.15,1.42,1.68,2.76,2.11,1.29,2.55,3.3,1.45,3,1,0,0,2,2,1,1570377600,185,0,84,0,-1,1,1,4,3,2,1,7,3,2,2,3,0,4,3,1,64,71,75,83,1.88,1.68,3.56,0,0,0,0,0,0,1,1,0,0,2,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,84,67,67,Rizespor,Trabzonspor,1.59,1.94,1.33,0.67,1.33,1.5,50,17,1.62,1.55,3.17,34,True,True,True,False,False,False,True,Turkey_Süper_Lig,,20.8,88%,75%,,,,,,,,,,,,,,,,,2019-10-06 16:00:00
2019-2020,7,2,0,2,4,8,12,3,4,0,0,5,4,4,8,9,12,11,11,50,50,Vodafone Park (İstanbul),,3,4,2.0,3.6,3.4,1.2,1.67,2.65,1.57,2.25,1.47,1.87,2.63,1.93,1.29,2.55,3.3,1.45,2,0,0,2,0,2,0,1570368600,109,0,67,0,-1,1,1,3,2,1,6,5,7,3,0,0,4,3,4,1,65,97,102,93,1.39,1.73,3.12,1,0,1,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,84,17,67,Beşiktaş,Alanyaspor,2.12,1.35,1.67,2.33,0.83,2.33,67,17,1.72,1.8,3.52,34,True,True,False,False,False,False,False,Turkey_Süper_Lig,,,,,,,,,,,,,,,,,,,,,2019-10-06 13:30:00
2019-2020,7,4,0,4,6,5,11,1,2,0,0,7,4,4,3,11,7,13,15,42,58,Bornova Aziz Kocaoğlu Stadyumu (İzmir),,1,2,1.59,3.85,5.65,1.35,2.1,3.8,2.1,1.67,1.51,1.73,2.56,2.0,1.44,2.94,2.66,1.37,4,3,0,1,0,1,3,1570285800,357,0,50,0,-1,1,1,3,3,3,2,6,5,0,2,1,0,2,1,1,64,69,90,94,1.65,1.23,2.87,1,0,0,0,1,0,1,1,1,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,50,34,50,Göztepe,Kayserispor,1.41,0.47,1.33,0.67,1.0,0.5,67,50,1.72,1.2,2.92,34,True,True,True,True,False,False,False,Turkey_Süper_Lig,,,,,,,,,,,,,,,,,,,,,2019-10-05 14:30:00
2019-2020,8,0,6,6,8,1,9,2,2,1,0,2,9,5,2,7,11,5,16,41,59,Antalya Stadyumu (Antalya),,4,2,2.35,3.3,2.95,1.32,2.0,3.55,1.77,1.95,1.55,2.1,2.38,1.66,1.4,3.0,2.75,1.36,6,0,5,0,1,1,5,1571486400,199,0,67,0,-1,1,1,4,0,4,1,4,5,2,0,1,2,2,3,1,74,62,83,102,1.12,1.78,2.89,0,0,0,0,0,0,1,1,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,100,50,84,Antalyaspor,Gençlerbirliği,1.24,0.88,1.33,0.33,1.57,0.43,17,0,2.11,1.99,4.1,34,True,True,True,True,True,True,False,Turkey_Süper_Lig,,5.82,73%,75%,,,,,,,,,,,,,,,,,2019-10-19 12:00:00
2019-2020,8,5,2,7,8,4,12,0,1,0,0,12,4,9,2,21,6,21,16,46,54,Bahçeşehir Okulları Stadyumu (Alanya),,0,1,1.67,3.8,5.0,1.25,1.8,3.05,1.77,1.95,1.52,1.83,2.44,1.83,1.36,2.62,3.0,1.44,7,2,0,3,2,5,2,1571578200,189,0,67,0,-1,1,1,3,3,5,1,6,6,0,1,0,0,1,0,1,72,48,102,88,2.68,1.01,3.69,0,1,0,1,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,84,50,84,Alanyaspor,Rizespor,2.0,0.47,2.33,1.33,2.0,1.14,50,17,2.11,1.29,3.4,34,True,True,True,True,True,True,True,Turkey_Süper_Lig,,2.24,78%,40%,,,,,,,,,,,,,,,,,2019-10-20 13:30:00
2019-2020,8,1,2,3,5,4,9,2,0,0,0,2,4,2,4,4,8,12,12,40,60,Denizli Atatürk Stadyumu (Denizli),,2,0,3.65,3.45,2.0,1.25,1.8,3.05,1.69,2.05,1.66,2.0,2.1,1.72,1.33,2.5,3.25,1.5,3,0,1,1,1,2,1,1571587200,105,0,34,0,-1,1,1,0,3,5,1,3,6,2,0,0,0,2,0,1,58,48,83,106,0.82,1.14,1.96,0,0,0,0,0,0,1,1,0,0,0,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,50,17,34,Denizlispor,Fenerbahçe,1.0,1.0,1.0,1.33,1.14,1.57,67,50,1.7,1.42,3.12,34,True,True,True,False,False,False,True,Turkey_Süper_Lig,,5.82,42%,0%,,,,,,,,,,,,,,,,,2019-10-20 16:00:00
2019-2020,8,0,0,0,5,6,11,1,4,1,0,0,4,5,8,5,12,17,9,32,68,Eryaman Stadyumu (Ankara),,3,4,5.1,3.95,1.62,1.2,1.65,2.65,1.69,2.1,1.47,1.83,2.55,1.83,1.3,2.5,3.4,1.5,0,0,0,0,0,0,0,1571504400,-1,0,67,0,-1,1,1,3,4,2,2,7,4,1,1,1,3,2,4,1,50,80,88,108,0.69,1.62,2.3,0,0,0,0,0,0,1,1,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,100,33,67,Ankaragücü,Beşiktaş,0.94,1.53,1.33,0.0,1.14,1.14,17,0,1.53,1.76,3.29,34,False,False,False,False,False,False,False,Turkey_Süper_Lig,,6.93,66%,20%,,,,,,,,,,,,,,,,,2019-10-19 17:00:00
2019-2020,8,4,1,5,5,4,9,1,1,0,1,6,6,7,8,13,14,16,14,50,50,Medical Park Stadyumu (Trabzon),,1,3,1.69,3.9,4.75,1.19,1.62,2.6,1.62,2.2,1.58,1.97,2.3,1.78,1.29,2.25,3.5,1.57,5,2,0,2,1,3,2,1571495400,185,0,84,0,-1,1,1,3,3,2,1,6,3,1,0,0,2,1,2,1,56,80,111,115,1.65,1.88,3.53,0,0,0,0,0,0,1,1,1,0,2,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,100,67,100,Trabzonspor,Gazişehir Gaziantep,1.88,1.24,2.33,1.33,1.71,1.57,17,0,1.93,0.93,2.86,34,True,True,True,True,True,False,True,Turkey_Süper_Lig,,4.7,77%,75%,,,,,,,,,,,,,,,,,2019-10-19 14:30:00
2019-2020,8,2,1,3,5,5,10,1,3,0,0,7,4,8,7,15,11,17,13,52,48,Başakşehir Fatih Terim Stadyumu (İstanbul),,1,3,1.74,3.4,5.05,1.36,2.1,3.9,2.0,1.77,1.55,1.9,2.37,1.8,1.44,3.25,2.62,1.33,3,1,0,1,1,2,1,1571495400,196,0,50,0,-1,1,1,2,4,3,1,6,4,1,1,0,2,2,2,1,60,70,113,90,1.87,1.48,3.35,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,84,17,67,İstanbul Başakşehir,Göztepe,2.35,1.06,1.33,0.67,1.57,1.29,50,17,1.79,0.98,2.77,34,True,True,True,False,False,False,True,Turkey_Süper_Lig,,9.17,77%,8%,,,,,,,,,,,,,,,,,2019-10-19 14:30:00
2019-2020,8,1,1,2,11,3,14,5,3,0,0,11,5,10,6,21,11,14,17,57,43,Kadir Has Şehir Stadı (Kayseri),,5,3,2.55,3.45,2.6,1.2,1.67,2.65,1.56,2.3,1.45,1.72,2.6,2.0,1.3,2.5,3.4,1.5,2,0,1,1,0,1,1,1571569200,-1,0,50,0,-1,1,1,6,1,5,2,7,7,1,0,4,3,1,7,1,103,60,90,86,2.82,1.48,4.3,0,0,0,0,0,0,1,1,0,1,2,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,50,17,67,Kayserispor,Kasımpaşa,1.41,1.12,0.33,1.0,0.43,1.0,67,50,1.32,1.3,2.62,34,True,True,False,False,False,False,True,Turkey_Süper_Lig,,5.82,35%,75%,,,,,,,,,,,,,,,,,2019-10-20 11:00:00
2019-2020,8,0,2,2,3,3,6,1,2,1,0,4,7,3,6,7,13,10,16,57,43,Konya Büyükşehir Belediye Stadyumu (Konya),,3,2,2.15,3.3,3.4,1.32,2.0,3.5,1.8,1.95,1.66,2.2,2.1,1.63,1.44,3.0,2.62,1.36,2,0,1,0,1,1,1,1571677200,352,0,50,0,-1,1,1,3,1,0,2,4,2,2,1,0,1,3,1,1,62,55,114,92,1.18,1.71,2.89,0,0,0,0,0,0,1,1,0,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,84,33,84,Konyaspor,Yeni Malatyaspor,1.12,0.94,1.67,1.0,1.71,1.43,17,17,2.36,1.7,4.06,34,True,True,False,False,False,False,False,Turkey_Süper_Lig,,9.17,62%,40%,,,,,,,,,,,,,,,,,2019-10-21 17:00:00
2019-2020,8,3,2,5,3,3,6,4,3,0,1,9,8,9,7,18,15,10,20,66,34,Türk Telekom Stadyumu (İstanbul),,4,4,1.5,4.35,6.05,1.18,1.61,2.5,1.71,2.05,1.46,1.83,2.59,1.83,1.29,2.38,3.5,1.53,5,2,0,1,2,3,2,1571419800,187,0,67,0,-1,1,1,1,2,2,1,3,3,1,3,3,1,4,4,1,93,57,119,80,2.43,1.91,4.35,1,0,1,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,67,0,50,Galatasaray,Sivasspor,2.06,1.35,1.67,0.67,1.43,1.71,84,34,1.72,1.37,3.09,34,True,True,True,True,True,False,True,Turkey_Süper_Lig,,5.82,82%,0%,,,,,,,,,,,,,,,,,2019-10-18 17:30:00
2019-2020,9,5,1,6,2,2,4,1,1,0,0,9,2,10,4,19,6,13,6,55,45,Ülker Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi (İstanbul),,1,1,1.49,4.4,6.05,1.25,1.8,3.0,1.91,1.8,1.63,2.06,2.19,1.71,1.35,2.51,3.04,1.49,6,3,1,2,0,2,4,1572109200,105,0,50,0,-1,1,1,2,1,0,1,3,1,0,1,1,0,1,1,1,49,40,107,108,2.18,0.82,3.01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,63,50,63,Fenerbahçe,Konyaspor,2.12,1.0,1.75,1.75,1.75,1.5,63,38,2.91,1.58,4.49,34,True,True,True,True,True,True,True,Turkey_Süper_Lig,,12.75,72%,20%,,,,,,,,,,,,,,,,,2019-10-26 17:00:00
2019-2020,9,2,2,4,3,6,9,2,3,0,0,6,7,14,1,20,8,13,7,51,49,Başakşehir Fatih Terim Stadyumu (İstanbul),,2,3,1.74,3.8,4.45,1.24,1.77,2.95,1.71,2.0,1.48,1.83,2.54,1.83,1.33,2.62,3.25,1.44,4,0,0,2,2,4,0,1572282000,-1,0,88,0,-1,1,1,1,3,2,3,4,5,0,0,2,3,0,5,1,69,58,107,82,2.18,1.42,3.59,1,1,1,1,0,0,1,1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,100,50,100,İstanbul Başakşehir,Trabzonspor,2.35,1.94,1.75,1.25,1.75,1.88,38,0,1.81,1.59,3.4,34,True,True,True,True,False,False,True,Turkey_Süper_Lig,,5.82,82%,0%,,,,,,,,,,,,,,,,,2019-10-28 17:00:00
2019-2020,9,1,0,1,7,0,7,2,3,0,0,8,3,6,10,14,13,11,15,41,59,Vodafone Park (İstanbul),,2,3,2.7,3.5,2.45,1.22,1.71,2.8,1.59,2.25,1.48,1.82,2.54,1.93,1.33,2.5,3.25,1.5,1,0,0,1,0,1,0,1572192000,109,0,50,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,2,3,0,5,1,67,76,112,136,1.93,1.59,3.52,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,88,0,50,Beşiktaş,Galatasaray,2.12,1.24,2.0,1.25,1.13,1.63,75,13,1.64,1.64,3.28,34,True,False,False,False,False,False,False,Turkey_Süper_Lig,,11.41,72%,5%,,,,,,,,,,,,,,,,,2019-10-27 16:00:00
2019-2020,9,2,1,3,7,9,16,3,1,0,0,4,4,5,4,9,8,15,8,49,51,Yeni Sivas 4 Eylül Stadyumu (Sivas),,3,1,1.65,4.0,4.85,1.22,1.71,2.8,1.74,2.0,1.44,1.72,2.66,2.0,1.33,2.5,3.25,1.5,3,0,0,2,1,3,0,1572091200,202,0,50,0,-1,1,1,3,5,4,4,8,8,0,0,3,1,0,4,1,68,77,94,101,1.34,1.35,2.69,0,1,0,1,0,0,1,1,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,75,25,88,Sivasspor,Antalyaspor,2.18,1.41,2.5,1.75,1.5,1.38,38,25,1.95,1.44,3.39,34,True,True,True,False,False,False,True,Turkey_Süper_Lig,,11.41,58%,75%,,,,,,,,,,,,,,,,,2019-10-26 12:00:00
2019-2020,9,0,2,2,6,6,12,1,2,0,0,8,4,9,5,17,9,13,9,62,38,Eryaman Stadyumu (Ankara),,1,2,1.65,3.95,4.95,1.26,1.83,3.1,1.83,1.87,1.83,2.38,1.83,1.54,1.35,2.54,3.04,1.48,2,0,1,0,1,1,1,1572183000,346,0,50,0,-1,1,1,4,3,2,3,7,5,0,0,1,2,0,3,1,84,54,101,86,2.23,1.24,3.47,0,1,0,1,0,0,1,1,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,63,13,63,Gençlerbirliği,Denizlispor,1.24,1.06,0.5,1.25,0.75,1.0,75,38,1.56,1.35,2.91,34,True,True,False,False,False,False,False,Turkey_Süper_Lig,,9.17,47%,0%,,,,,,,,,,,,,,,,,2019-10-27 13:30:00
2019-2020,9,4,0,4,4,2,6,1,3,0,0,8,3,12,3,20,6,15,18,57,43,Yeni Malatya Stadyumu (Malatya),,1,3,1.48,4.45,6.05,1.19,1.62,2.6,1.74,2.0,1.57,1.9,2.31,1.8,1.29,2.45,3.15,1.47,4,1,0,3,0,3,1,1572174000,352,0,75,0,-1,1,1,1,1,3,1,2,4,1,1,0,2,2,2,1,83,46,94,72,2.41,0.93,3.33,1,0,1,0,0,0,1,1,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,100,63,75,Yeni Malatyaspor,Kayserispor,0.94,0.47,1.75,0.5,1.63,0.5,25,0,1.94,1.2,3.14,34,True,True,True,True,False,False,False,Turkey_Süper_Lig,,5.82,37%,40%,,,,,,,,,,,,,,,,,2019-10-27 11:00:00
2019-2020,9,1,1,2,9,1,10,3,2,0,0,4,3,5,5,9,8,19,13,63,37,Gaziantep Stadyumu (Gaziantep),,3,2,3.55,3.45,2.05,1.28,1.91,3.25,1.74,2.0,1.55,1.9,2.34,1.8,1.4,2.87,2.7,1.36,2,0,1,1,0,1,1,1572100200,-1,0,75,0,-1,1,1,3,1,6,0,4,6,1,0,2,2,1,4,1,96,51,113,95,1.54,1.09,2.64,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,88,38,63,Gazişehir Gaziantep,Alanyaspor,1.47,1.35,1.75,1.75,1.38,2.13,50,13,1.51,1.78,3.29,34,True,True,False,False,False,False,True,Turkey_Süper_Lig,,1.12,52%,20%,,,,,,,,,,,,,,,,,2019-10-26 14:30:00
2019-2020,9,2,0,2,8,3,11,1,3,0,0,10,4,11,10,21,14,20,11,58,42,Çaykur Didi Stadyumu (Rize),,1,3,1.61,4.0,5.35,1.21,1.69,2.75,1.74,2.0,1.51,1.87,2.46,1.87,1.33,2.5,3.25,1.5,2,1,0,1,0,1,1,1572024600,192,0,63,0,-1,1,1,5,0,3,3,5,6,0,1,1,2,1,3,1,73,44,94,94,2.54,1.48,4.03,1,0,1,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,63,38,63,Rizespor,Ankaragücü,1.59,0.94,1.0,1.0,1.0,1.13,38,38,1.69,1.09,2.78,34,True,True,False,False,False,False,False,Turkey_Süper_Lig,,4.7,88%,75%,,,,,,,,,,,,,,,,,2019-10-25 17:30:00
2019-2020,9,1,4,5,5,4,9,4,3,0,0,6,9,7,6,13,15,13,18,57,43,Bornova Aziz Kocaoğlu Stadyumu (İzmir),,4,3,1.77,3.85,4.25,1.23,1.74,2.85,1.69,2.05,1.43,1.72,2.7,2.0,1.33,2.62,3.25,1.44,5,1,1,0,3,3,2,1572183000,197,0,25,0,-1,1,1,2,2,3,2,4,5,1,2,3,1,3,4,1,77,63,105,86,1.8,2.03,3.82,0,1,0,1,0,0,1,1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,38,25,63,Göztepe,Kasımpaşa,1.41,1.12,1.75,1.0,1.13,1.0,75,63,1.7,1.35,3.05,34,True,True,True,True,True,False,True,Turkey_Süper_Lig,,19.46,40%,0%,,,,,,,,,,,,,,,,,2019-10-27 13:30:00
2019-2020,10,1,1,2,1,7,8,1,2,0,0,4,3,7,7,11,10,13,9,49,51,Konya Büyükşehir Belediye Stadyumu (Konya),,1,2,2.45,3.2,2.95,1.38,2.2,4.1,1.91,1.83,1.72,2.16,2.0,1.65,1.44,3.3,2.6,1.29,2,1,0,0,1,1,1,1572696000,-1,0,63,0,-1,1,1,1,1,0,6,2,6,0,1,1,1,1,2,1,42,87,103,119,1.29,1.47,2.76,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,88,50,75,Konyaspor,Gençlerbirliği,1.12,0.88,1.25,1.0,1.33,0.67,25,13,2.06,1.93,3.99,34,True,True,False,False,False,False,True,Turkey_Süper_Lig,,3.36,50%,40%,,,,,,,,,,,,,,,,,2019-11-02 12:00:00
2019-2020,10,2,0,2,4,3,7,1,3,0,0,7,5,4,4,11,9,14,19,65,35,Türk Telekom Stadyumu (İstanbul),,1,3,1.42,4.45,7.25,1.21,1.69,2.75,1.87,1.83,1.49,1.83,2.51,1.83,1.3,2.6,3.2,1.44,2,2,0,0,0,0,2,1572629400,187,0,50,0,-1,1,1,0,3,4,0,3,4,0,1,1,2,1,3,1,89,59,117,80,1.83,1.35,3.18,1,0,1,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,63,38,63,Galatasaray,Rizespor,2.06,0.47,2.0,1.0,1.44,1.22,63,38,1.9,1.22,3.12,34,True,True,False,False,False,False,False,Turkey_Süper_Lig,,20.8,62%,40%,,,,,,,,,,,,,,,,,2019-11-01 17:30:00
2019-2020,10,1,2,3,2,0,2,3,2,0,0,5,7,7,5,12,12,13,17,42,58,Antalya Stadyumu (Antalya),,3,2,3.15,3.45,2.2,1.27,1.87,3.2,1.71,2.05,1.4,1.72,2.81,2.0,1.37,2.7,2.94,1.43,3,0,2,1,0,1,2,1572714000,109,0,38,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,2,2,1,4,1,86,72,107,131,1.73,1.78,3.51,0,0,0,0,0,0,1,1,0,1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,88,38,88,Antalyaspor,Beşiktaş,1.24,1.53,1.0,0.25,1.22,1.33,25,13,1.86,1.72,3.58,34,True,True,True,False,False,False,True,Turkey_Süper_Lig,,6.93,67%,100%,,,,,,,,,,,,,,,,,2019-11-02 17:00:00
2019-2020,10,1,2,3,6,3,9,2,2,0,0,7,6,6,3,13,9,16,16,54,46,Eryaman Stadyumu (Ankara),,2,2,2.95,3.5,2.3,1.25,1.8,3.0,1.65,2.15,1.58,2.0,2.31,1.72,1.33,2.48,3.14,1.5,3,0,1,1,1,2,1,1572886800,355,0,63,0,-1,1,1,3,2,3,1,5,4,1,1,1,1,2,2,1,79,64,98,97,1.88,1.46,3.33,0,1,0,1,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,88,50,63,Ankaragücü,Gazişehir Gaziantep,0.94,1.24,1.25,1.0,1.0,1.33,38,13,1.32,1.17,2.49,34,True,True,True,False,False,False,True,Turkey_Süper_Lig,,2.24,66%,100%,,,,,,,,,,,,,,,,,2019-11-04 17:00:00
2019-2020,10,0,0,0,5,3,8,1,1,0,0,4,2,13,3,17,5,13,10,46,54,Bahçeşehir Okulları Stadyumu (Alanya),,1,1,2.35,3.3,3.0,1.29,1.95,3.35,1.74,2.0,1.67,2.1,2.13,1.66,1.36,2.88,2.88,1.36,0,0,0,0,0,0,0,1572705000,-1,0,88,0,-1,1,1,3,0,2,3,3,5,1,0,0,1,1,1,1,89,60,82,83,1.98,0.89,2.88,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,100,50,75,Alanyaspor,İstanbul Başakşehir,2.0,1.71,2.5,1.75,2.0,1.67,25,0,2.25,2.04,4.29,34,False,False,False,False,False,False,False,Turkey_Süper_Lig,,3.36,88%,40%,,,,,,,,,,,,,,,,,2019-11-02 14:30:00
2019-2020,10,0,1,1,8,3,11,0,3,0,0,7,3,9,4,16,7,3,10,59,41,Medical Park Stadyumu (Trabzon),,0,3,1.95,3.4,3.9,1.28,1.87,3.2,1.74,2.0,1.49,1.83,2.51,1.83,1.33,2.88,2.88,1.36,1,0,1,0,0,0,1,1572705000,357,0,75,0,-1,1,1,2,3,6,0,5,6,0,0,0,3,0,3,1,113,52,128,100,2.31,1.04,3.35,0,0,0,0,0,0,1,1,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,88,38,75,Trabzonspor,Göztepe,1.88,1.06,2.5,0.5,1.78,1.0,25,13,1.86,1.11,2.97,34,True,False,False,False,False,False,False,Turkey_Süper_Lig,,6.93,66%,75%,,,,,,,,,,,,,,,,,2019-11-02 14:30:00
