season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,temperature_celsius,wind_speed,humidity,clouds,pinnacle_corners_over_85,pinnacle_corners_over_95,pinnacle_corners_under_85,pinnacle_corners_under_95,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_ft_over35,pinnacle_ft_over15,pinnacle_ft_over25,pinnacle_ft_1,pinnacle_ft_x,pinnacle_ft_2,pinnacle_btts_yes,pinnacle_btts_no,date
2018-2019,8,4,0,4,6,1,7,0,2,0,0,9,0,6,2,15,2,7,15,69,31,Philips Stadion,"Frederiklaan 10, Eindhoven",0,2,1.17,7.0,15.5,1.12,1.43,2.05,2.15,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,3,0,3,1,1538847900,121,0,42,0,33800,1,1,4,0,2,1,4,3,0,1,0,1,1,1,1,75,27,138,75,2.13,0.34,2.46,1,0,1,0,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,75,46,100,PSV,VVV,2.88,1.0,3.0,1.75,3.0,1.57,38,25,2.01,1.16,3.17,34,True,True,True,True,False,False,False,Netherlands_Eredivisie,,5.82,64%,90%,,,,,,,,,,,,,,,2018-10-06 17:45:00
2018-2019,8,0,5,5,1,6,7,0,0,1,0,2,15,7,11,9,26,12,8,41,59,Stadion De Vijverberg,"Lijsterbeslaan 101a, Doetinchem",2,0,3.2,3.55,2.15,1.18,1.61,2.5,1.59,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,4,0,1,1,4,1538851500,373,0,75,0,12102,1,1,0,3,1,3,3,4,0,0,1,0,0,1,1,0,0,0,0,0.82,3.04,3.85,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,88,46,100,De Graafschap,Heerenveen,1.24,1.29,1.5,1.67,1.0,1.0,42,13,1.65,1.18,2.83,34,True,True,True,True,True,False,False,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2018-10-06 18:45:00
2018-2019,8,3,3,6,3,3,6,4,1,0,0,5,7,8,7,13,14,17,16,48,52,De Oude Meerdijk,"Stadionplein 1, Emmen",4,1,2.25,3.4,3.0,1.21,1.69,2.7,1.62,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,0,2,3,5,1,1538907300,-1,0,84,0,8300,1,1,2,1,1,2,3,3,2,0,2,1,2,3,1,0,0,0,0,1.58,1.64,3.22,0,0,0,0,0,0,1,1,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,84,50,84,Emmen,Fortuna Sittard,1.18,0.47,0.33,1.33,1.0,0.86,50,17,1.95,1.5,3.45,34,True,True,True,True,True,True,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2018-10-07 10:15:00
2018-2019,8,1,1,2,2,8,10,4,2,0,0,5,9,7,1,12,10,12,9,43,57,Koning Willem II Stadion,"Goirleseweg 34, Tilburg",4,2,5.05,4.2,1.57,1.15,1.51,2.3,1.62,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,1,2,0,1538915400,-1,0,50,0,13550,1,1,1,3,1,5,4,6,1,1,3,1,2,4,1,39,51,96,125,1.4,1.64,3.04,0,1,0,1,0,0,1,1,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,84,50,100,Willem II,Feyenoord,1.18,1.35,1.33,1.33,1.14,2.29,50,17,1.87,1.51,3.38,34,True,True,False,False,False,False,True,Netherlands_Eredivisie,,12.75,62%,75%,,,,,,,,,,,,,,,2018-10-07 12:30:00
2018-2019,8,4,0,4,5,5,10,1,3,0,0,7,3,8,2,15,5,11,16,53,47,GelreDome,"Batavierenweg 25, Arnhem",1,3,1.77,3.9,3.95,1.14,1.48,2.2,1.51,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0,2,0,2,2,1538915400,369,0,67,0,14338,1,1,3,3,2,2,6,4,0,1,1,2,1,3,1,52,43,109,96,1.82,0.85,2.67,2,0,1,0,1,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,100,67,84,Vitesse,Heracles,2.05,0.83,1.33,1.33,1.29,2.29,33,0,2.06,1.09,3.15,36,True,True,True,True,False,False,False,Netherlands_Eredivisie,,9.17,66%,40%,,,,,,,,,,,,,,,2018-10-07 12:30:00
2018-2019,8,5,0,5,6,4,10,2,3,0,0,13,4,11,2,24,6,12,14,60,40,Johan Cruijff Arena,"ArenA Boulevard 1, Amsterdam",2,3,1.36,5.05,6.75,1.08,1.31,1.8,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,4,0,4,1,1538923500,120,0,67,0,53185,1,1,4,2,2,2,6,4,0,1,2,2,1,4,1,0,0,0,0,2.88,0.85,3.73,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,100,67,84,Ajax,AZ,2.76,1.29,2.33,2.0,2.29,1.71,17,0,2.36,1.96,4.32,34,True,True,True,True,True,False,False,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2018-10-07 14:45:00
2018-2019,9,6,0,6,10,1,11,3,3,0,0,16,5,8,3,24,8,7,9,55,45,Philips Stadion,"Frederiklaan 10, Eindhoven",3,3,1.1,9.5,21.25,1.06,1.25,1.67,2.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,0,2,0,2,4,1540053000,121,0,50,0,34200,1,1,5,0,5,1,5,6,2,2,1,1,4,2,1,49,26,68,54,2.97,1.04,4.02,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,63,100,PSV,Emmen,2.88,1.06,3.0,1.5,3.0,1.0,0,0,2.04,1.44,3.48,34,True,True,True,True,True,True,False,Netherlands_Eredivisie,,4.7,58%,40%,,,,,,,,,,,,,,,2018-10-20 16:30:00
2018-2019,9,2,0,2,9,13,22,0,0,1,0,2,8,2,14,4,22,11,12,44,56,Van Donge & De Roo Stadion,"Honingerdijk 110, Rotterdam",2,0,4.05,3.85,1.8,1.2,1.65,2.65,1.69,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,1,0,1,1,1540053000,374,0,63,0,4397,1,1,4,2,5,11,6,16,0,0,1,0,0,1,1,22,46,34,57,0.55,2.26,2.82,0,1,0,0,0,1,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,75,38,88,Excelsior,Vitesse,1.29,0.95,1.25,1.25,1.13,1.5,63,25,1.26,1.39,2.65,34,True,True,False,False,False,False,False,Netherlands_Eredivisie,,5.82,72%,90%,,,,,,,,,,,,,,,2018-10-20 16:30:00
2018-2019,9,0,4,4,5,10,15,2,1,0,0,5,11,7,6,12,17,9,13,34,66,Abe Lenstra Stadion,"Abe Lenstra Boulevard 23Q, Heerenveen",2,1,8.75,6.1,1.27,1.11,1.38,2.0,1.83,2.0,0.0,1.8,0.0,1.9,0.0,0.0,0.0,0.0,4,0,2,0,2,2,2,1540061100,120,0,50,0,23315,1,1,0,6,5,4,6,9,1,0,1,1,1,2,1,22,45,54,67,1.26,2.16,3.42,0,1,0,1,0,0,1,1,0,1,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,88,63,75,Heerenveen,Ajax,1.12,2.29,0.5,2.25,1.25,2.38,50,13,1.28,2.13,3.41,34,True,True,True,True,False,False,False,Netherlands_Eredivisie,,5.82,82%,90%,,,,,,,,,,,,,,,2018-10-20 18:45:00
2018-2019,9,2,1,3,7,4,11,1,2,0,0,6,9,5,4,11,13,7,12,42,58,Stadion Galgenwaard,"Herculesplein 241, Utrecht",1,2,2.55,3.6,2.5,1.13,1.47,2.15,1.45,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,1,0,1,2,1540061100,376,0,75,0,18294,1,1,4,1,3,3,5,6,0,1,1,1,1,2,1,59,70,88,93,1.54,1.95,3.5,0,0,0,0,0,0,1,1,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,100,50,100,Utrecht,AZ,1.89,1.29,1.75,1.5,1.13,1.5,25,0,1.64,1.68,3.32,34,True,True,True,False,False,False,True,Netherlands_Eredivisie,,5.82,82%,20%,,,,,,,,,,,,,,,2018-10-20 18:45:00
2018-2019,9,2,2,4,1,6,7,0,0,0,0,4,5,3,5,7,10,15,14,51,49,Rat Verlegh Stadion,"Stadionstraat 23, Breda",0,0,2.95,3.3,2.35,1.26,1.83,3.1,1.74,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,2,1,0,1,3,1540116900,-1,0,50,0,18892,1,-1,0,3,1,3,3,4,0,0,0,0,0,0,1,0,0,0,0,1.29,1.52,2.81,1,0,1,0,0,0,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,88,38,88,NAC Breda,Willem II,1.06,1.41,0.75,1.0,0.38,1.13,38,13,1.27,1.24,2.51,34,True,True,True,True,False,False,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2018-10-21 10:15:00
2018-2019,9,4,1,5,3,1,4,0,2,0,0,9,5,3,6,12,11,6,12,54,46,Polman Stadion,"Stadionlaan 1, Almelo",0,2,1.95,3.6,3.7,1.15,1.51,2.3,1.53,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,3,0,3,2,1540125000,370,0,50,0,11237,1,1,2,0,1,1,2,2,0,0,0,2,0,2,1,35,45,139,89,1.66,1.37,3.03,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,75,50,100,Heracles,Groningen,1.83,0.78,3.0,0.75,2.0,0.5,25,25,2.21,1.17,3.38,36,True,True,True,True,True,False,True,Netherlands_Eredivisie,,6.93,62%,90%,,,,,,,,,,,,,,,2018-10-21 12:30:00
2018-2019,9,3,0,3,7,3,10,1,0,0,0,12,6,2,10,14,16,9,9,56,44,Stadion Feijenoord,"Van Zandvlietplein 1, Rotterdam",1,0,1.29,5.5,9.75,1.11,1.39,2.0,1.74,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,1,0,1,2,1540125000,367,0,38,0,45600,1,1,7,1,0,2,8,2,0,0,1,0,0,1,1,52,36,108,83,2.1,1.69,3.79,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,63,38,75,Feyenoord,PEC Zwolle,2.47,1.06,3.0,1.75,2.13,1.25,50,38,2.34,1.34,3.68,34,True,True,True,False,False,False,False,Netherlands_Eredivisie,,8.05,63%,90%,,,,,,,,,,,,,,,2018-10-21 12:30:00
2018-2019,9,2,0,2,4,3,7,2,4,0,0,8,3,9,4,17,7,13,20,44,56,Seacon Stadion De Koel,"Kaldenkerkerweg 182, Venlo",2,4,2.45,3.25,2.85,1.27,1.87,3.2,1.77,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,1,0,1,1,1540125000,401,0,67,0,7051,1,1,1,0,3,3,1,6,1,2,1,2,3,3,1,41,60,95,119,1.93,1.1,3.03,1,0,1,0,0,0,1,1,1,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,84,54,84,VVV,ADO Den Haag,1.41,1.18,1.33,1.25,1.38,1.38,59,17,1.53,1.55,3.08,34,True,True,False,False,False,False,False,Netherlands_Eredivisie,,8.05,58%,0%,,,,,,,,,,,,,,,2018-10-21 12:30:00
2018-2019,9,3,1,4,4,2,6,2,2,0,0,12,4,9,8,21,12,12,10,51,49,Fortuna Sittard Stadion,"Milaanstraat, Sittard",2,2,1.61,4.3,4.75,1.14,1.49,2.25,1.59,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,2,1,3,1,1540133100,387,0,54,0,8527,1,1,2,1,2,1,3,3,1,0,1,2,1,3,1,38,41,98,97,2.44,1.34,3.78,1,0,0,0,1,0,1,1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,100,13,59,Fortuna Sittard,De Graafschap,1.53,0.47,0.5,0.33,0.88,0.88,42,0,1.38,1.21,2.59,34,True,True,True,True,False,False,True,Netherlands_Eredivisie,,2.24,51%,0%,,,,,,,,,,,,,,,2018-10-21 14:45:00
2018-2019,10,1,1,2,9,0,9,3,2,0,1,9,3,13,3,22,6,13,11,71,29,De Oude Meerdijk,"Stadionplein 1, Emmen",3,4,2.85,3.35,2.4,1.27,1.87,3.2,1.77,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,1,0,1,1,1540576800,-1,0,58,0,8300,1,1,3,0,6,0,3,6,0,3,3,0,3,3,1,108,13,150,83,2.8,0.7,3.49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,68,23,88,Emmen,VVV,1.18,1.0,0.5,1.4,0.89,1.56,55,33,1.86,1.0,2.86,34,True,True,False,False,False,False,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2018-10-26 18:00:00
2018-2019,10,1,1,2,6,6,12,2,3,0,0,7,4,12,5,19,9,10,14,63,37,MAC³PARK Stadion,"Stadionplein 1, Zwolle",2,3,2.2,3.55,3.05,1.15,1.51,2.3,1.5,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,1,0,1,1,1540665900,-1,0,50,0,13523,1,1,3,1,3,5,4,8,2,1,0,2,3,2,1,43,40,132,97,2.01,1.15,3.16,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,100,63,88,PEC Zwolle,Heracles,1.24,0.83,0.75,1.0,1.11,2.11,38,0,1.98,1.03,3.01,34,True,True,False,False,False,False,True,Netherlands_Eredivisie,,5.82,93%,0%,,,,,,,,,,,,,,,2018-10-27 18:45:00
2018-2019,10,4,1,5,3,3,6,1,2,0,1,7,5,8,11,15,16,20,12,45,55,Stadion De Vijverberg,"Lijsterbeslaan 101a, Doetinchem",1,3,2.75,3.55,2.4,1.17,1.57,2.45,1.54,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,3,0,3,2,1540662300,383,0,33,0,12108,1,1,0,1,3,2,1,5,1,2,0,1,3,1,1,0,0,0,0,1.8,1.66,3.46,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,90,20,100,De Graafschap,Excelsior,1.24,0.65,1.2,1.0,0.78,1.33,45,10,1.48,1.2,2.68,34,True,True,True,True,True,False,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2018-10-27 17:45:00
2018-2019,10,1,2,3,2,6,8,3,0,0,0,4,7,11,13,15,20,10,6,41,59,Hitachi Capital Mobility Stadium,"Boumaboulevard 41, Groningen",3,0,8.0,5.3,1.33,1.13,1.45,2.15,1.77,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,0,1,1,2,1540662300,121,0,50,0,18445,1,1,1,1,1,5,2,6,1,0,2,0,1,2,1,0,0,0,0,1.45,2.07,3.52,1,0,1,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,75,25,75,Groningen,PSV,1.89,2.0,0.25,3.0,0.44,3.0,50,25,1.46,2.13,3.59,34,True,True,True,False,False,False,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2018-10-27 17:45:00
2018-2019,10,1,1,2,5,1,6,0,2,0,0,5,4,14,4,19,8,7,13,56,44,Cars Jeans Stadion,"Haags Kwartier 55, Den Haag",0,2,1.74,3.75,4.45,1.21,1.69,2.75,1.74,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,0,0,0,2,1540657800,-1,0,50,0,12199,1,1,4,1,1,0,5,1,0,1,0,1,1,1,1,0,0,0,0,2.06,1.0,3.06,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,88,88,75,100,ADO Den Haag,NAC Breda,1.47,0.29,1.5,0.0,1.22,0.44,13,13,1.39,1.01,2.4,34,True,True,False,False,False,False,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2018-10-27 16:30:00
2018-2019,10,2,1,3,2,7,9,3,2,0,0,7,3,6,6,13,9,13,12,54,46,GelreDome,"Batavierenweg 25, Arnhem",3,2,1.47,4.5,6.25,1.13,1.45,2.15,1.65,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,1,0,1,2,1540725300,369,0,75,0,15879,1,1,1,2,1,5,3,6,0,0,3,2,0,5,1,0,0,0,0,1.83,0.96,2.79,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,100,63,100,Vitesse,Fortuna Sittard,2.05,0.47,1.75,1.25,1.33,1.11,25,0,2.0,1.53,3.53,34,True,True,True,False,False,False,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2018-10-28 11:15:00
2018-2019,10,0,1,1,9,6,15,2,2,0,0,0,9,8,9,8,18,21,10,52,48,Koning Willem II Stadion,"Goirleseweg 34, Tilburg",2,2,2.85,3.35,2.4,1.23,1.74,2.85,1.57,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0,1540733400,376,0,50,0,12742,1,1,6,3,3,3,9,6,1,1,1,1,2,2,1,43,55,116,116,0.83,2.17,3.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,75,13,63,Willem II,Utrecht,1.18,1.42,1.25,0.5,1.11,1.33,63,25,1.75,1.21,2.96,34,True,False,False,False,False,False,False,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2018-10-28 13:30:00
2018-2019,10,3,0,3,13,6,19,1,2,0,1,11,3,9,4,20,7,8,10,69,31,Johan Cruijff Arena,"ArenA Boulevard 1, Amsterdam",1,4,1.35,5.5,7.0,1.11,1.39,2.0,1.69,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,1,0,1,2,1540733400,120,0,50,0,53270,1,1,12,2,1,4,14,5,0,3,1,0,3,1,1,107,29,147,72,2.8,0.87,3.67,0,0,0,0,0,0,1,1,0,0,3,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,100,38,75,Ajax,Feyenoord,2.76,1.35,2.5,1.25,2.44,2.22,50,0,2.49,1.54,4.03,34,True,True,True,False,False,False,False,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2018-10-28 13:30:00
2018-2019,10,2,3,5,6,1,7,2,3,0,0,8,8,4,2,12,10,12,12,60,40,AFAS Stadion,"Stadionweg 1, Alkmaar",2,3,1.48,4.8,5.7,1.1,1.36,1.95,1.53,2.5,0.0,1.72,0.0,2.0,0.0,0.0,0.0,0.0,5,1,1,1,2,3,2,1540741500,373,0,63,0,16535,1,1,1,1,5,0,2,5,1,0,1,3,1,4,1,46,21,141,80,1.67,1.35,3.02,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,88,75,88,AZ,Heerenveen,2.12,1.29,1.5,2.0,1.33,1.11,38,13,1.96,1.64,3.6,34,True,True,True,True,True,False,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2018-10-28 15:45:00
2018-2019,11,2,4,6,3,5,8,1,0,0,0,5,9,5,4,10,13,8,10,56,44,Van Donge & De Roo Stadion,"Honingerdijk 110, Rotterdam",1,0,2.6,3.45,2.55,1.21,1.69,2.7,1.62,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,2,1,2,3,3,1541185200,372,0,50,0,4257,1,1,2,3,1,2,5,3,1,0,0,0,1,0,1,31,55,94,114,1.22,1.86,3.07,1,0,1,0,0,0,1,1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,70,40,100,Excelsior,Groningen,1.29,0.78,1.6,0.6,1.2,0.4,50,30,1.12,1.21,2.33,34,True,True,True,True,True,True,True,Netherlands_Eredivisie,,5.82,80%,76%,,,,,,,,,,,,,,,2018-11-02 19:00:00
2018-2019,11,2,1,3,6,4,10,1,2,0,0,3,6,2,10,5,16,10,8,50,50,Rat Verlegh Stadion,"Stadionstraat 23, Breda",1,2,2.8,3.45,2.4,1.18,1.61,2.5,1.57,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,1,1,2,1,1541266200,385,0,50,0,18385,1,1,4,2,2,2,6,4,1,2,0,0,3,0,1,30,58,104,106,0.76,1.85,2.61,0,0,0,0,0,0,1,1,0,0,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,100,50,80,NAC Breda,Heracles,1.06,0.83,0.8,1.0,0.5,2.0,40,0,1.28,1.05,2.33,34,True,True,True,False,False,False,True,Netherlands_Eredivisie,,3.36,87%,90%,,,,,,,,,,,,,,,2018-11-03 17:30:00
2018-2019,11,2,0,2,5,1,6,0,1,0,0,8,0,11,5,19,5,8,9,65,35,Johan Cruijff Arena,"ArenA Boulevard 1, Amsterdam",0,1,1.07,11.5,25.0,1.05,1.22,1.59,2.25,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,2,1541274300,120,0,50,0,53432,1,1,3,1,2,0,4,2,0,1,0,0,1,0,1,0,0,0,0,2.48,0.42,2.9,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,90,50,90,Ajax,Willem II,2.76,1.41,2.6,1.0,2.5,1.0,20,10,2.55,1.29,3.84,34,True,True,False,False,False,False,False,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2018-11-03 19:45:00
2018-2019,11,1,0,1,7,1,8,1,0,0,0,6,0,12,4,18,4,10,9,67,33,AFAS Stadion,"Stadionweg 1, Alkmaar",1,0,1.19,7.0,11.5,1.05,1.23,1.62,1.69,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1541274300,378,0,55,0,13200,1,1,1,1,6,0,2,6,0,0,1,0,0,1,1,0,0,0,0,2.13,0.41,2.55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,90,40,78,AZ,De Graafschap,2.12,0.47,1.2,0.25,1.2,1.0,33,10,1.9,1.24,3.14,34,True,False,False,False,False,False,False,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2018-11-03 19:45:00
2018-2019,11,1,0,1,7,2,9,2,2,0,1,7,2,7,5,14,7,17,10,64,36,Philips Stadion,"Frederiklaan 10, Eindhoven",2,4,1.36,5.05,7.5,1.13,1.43,2.1,1.69,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1541266200,121,0,30,0,34100,1,1,4,1,3,1,5,4,1,2,1,1,3,2,1,94,36,167,93,2.07,0.85,2.92,0,0,0,0,0,0,1,1,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,90,40,90,PSV,Vitesse,2.88,0.95,3.0,1.0,3.0,1.5,40,10,2.23,1.57,3.8,34,True,False,False,False,False,False,False,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2018-11-03 17:30:00
2018-2019,11,1,1,2,3,2,5,2,1,0,0,7,7,11,11,18,18,9,9,53,47,Abe Lenstra Stadion,"Abe Lenstra Boulevard 23Q, Heerenveen",2,1,1.54,4.15,5.65,1.15,1.51,2.3,1.65,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,1,1,1,1541330100,-1,0,70,0,19835,1,1,1,1,2,1,2,3,1,0,1,1,1,2,1,0,0,0,0,1.94,1.92,3.86,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,100,80,100,Heerenveen,Emmen,1.12,1.06,0.4,1.2,1.3,0.9,20,0,1.28,1.36,2.64,34,True,True,False,False,False,False,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2018-11-04 11:15:00
2018-2019,11,3,0,3,5,6,11,3,2,0,0,6,6,7,2,13,8,15,9,49,51,Stadion Galgenwaard,"Herculesplein 241, Utrecht",3,2,1.5,4.5,5.75,1.17,1.57,2.45,1.77,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,2,0,2,1,1541338200,376,0,80,0,15946,1,1,1,3,4,3,4,7,2,1,1,1,3,2,1,42,33,97,92,1.55,1.17,2.72,0,0,0,0,0,0,1,1,1,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,100,50,100,Utrecht,ADO Den Haag,1.89,1.18,2.0,1.0,1.5,1.2,50,0,1.62,1.46,3.08,34,True,True,True,False,False,False,False,Netherlands_Eredivisie,,6.93,81%,0%,,,,,,,,,,,,,,,2018-11-04 13:30:00
