season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,temperature_celsius,wind_speed,humidity,clouds,pinnacle_corners_over_85,pinnacle_corners_over_95,pinnacle_corners_under_85,pinnacle_corners_under_95,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_ft_over35,pinnacle_ft_over15,pinnacle_ft_over25,pinnacle_ft_1,pinnacle_ft_x,pinnacle_ft_2,pinnacle_btts_yes,pinnacle_btts_no,date
2016-2017,2,2,0,2,2,11,13,3,3,0,0,3,8,3,6,6,14,17,13,39,61,Van Donge & De Roo Stadion,"Honingerdijk 110, Rotterdam",3,3,2.43,3.58,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,1,0,1,1,1471105800,374,0,0,0,3200,-1,1,-1,-1,-1,-1,-1,-1,0,2,3,1,2,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Excelsior,Groningen,1.35,1.11,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,34,True,True,False,False,False,False,False,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2016-08-13 16:30:00
2016-2017,2,2,2,4,10,1,11,2,2,0,1,6,2,9,3,15,5,13,12,77,23,Amsterdam ArenA (Amsterdam),"ArenA Boulevard 1, Amsterdam",2,3,1.28,6.21,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,1,0,1,1,3,1471110300,-1,0,0,0,48343,-1,1,-1,-1,-1,-1,-1,-1,0,1,2,2,1,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Ajax,Roda JC,2.59,0.59,0.0,0.0,3.0,1.0,0,0,0.0,0.0,0.0,34,True,True,True,True,False,False,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2016-08-13 17:45:00
2016-2017,2,1,2,3,9,4,13,1,2,0,0,8,4,11,4,19,8,15,13,62,38,GelreDome,"Batavierenweg 25, Arnhem",1,2,1.7,4.15,5.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,0,1,1,2,1471110300,377,0,0,0,11615,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,2,0,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Vitesse,ADO Den Haag,1.71,0.82,0.0,0.0,3.0,3.0,0,0,0.0,0.0,0.0,34,True,True,True,False,False,False,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2016-08-13 17:45:00
2016-2017,2,0,3,3,5,2,7,1,5,0,0,5,3,10,3,15,6,8,25,64,36,MAC³PARK Stadion,"Stadionplein 1, Zwolle",1,5,1.83,3.99,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,2,2,1,1471113900,371,0,0,0,12800,-1,1,-1,-1,-1,-1,-1,-1,0,2,1,3,2,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,PEC Zwolle,Sparta Rotterdam,1.18,0.71,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,34,True,True,True,False,False,False,False,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2016-08-13 18:45:00
2016-2017,2,3,1,4,8,5,13,2,2,0,0,8,3,2,6,10,9,14,10,53,47,Polman Stadion,"Stadionlaan 1, Almelo",2,2,1.87,3.74,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,2,1,3,1,1471170600,370,0,0,0,10475,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,2,-1,0,0,0,0,0.0,0.0,0.0,2,0,0,0,2,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Heracles,Willem II,1.59,0.94,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,34,True,True,True,True,False,False,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2016-08-14 10:30:00
2016-2017,2,2,2,4,4,5,9,4,1,0,0,7,7,5,5,12,12,18,13,51,49,De Adelaarshorst,"Vetkampstraat 1, Deventer",4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,2,1,3,1,1471177800,-1,0,0,0,9123,-1,1,-1,-1,-1,-1,-1,-1,2,1,2,0,3,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Go Ahead Eagles,NEC,0.76,0.71,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,34,True,True,True,True,False,False,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2016-08-14 12:30:00
2016-2017,2,2,0,2,7,2,9,0,3,0,0,8,3,12,4,20,7,10,13,63,37,Stadion Feijenoord,"Van Zandvlietplein 1, Rotterdam",0,3,1.34,5.66,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,1,0,1,1,1471177800,367,0,0,0,47500,-1,1,-1,-1,-1,-1,-1,-1,0,2,0,1,2,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Feyenoord,Twente,2.76,1.0,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,34,True,True,False,False,False,False,False,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2016-08-14 12:30:00
2016-2017,2,1,0,1,7,2,9,2,1,0,0,5,0,6,4,11,4,6,9,60,40,Philips Stadion,"Frederiklaan 10, Eindhoven",2,1,1.33,5.88,9.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1471185900,121,0,0,0,34000,-1,1,-1,-1,-1,-1,-1,-1,2,0,0,1,2,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,PSV,AZ,2.47,1.47,0.0,0.0,3.0,1.0,0,0,0.0,0.0,0.0,34,True,False,False,False,False,False,False,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2016-08-14 14:45:00
2016-2017,3,1,2,3,6,9,15,3,3,0,0,3,2,10,6,13,8,14,10,58,42,Van Donge & De Roo Stadion,"Honingerdijk 110, Rotterdam",3,3,3.06,3.65,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,0,1,1,2,1471629600,377,0,50,0,4123,-1,1,-1,-1,-1,-1,-1,-1,2,1,1,2,3,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,100,50,100,Excelsior,ADO Den Haag,1.35,0.82,3.0,3.0,3.0,3.0,50,0,0.0,0.0,0.0,34,True,True,True,False,False,False,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2016-08-19 18:00:00
2016-2017,3,0,1,1,1,4,5,3,3,0,0,9,8,8,7,17,15,12,13,48,52,Parkstad Limburg Stadion,"Roda J.C. Ring 1, Kerkrade",3,3,3.14,3.67,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,1471710600,369,0,100,0,13030,-1,1,-1,-1,-1,-1,-1,-1,2,1,1,2,3,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,100,50,100,Roda JC,Vitesse,1.35,1.29,1.0,3.0,1.0,1.5,50,0,0.0,0.0,0.0,34,True,False,False,False,False,False,False,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2016-08-20 16:30:00
